[IRV | TA | OT | Psalms | Chapter 103 | Verse 1] என் ஆத்துமாவே, யெகோவாவைப் போற்று; என் முழு உள்ளமே, அவருடைய பரிசுத்த பெயரைப் போற்று.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 2] என் ஆத்துமாவே, யெகோவாவுக்கு நன்றிசொல்; அவர் செய்த எல்லா நன்மைகளையும் மறவாதே.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 3] அவர் உன்னுடைய அக்கிரமங்களையெல்லாம் மன்னித்து, உன்னுடைய நோய்களையெல்லாம் குணமாக்கி,
[IRV | TA | OT | Psalms | Chapter 103 | Verse 4] உன்னுடைய உயிரை அழிவுக்கு விலக்கி மீட்டு, உன்னைக் கிருபையினாலும் இரக்கங்களினாலும் முடிசூட்டி,
[IRV | TA | OT | Psalms | Chapter 103 | Verse 5] நன்மையினால் உன்னுடைய வாயைத் திருப்தியாக்குகிறார்; கழுகுக்குச் சமமாக உன்னுடைய வயது திரும்ப இளவயது போலாகிறது.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 6] ஒடுக்கப்படுகிற அனைவருக்கும், யெகோவா நீதியையும் நியாயத்தையும் செய்கிறார்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 7] அவர் தமது வழிகளை மோசேக்கும், தமது செயல்களை இஸ்ரவேல் சந்ததிக்கும் தெரியப்படுத்தினார்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 8] யெகோவா உருக்கமும், இரக்கமும், நீடிய சாந்தமும், மிகுந்த கிருபையுமுள்ளவர்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 9] அவர் எப்பொழுதும் கடிந்துகொள்வதில்லை; என்றைக்கும் கோபமாக இருப்பதில்லை.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 10] அவர் நம்முடைய பாவங்களுக்குத் தகுந்தபடி நமக்குச் செய்யாமலும், நம்முடைய அக்கிரமங்களுக்குத் தகுந்தபடி நமக்குச் சரிக்கட்டாமலும் இருக்கிறார்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 11] பூமிக்கு வானம் எவ்வளவு உயரமாக இருக்கிறதோ, அவருக்குப் பயப்படுகிறவர்கள்மேல் அவருடைய கிருபையும் அவ்வளவு பெரிதாக இருக்கிறது.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 12] மேற்கிற்கும் கிழக்கிற்கும் எவ்வளவு தூரமோ, அவ்வளவு தூரமாக அவர் நம்முடைய பாவங்களை நம்மைவிட்டு விலக்கினார்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 13] தகப்பன் தன்னுடைய பிள்ளைகளுக்கு இரங்குகிறதுபோல, யெகோவா தமக்குப் பயந்தவர்களுக்கு இரங்குகிறார்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 14] நம்முடைய உருவம் இன்னதென்று அவர் அறிவார்; நாம் மண்ணென்று நினைவுகூருகிறார்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 15] மனிதனுடைய நாட்கள் புல்லுக்கு ஒப்பாக இருக்கிறது; வெளியின் பூவைப்போல் பூக்கிறான்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 16] காற்று அதின்மேல் வீசினவுடனே அது இல்லாமற்போனது; அது இருந்த இடமும் இனி அதை அறியாது.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 17] யெகோவாவுடைய கிருபையோ அவருக்குப் பயந்தவர்கள்மேலும், அவருடைய நீதி அவர்கள் பிள்ளைகளுடைய பிள்ளைகள்மேலும் ஆதிகாலம் முதற்கொண்டு என்றென்றைக்கும் உள்ளது.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 18] அவருடைய உடன்படிக்கையைக் கைக்கொண்டு, அவருடைய கட்டளைகளின்படி செய்ய நினைக்கிறவர்கள் மேலேயே உள்ளது.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 19] யெகோவா வானங்களில் தமது சிங்காசனத்தை நிறுவியிருக்கிறார்; அவருடைய ராஜரிகம் எல்லாவற்றையும் ஆளுகிறது.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 20] யெகோவாவுடைய வார்த்தையைக் கேட்டு, அவருடைய வசனத்தின்படி செய்கிற பலத்த வல்லமையுள்ளவர்களாகிய அவருடைய தூதர்களே, அவரைத் துதியுங்கள்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 21] யெகோவாவுக்குப் பிரியமானதைச் செய்து, அவர் பணிவிடைக்காரர்களாக இருக்கிற அவருடைய எல்லா சேனைகளே, அவரைப் போற்றுங்கள்.
[IRV | TA | OT | Psalms | Chapter 103 | Verse 22] யெகோவா ஆளுகிற எல்லா இடங்களிலுமுள்ள அவருடைய எல்லா படைப்புகளே, அவரைப் போற்றுங்கள்; என் ஆத்துமாவே, யெகோவாவைப் போற்று.
