[IRV | TA | OT | Psalms | Chapter 104 | Verse 1] என் ஆத்துமாவே, யெகோவாவைப் போற்று; என் தேவனாகிய யெகோவாவே, நீர் மிகவும் பெரியவராக இருக்கிறீர்; மகிமையையும் மகத்துவத்தையும் அணிந்துகொண்டிருக்கிறீர்.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 2] ஒளியை ஆடையாக அணிந்து, வானங்களைத் திரையைப்போல் விரித்திருக்கிறீர்.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 3] தமது மேல்வீடுகளைத் தண்ணீர்களால் மேல்தளமாக்கி, மேகங்களைத் தமது இரதமாக்கி, காற்றினுடைய இறக்கைகளின்மேல் செல்லுகிறார்.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 4] தம்முடைய தூதர்களைக் காற்றுகளாகவும், தம்முடைய ஊழியக்காரர்களை நெருப்பு ஜூவாலைகளாகவும் செய்கிறார்.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 5] பூமி ஒருபோதும் நகர்த்த முடியாதபடி அதின் அஸ்திபாரங்கள்மேல் அதை நிறுவினார்.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 6] அதை ஆடையினால் மூடுவதுபோல ஆழத்தினால் மூடினீர்; மலைகளின்மேல் தண்ணீர்கள் நின்றது.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 7] அவைகள் உமது கண்டிதத்தால் விலகியோடி, உமது குமுறலின் சத்தத்தால் விரைந்துசென்றது.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 8] அவைகள் மலைகளில் ஏறி, பள்ளத்தாக்குகளில் இறங்கி, நீர் அவைகளுக்கு ஏற்படுத்தின இடத்தில் சென்றது.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 9] அவைகள் திரும்பவும் வந்து பூமியை மூடிக்கொள்ளாதபடி கடக்காமல் இருக்கும் எல்லையை அவைகளுக்கு ஏற்படுத்தினீர்.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 10] அவர் பள்ளத்தாக்குகளில் நீரூற்றுகளை வரவிடுகிறார்; அவைகள் மலைகள் நடுவே ஓடுகிறது.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 11] அவைகள் வெளியின் உயிர்களுக்கெல்லாம் தண்ணீர் கொடுக்கும்; அங்கே காட்டுக்கழுதைகள் தங்களுடைய தாகத்தைத் தீர்த்துக்கொள்ளும்.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 12] அவைகளின் ஓரமாக வானத்துப் பறவைகள் குடியிருந்து, கிளைகள் மேலிருந்து பாடும்.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 13] தம்முடைய மேல்வீடுகளிலிருந்து மலைகளுக்குத் தண்ணீர் இறைக்கிறார்; உமது செயல்களின் பயனால் பூமி திருப்தியாக இருக்கிறது.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 14] பூமியிலிருந்து ஆகாரம் உண்டாகும்படி, அவர் மிருகங்களுக்குப் புல்லையும், மனிதருக்கு உபயோகமான பயிர்வகைகளையும் முளைப்பிக்கிறார்.
[IRV | TA | OT | Psalms | Chapter 104 | Verse 15] மனிதனுடைய இருதயத்தை மகிழ்ச்சியாக்கும் திராட்சைரசத்தையும், அவனுக்கு முகக்களையை உண்டாக்கும் எண்ணெயையும், மனிதனுடைய இருதயத்தை ஆதரிக்கும் உணவையும் விளைவிக்கிறார்.
