[IRV | TA | OT | Psalms | Chapter 97 | Verse 1] யெகோவா ராஜரிகம்செய்கிறார்; பூமி பூரிப்பாகி, திரளான தீவுகள் மகிழட்டும்.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 2] மேகமும் மந்தாரமும் அவரைச் சூழ்ந்திருக்கிறது; நீதியும் நியாயமும் அவருடைய சிங்காசனத்தின் ஆதாரம்.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 3] நெருப்பு அவருக்கு முன்சென்று, சுற்றிலும் இருக்கிற அவருடைய எதிரிகளைச் சுட்டெரிக்கிறது.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 4] அவருடைய மின்னல்கள் பூமியைப் பிரகாசிப்பித்தது; பூமி அதைக்கண்டு அதிர்ந்தது.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 5] யெகோவாவின் பிரசன்னத்தினால் மலைகள் மெழுகுபோல உருகினது, சர்வ பூமியினுடைய ஆண்டவரின் பிரசன்னத்தினாலேயே உருகிப்போனது.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 6] வானங்கள் அவருடைய நீதியை வெளிப்படுத்துகிறது; எல்லா மக்களும் அவருடைய மகிமையைக் காண்கிறார்கள்.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 7] சிலைகளை வணங்கி, விக்கிரகங்களைப்பற்றிப் பெருமைபாராட்டுகிற அனைவரும் வெட்கப்பட்டுப் போவார்களாக; தெய்வங்களே, நீங்களெல்லோரும் அவரைத் தொழுதுகொள்ளுங்கள்.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 8] சீயோன் கேட்டு மகிழ்ந்தது; யெகோவாவே, உம்முடைய நியாயத்தீர்ப்புகளினால் யூதாவின் மகள்கள் சந்தோஷப்பட்டார்கள்.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 9] யெகோவாவே, பூமி அனைத்திற்கும் நீர் உன்னதமான தேவன்; எல்லா தெய்வங்களிலும் நீரே மிகவும் உயர்ந்தவர்.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 10] யெகோவாவில் அன்புகூருகிறவர்களே, தீமையை வெறுத்துவிடுங்கள்; அவர் தம்முடைய பரிசுத்தவான்களின் ஆத்துமாக்களைக் காப்பாற்றி, துன்மார்க்கர்களின் கைக்கு அவர்களைத் தப்புவிக்கிறார்.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 11] நீதிமானுக்காக வெளிச்சமும், செம்மையான இருதயமுள்ளவர்களுக்காக மகிழ்ச்சியும் விதைக்கப்பட்டிருக்கிறது.
[IRV | TA | OT | Psalms | Chapter 97 | Verse 12] நீதிமான்களே, யெகோவாவுக்குள் மகிழ்ந்து, அவருடைய பரிசுத்தத்தின் நினைவுகூருதலைக் கொண்டாடுங்கள்.
