[OEB | EN | NT | Acts | Chapter 6 | Verse 1] About this time, when the number of the disciples was constantly increasing, complaints were made by the Greek speaking Jews against the Aramaic speaking Jews, that their widows were being overlooked in the daily distribution.
[OEB | EN | NT | Acts | Chapter 6 | Verse 2] The Twelve, therefore, called together the general body of the disciples and said to them, ‘It is not well for us to see to the distribution at the tables and neglect God’s message.
[OEB | EN | NT | Acts | Chapter 6 | Verse 3] Therefore, friends, look for seven men of reputation among yourselves, wise and spiritually-minded men, and we will appoint them to attend to this matter;
[OEB | EN | NT | Acts | Chapter 6 | Verse 4] while we, for our part, will devote ourselves to prayer, and to the delivery of the message.’
[OEB | EN | NT | Acts | Chapter 6 | Verse 5] This proposal was unanimously agreed to; and the disciples chose Stephen – a man full of faith and of the Holy Spirit – and Philip, Prochorus, Nicanor, Timon, Parmenas, and Nicholas of Antioch, a former convert to Judaism;
[OEB | EN | NT | Acts | Chapter 6 | Verse 6] and they brought these men to the apostles, who, after praying, placed their hands on them.
[OEB | EN | NT | Acts | Chapter 6 | Verse 7] So God’s message spread, and the number of the disciples continued to increase rapidly in Jerusalem, and a large body of the priests accepted the faith.
[OEB | EN | NT | Acts | Chapter 6 | Verse 8] Meanwhile Stephen, divinely helped and strengthened, was showing great wonders and signs among the people.
[OEB | EN | NT | Acts | Chapter 6 | Verse 9] But some members of the Synagogue of the Freed Slaves (as it was called), Cyrenians, Alexandrians, and Visitors from Cilicia and Roman Asia, were roused to action and began disputing with Stephen;
[OEB | EN | NT | Acts | Chapter 6 | Verse 10] yet they were quite unable to withstand the wisdom and the inspiration with which he spoke.
[OEB | EN | NT | Acts | Chapter 6 | Verse 11] Then they induced some men to assert that they had heard Stephen saying blasphemous things against Moses, and against God;
[OEB | EN | NT | Acts | Chapter 6 | Verse 12] and they stirred up the people, as well as the elders and the teachers of the Law, and set on Stephen, and arrested him, and brought him before the High Council.
[OEB | EN | NT | Acts | Chapter 6 | Verse 13] There they produced witnesses who gave false evidence. ‘This man,’ they said, ‘is incessantly saying things against this holy place and the Law;
[OEB | EN | NT | Acts | Chapter 6 | Verse 14] indeed, we have heard him declare that this Jesus of Nazareth will destroy this place, and change the customs handed down to us by Moses.’
[OEB | EN | NT | Acts | Chapter 6 | Verse 15] The eyes of all the members of the Council were riveted on Stephen, and they saw his face looking like the face of an angel.
