[OEB | EN | NT | Acts | Chapter 3 | Verse 1] One day, as Peter and John were going up into the Temple Courts for the three o’clock Prayers,
[OEB | EN | NT | Acts | Chapter 3 | Verse 2] a man, who had been lame from his birth, was being carried by. This man used to be set down every day at the gate of the Temple called “the Beautiful Gate,” to beg of those who went in.
[OEB | EN | NT | Acts | Chapter 3 | Verse 3] Seeing Peter and John on the point of entering, he asked them to give him something.
[OEB | EN | NT | Acts | Chapter 3 | Verse 4] Peter fixed his eyes on him, and so did John, and then Peter said, ‘Look at us.’
[OEB | EN | NT | Acts | Chapter 3 | Verse 5] The man was all attention, expecting to get something from them;
[OEB | EN | NT | Acts | Chapter 3 | Verse 6] but Peter added, ‘I have no gold or silver, but I give you what I have. In the name of Jesus Christ of Nazareth, get up and walk.’
[OEB | EN | NT | Acts | Chapter 3 | Verse 7] Grasping the lame man by the right hand, Peter lifted him up. Instantly the man’s feet and ankles became strong,
[OEB | EN | NT | Acts | Chapter 3 | Verse 8] and, leaping up, he stood and began to walk about, and then went with them into the Temple Courts, walking, and leaping, and praising God.
[OEB | EN | NT | Acts | Chapter 3 | Verse 9] All the people saw him walking about and praising God;
[OEB | EN | NT | Acts | Chapter 3 | Verse 10] and, when they recognised him as the man who used to sit begging at the Beautiful Gate of the Temple, they were utterly astonished and amazed at what had happened to him.
[OEB | EN | NT | Acts | Chapter 3 | Verse 11] While the man still clung to Peter and John, the people all quickly gathered round them in the Colonnade named after Solomon, in the greatest astonishment.
[OEB | EN | NT | Acts | Chapter 3 | Verse 12] On seeing this, Peter said to the people, ‘People of Israel, why are you surprised at this? And why do you stare at us, as though we, by any power or piety of our own, had enabled this man to walk?
[OEB | EN | NT | Acts | Chapter 3 | Verse 13] The God of Abraham, Isaac, and Jacob, the God of our ancestors, has done honour to his servant Jesus – him whom you gave up and disowned before Pilate, when he had decided to set him free.
[OEB | EN | NT | Acts | Chapter 3 | Verse 14] You, I say, disowned the holy and righteous one, and asked for the release of a murderer!
[OEB | EN | NT | Acts | Chapter 3 | Verse 15] The guide to life you put to death! But God raised him from the dead – and of that we are ourselves witnesses.
[OEB | EN | NT | Acts | Chapter 3 | Verse 16] And it is by faith in the name of Jesus, that this man, whom you all see and know, has – by his name – been made strong. Yes, it is the faith inspired by Jesus that has made this complete cure of the man, before the eyes of you all.
[OEB | EN | NT | Acts | Chapter 3 | Verse 17] And yet, my friends, I know that you acted as you did from ignorance, and your rulers also.
[OEB | EN | NT | Acts | Chapter 3 | Verse 18] But it was in this way that God fulfilled all that he had long ago foretold, as to the sufferings of his Christ, by the lips of all the prophets.
[OEB | EN | NT | Acts | Chapter 3 | Verse 19] Therefore, repent and turn so that your sins may be wiped away; so that happier times may come from the Lord himself,
[OEB | EN | NT | Acts | Chapter 3 | Verse 20] and so that he may send you, in Jesus, your long-appointed Christ.
[OEB | EN | NT | Acts | Chapter 3 | Verse 21] But heaven must be his home, until the days of the Universal Restoration, of which God has spoken by the lips of his holy prophets from the very first.
[OEB | EN | NT | Acts | Chapter 3 | Verse 22] Moses himself said – “The Lord your God will raise up from among yourselves a prophet, as he raised me. To him you will listen whenever he speaks to you.
[OEB | EN | NT | Acts | Chapter 3 | Verse 23] And it will be that should anyone among the people not listen to that prophet, he will be utterly destroyed.”
[OEB | EN | NT | Acts | Chapter 3 | Verse 24] Yes, and all the prophets from Samuel onwards, and all their successors who had a message to deliver, told of these days.
[OEB | EN | NT | Acts | Chapter 3 | Verse 25] You yourselves are the heirs of the prophets, and heirs, too, of the covenant which God made with your ancestors, when he said to Abraham – “In your descendants will all the nations of the earth be blessed.”
[OEB | EN | NT | Acts | Chapter 3 | Verse 26] For you, first, God raised up his servant, and sent him to bless you, by turning each one of you from his wicked ways.’
