[OEB | EN | NT | Acts | Chapter 22 | Verse 1] ‘Brothers and fathers, listen to the defence which I am about to make.’
[OEB | EN | NT | Acts | Chapter 22 | Verse 2] When they heard that he was speaking to them in Hebrew, they were still more quiet; and Paul went on:
[OEB | EN | NT | Acts | Chapter 22 | Verse 3] ‘I am a Jew, from Tarsus in Cilicia, but I was brought up in this city under the teaching of Gamaliel, and educated in accordance with the strict system of our ancestral Law. I was as zealous in God’s service as any of you who are here today.
[OEB | EN | NT | Acts | Chapter 22 | Verse 4] In my persecution of this Way I did not stop even at the taking of life. I put in chains, and imprisoned, men and women alike –
[OEB | EN | NT | Acts | Chapter 22 | Verse 5] And to that the high priest himself and all the council of elders can testify. For I had letters of introduction from them to our fellow Jews at Damascus, and I was on my way to that place, to bring those whom I might find there prisoners to Jerusalem for punishment.
[OEB | EN | NT | Acts | Chapter 22 | Verse 6] While I was still on my way, just as I was getting close to Damascus, about midday, suddenly there flashed from the heavens a great light all round me.
[OEB | EN | NT | Acts | Chapter 22 | Verse 7] I fell to the ground, and heard a voice saying to me “Saul, Saul, why are you persecuting me?”
[OEB | EN | NT | Acts | Chapter 22 | Verse 8] “Who are you, Lord?” I replied. Then the voice said “I am Jesus of Nazareth whom you are persecuting.”
[OEB | EN | NT | Acts | Chapter 22 | Verse 9] The men with me saw the light, but did not hear the speaker’s voice.
[OEB | EN | NT | Acts | Chapter 22 | Verse 10] Then I said “What am I to do, Lord?” “Get up and go into Damascus,” The Lord said to me, “and there you will be told all that you have been appointed to do.”
[OEB | EN | NT | Acts | Chapter 22 | Verse 11] In consequence of that dazzling light I could not see, but my companions held me by the hand, until I reached Damascus.
[OEB | EN | NT | Acts | Chapter 22 | Verse 12] There a man named Ananias, a strict observer of our Law, well spoken of by all the Jewish inhabitants, came to see me.
[OEB | EN | NT | Acts | Chapter 22 | Verse 13] Standing close to me, he said “Saul, my brother, recover your sight.” And then and there I recovered my sight and looked up at him.
[OEB | EN | NT | Acts | Chapter 22 | Verse 14] Then he said “The God of our ancestors has appointed you to learn his will, and to see the righteous one, and to hear words from his lips;
[OEB | EN | NT | Acts | Chapter 22 | Verse 15] for you will be a witness for him to all the world of what you have just seen and heard.
[OEB | EN | NT | Acts | Chapter 22 | Verse 16] And now why wait any longer, Be baptized at once, wash away your sins, and invoke his name.”
[OEB | EN | NT | Acts | Chapter 22 | Verse 17] After my return to Jerusalem, while I was praying one day in the Temple, I fell into a trance,
[OEB | EN | NT | Acts | Chapter 22 | Verse 18] and saw Jesus saying to me “Make haste and leave Jerusalem at once, because they will not accept your testimony about me.”
[OEB | EN | NT | Acts | Chapter 22 | Verse 19] “Lord,” I answered, “these people know that I used to imprison and scourge, in synagogue after synagogue, those who believed in you;
[OEB | EN | NT | Acts | Chapter 22 | Verse 20] and, when the blood of your martyr, Stephen, was being shed, I was myself standing by, approving of his death, and took charge of the clothes of those who were murdering him.”
[OEB | EN | NT | Acts | Chapter 22 | Verse 21] But Jesus said to me “Go; for I will send you to the Gentiles far away”.’
[OEB | EN | NT | Acts | Chapter 22 | Verse 22] Up to this point the people had been listening to Paul, but at these words they called out, ‘Kill him! A fellow like this ought not to have been allowed to live!’
[OEB | EN | NT | Acts | Chapter 22 | Verse 23] As they were shouting, tearing off their clothes, and throwing dust in the air,
[OEB | EN | NT | Acts | Chapter 22 | Verse 24] the commanding officer ordered Paul to be taken into the Fort, and directed that he should be examined under the lash so that he might find out the reason for their outcry against him.
[OEB | EN | NT | Acts | Chapter 22 | Verse 25] But just as they had tied him up to be scourged, Paul said to the centurion standing near, ‘Is it legal for you to scourge a Roman citizen, unconvicted?’
[OEB | EN | NT | Acts | Chapter 22 | Verse 26] On hearing this, the centurion went and reported it to the commanding officer. ‘Do you know what you are doing?’ he said. ‘This man is a Roman citizen.’
[OEB | EN | NT | Acts | Chapter 22 | Verse 27] So the commanding officer went up to Paul and said, ‘Tell me, are you a Roman citizen?’ ‘Yes,’ replied Paul.
[OEB | EN | NT | Acts | Chapter 22 | Verse 28] ‘I had to pay a heavy price for my position as citizen,’ said the officer. ‘I am one by birth,’ rejoined Paul.
[OEB | EN | NT | Acts | Chapter 22 | Verse 29] The men who were to have examined Paul immediately drew back, and the officer, finding that Paul was a Roman citizen, was alarmed at having put him in chains.
[OEB | EN | NT | Acts | Chapter 22 | Verse 30] On the next day the commanding officer, wishing to find out the real reason why Paul was denounced by the Jewish leaders, had his chains taken off, and directed the chief priests and the whole of the High Council to assemble, and then took Paul down and brought him before them.
