[OEB | EN | NT | Acts | Chapter 19 | Verse 1] While Apollos was at Corinth, Paul passed through the inland districts of Roman Asia, and went to Ephesus. There he found some disciples, of whom he asked,
[OEB | EN | NT | Acts | Chapter 19 | Verse 2] ‘Did you, when you became believers in Christ, receive the Holy Spirit?’ ‘No,’ they answered, ‘we did not even hear that there was a Holy Spirit.’
[OEB | EN | NT | Acts | Chapter 19 | Verse 3] ‘What then was your baptism?’ Paul asked.
[OEB | EN | NT | Acts | Chapter 19 | Verse 4] ‘John’s baptism was a baptism on repentance,’ rejoined Paul, ‘and John told the people (speaking of the “one coming” after him) that they should believe in him – that is in Jesus.’
[OEB | EN | NT | Acts | Chapter 19 | Verse 5] On hearing this, they were baptized in the name of the Lord Jesus,
[OEB | EN | NT | Acts | Chapter 19 | Verse 6] and, after Paul had placed his hands on them, the Holy Spirit descended on them, and they began to speak in other languages and to preach.
[OEB | EN | NT | Acts | Chapter 19 | Verse 7] There were about twelve of them in all.
[OEB | EN | NT | Acts | Chapter 19 | Verse 8] Paul went to the synagogue there, and for three months spoke out fearlessly, giving addresses and trying to convince his hearers, about the kingdom of God.
[OEB | EN | NT | Acts | Chapter 19 | Verse 9] Some of them, however, hardened their hearts and refused to believe, denouncing the Way before the people. So Paul left them and withdrew his disciples, and gave daily addresses in the lecture-hall of Tyrannus.
[OEB | EN | NT | Acts | Chapter 19 | Verse 10] This went on for two years, so that all who lived in Roman Asia, Jews and Greeks alike, heard the Lord’s message.
[OEB | EN | NT | Acts | Chapter 19 | Verse 11] God did miracles of no ordinary kind by Paul’s hands;
[OEB | EN | NT | Acts | Chapter 19 | Verse 12] so that people would carry home to the sick handkerchiefs or aprons that had touched his body, and their diseases would leave them and the wicked spirits go out of them.
[OEB | EN | NT | Acts | Chapter 19 | Verse 13] An attempt was made by some itinerant Jews, who were exorcists, to use the name of the Lord Jesus over those who had wicked spirits in them. ‘I order you,’ they would say, ‘by the Jesus, whom Paul preaches.’
[OEB | EN | NT | Acts | Chapter 19 | Verse 14] The seven sons of Sceva, a Jewish chief priest, were doing this;
[OEB | EN | NT | Acts | Chapter 19 | Verse 15] but the wicked spirit answered them, ‘Jesus I acknowledge, and Paul I know, but you – who are you?’
[OEB | EN | NT | Acts | Chapter 19 | Verse 16] Then the man, in whom this wicked spirit was, sprang on them, mastered both of them, and so completely overpowered them, that they fled out of the house, stripped of their clothes, and wounded.
[OEB | EN | NT | Acts | Chapter 19 | Verse 17] This incident came to the knowledge of all the Jews and Greeks living at Ephesus; they were all awe-struck, and the name of the Lord Jesus was held in the highest honour.
[OEB | EN | NT | Acts | Chapter 19 | Verse 18] Many, too, of those who had become believers in Christ came with a full confession of their practices;
[OEB | EN | NT | Acts | Chapter 19 | Verse 19] while a number of people, who had practiced magic, collected their books and burnt them publicly; and on reckoning up the price of these, they found it amounted to fifty thousand silver coins.
[OEB | EN | NT | Acts | Chapter 19 | Verse 20] So irresistibly did the Lord’s message spread and prevail.
[OEB | EN | NT | Acts | Chapter 19 | Verse 21] Sometime after these events Paul resolved to go through Macedonia and Greece, and then make his way to Jerusalem. ‘And after I have been there,’ he said, ‘I must visit Rome also.’
[OEB | EN | NT | Acts | Chapter 19 | Verse 22] So he sent to Macedonia two of his helpers, Timothy and Erastus, while he himself stayed for some time longer in Roman Asia.
[OEB | EN | NT | Acts | Chapter 19 | Verse 23] Just about that time a great disturbance arose about the Way.
[OEB | EN | NT | Acts | Chapter 19 | Verse 24] A silversmith named Demetrius, who made silver models of the shrine of Artemis, and so gave a great deal of work to the artisans,
[OEB | EN | NT | Acts | Chapter 19 | Verse 25] got these men together, as well as the workmen engaged in similar occupations, and said: ‘Men, you know that our prosperity depends on this work,
[OEB | EN | NT | Acts | Chapter 19 | Verse 26] and you see and hear that not only at Ephesus, but in almost the whole of Roman Asia, this Paul has convinced and won over great numbers of people, by his assertion that those Gods which are made by hands are not Gods at all.
[OEB | EN | NT | Acts | Chapter 19 | Verse 27] So that not only is this business of ours likely to fall into discredit, but there is the further danger that the Temple of the great Goddess Artemis will be thought nothing of, and that she herself will be deprived of her splendour – though all Roman Asia and the whole world worship her.’
[OEB | EN | NT | Acts | Chapter 19 | Verse 28] When they heard this, the men were greatly enraged, and began shouting – ‘Great is Artemis of the Ephesians!’
[OEB | EN | NT | Acts | Chapter 19 | Verse 29] The commotion spread through the whole city, and the people rushed together into the amphitheater, dragging with them Gaius and Aristarchus, two Macedonians who were Paul’s traveling companions.
[OEB | EN | NT | Acts | Chapter 19 | Verse 30] Paul wished to go into the amphitheater and face the people, but the disciples would not let him,
[OEB | EN | NT | Acts | Chapter 19 | Verse 31] while some of the chief religious officials of the province, who were friendly to him, sent repeated entreaties to him not to trust himself inside.
[OEB | EN | NT | Acts | Chapter 19 | Verse 32] Meanwhile some were shouting one thing and some another, for the Assembly was all in confusion, most of those present not even knowing why they had met.
[OEB | EN | NT | Acts | Chapter 19 | Verse 33] But some of the crowd prompted Alexander, whom several of the Jewish leaders had pushed to the front, and he waved his hand to show that he wanted to speak in their defence to the people.
[OEB | EN | NT | Acts | Chapter 19 | Verse 34] However, when they recognised him as a Jew, one cry broke from them all, and they continued shouting for two hours – ‘Great is Artemis of the Ephesians!’
