[OEB | EN | NT | Acts | Chapter 28 | Verse 1] When we were all safe, we found that the island was called Malta.
[OEB | EN | NT | Acts | Chapter 28 | Verse 2] The island’s people showed us marked kindness, for they lit a fire and took us all under shelter, because it had come on to rain and was cold.
[OEB | EN | NT | Acts | Chapter 28 | Verse 3] Paul had gathered a quantity of dry sticks and laid them on the fire, when a poisonous snake, driven out by the heat, fastened on his hand.
[OEB | EN | NT | Acts | Chapter 28 | Verse 4] When the islanders saw the creature hanging from his hand, they said to one another, ‘Evidently this man is a murderer, for though he has been saved from the sea, Justice has not allowed him to live.’
[OEB | EN | NT | Acts | Chapter 28 | Verse 5] However, Paul shook the creature off into the fire and took no harm.
[OEB | EN | NT | Acts | Chapter 28 | Verse 6] The islanders were expecting inflammation to set in, or that he would suddenly fall dead; but, after waiting for a long time, and seeing that there was nothing amiss with him, they changed their minds and said that he was a God.
[OEB | EN | NT | Acts | Chapter 28 | Verse 7] In that region there was an estate belonging to the Governor of the island, whose name was Publius. He took us up to his house, and for three days entertained us most courteously.
[OEB | EN | NT | Acts | Chapter 28 | Verse 8] It happened that the father of Publius was lying ill of fever and dysentery. So Paul went to see him; and, after praying, he placed his hands on him and cured him.
[OEB | EN | NT | Acts | Chapter 28 | Verse 9] After this, all the people in the island who had any illness came to Paul, and were cured.
[OEB | EN | NT | Acts | Chapter 28 | Verse 10] They also presented us with many gifts, and when we set sail they put supplies of necessaries on board.
[OEB | EN | NT | Acts | Chapter 28 | Verse 11] After three months, we set sail in a ship that had wintered in the island. She was an Alexandrian vessel, and had the Twin sons of Zeus for her figure-head.
[OEB | EN | NT | Acts | Chapter 28 | Verse 12] We put in at Syracuse and stayed there three days,
[OEB | EN | NT | Acts | Chapter 28 | Verse 13] and from there we worked to windward and so got to Rhegium. A day later a south wind sprang up and took us to Puteoli in two days.
[OEB | EN | NT | Acts | Chapter 28 | Verse 14] There we found some of the Lord’s followers, and were urged to stay a week with them; after which we went on to Rome.
[OEB | EN | NT | Acts | Chapter 28 | Verse 15] The followers there had heard about us, and came out as far as the Market of Appius and the Three Taverns to meet us. At sight of them Paul thanked God and was much cheered.
[OEB | EN | NT | Acts | Chapter 28 | Verse 16] On our reaching Rome, Paul was allowed to live by himself, except for the soldier who was in charge of him.
[OEB | EN | NT | Acts | Chapter 28 | Verse 17] Three days after our arrival, Paul invited the leading Jews to meet him; and, when they came, he said, ‘Brothers, although I had done nothing hostile to the interests of our nation or to our ancestral customs, yet I was sent from Jerusalem as a prisoner, and handed over to the Romans.
[OEB | EN | NT | Acts | Chapter 28 | Verse 18] The Romans, when they had examined me, were ready to release me, because there was nothing in my conduct deserving death.
[OEB | EN | NT | Acts | Chapter 28 | Verse 19] But, as the Jewish leaders opposed my release, I was compelled to appeal to the Emperor – not, indeed, that I had any charge to make against my own nation.
[OEB | EN | NT | Acts | Chapter 28 | Verse 20] This, then, is my reason for urging you to come to see me and talk with me; because it is for the sake of the hope of Israel that I am here in chains.’
[OEB | EN | NT | Acts | Chapter 28 | Verse 21] ‘We,’ was their reply, ‘have not had any letter about you from Judea, nor have any of our fellow Jews come and reported or said anything bad about you.
[OEB | EN | NT | Acts | Chapter 28 | Verse 22] But we will be glad to hear from you what your views are, for, with regard to this sect, we are well aware that it is spoken against on all sides.’
[OEB | EN | NT | Acts | Chapter 28 | Verse 23] They then fixed a day with him, and came to the place where he was staying, in even larger numbers, when Paul proceeded to lay the subject before them. He bore his testimony to the kingdom of God, and tried to convince them about Jesus, by arguments drawn from the Law of Moses and from the prophets – speaking from morning until evening.
[OEB | EN | NT | Acts | Chapter 28 | Verse 24] Some were inclined to accept what he said; others, however, rejected it.
[OEB | EN | NT | Acts | Chapter 28 | Verse 25] So, as they disagreed among themselves, they began to disperse, Paul adding only – ‘True, indeed, was the declaration made by the Holy Spirit, through the prophet Isaiah to your ancestors –
[OEB | EN | NT | Acts | Chapter 28 | Verse 26] Go to this nation and say: You will hear with your ears without ever understanding, and, though you have eyes, you will see without ever perceiving.
[OEB | EN | NT | Acts | Chapter 28 | Verse 27] For the mind of this nation has grown dense, and their ears are dull of hearing, their eyes also have they closed; otherwise some day they might see with their eyes, and with their ears they might hear, and in their mind they might understand, and might turn – and I might heal them.
[OEB | EN | NT | Acts | Chapter 28 | Verse 28] Understand, then, that this salvation of God was sent for the Gentiles; and they will listen.’
[OEB | EN | NT | Acts | Chapter 28 | Verse 30] For two whole years Paul stayed in a house which he rented for himself, welcoming all who came to see him,
[OEB | EN | NT | Acts | Chapter 28 | Verse 31] proclaiming the kingdom of God, and teaching about the Lord Jesus Christ, with perfect fearlessness, unhindered.
