[OEB | EN | NT | Acts | Chapter 9 | Verse 1] Meanwhile Saul, still breathing murderous threats against the disciples of the Lord, went to the high priest,
[OEB | EN | NT | Acts | Chapter 9 | Verse 2] and asked him to give him letters to the Jewish congregations at Damascus, authorising him, if he found there any supporters of the Way, whether men or women, to have them put in chains and brought to Jerusalem.
[OEB | EN | NT | Acts | Chapter 9 | Verse 3] While on his journey, as he was nearing Damascus, suddenly a light from the heavens flashed around him.
[OEB | EN | NT | Acts | Chapter 9 | Verse 4] He fell to the ground and heard a voice saying to him – ‘Saul, Saul, why are you persecuting me?’
[OEB | EN | NT | Acts | Chapter 9 | Verse 5] ‘Who are you, Lord?’ he asked. ‘I am Jesus, whom you are persecuting,’ the voice answered;
[OEB | EN | NT | Acts | Chapter 9 | Verse 6] ‘Yet stand up and go into the city, and you will be told what you must do.’
[OEB | EN | NT | Acts | Chapter 9 | Verse 7] The men traveling with Saul were meanwhile standing speechless; they heard the sound of the voice, but saw no one.
[OEB | EN | NT | Acts | Chapter 9 | Verse 8] When Saul got up from the ground, though his eyes were open, he could see nothing. So his men led him by the hand, and brought him into Damascus;
[OEB | EN | NT | Acts | Chapter 9 | Verse 9] and for three days he was unable to see, and took nothing either to eat or to drink.
[OEB | EN | NT | Acts | Chapter 9 | Verse 10] Now there was at Damascus a disciple named Ananias, to whom, in a vision, the Lord said, ‘Ananias.’ ‘Yes, Lord,’ he answered.
[OEB | EN | NT | Acts | Chapter 9 | Verse 11] ‘Go at once,’ said the Lord, ‘to the Straight Street, and ask at Judas’s house for a man named Saul, from Tarsus. He is at this moment praying,
[OEB | EN | NT | Acts | Chapter 9 | Verse 12] and he has seen, in a vision, a man named Ananias coming in and placing his hands on him, so that he may recover his sight.’
[OEB | EN | NT | Acts | Chapter 9 | Verse 13] ‘Lord,’ exclaimed Ananias, ‘I have heard from many people about this man – how much harm he has done at Jerusalem to your people there.
[OEB | EN | NT | Acts | Chapter 9 | Verse 14] And, here, too, he holds authority from the chief priests to put in chains all those who invoke your name.’
[OEB | EN | NT | Acts | Chapter 9 | Verse 15] But the Lord said to him, ‘Go, for this man is my chosen instrument to uphold my name before the Gentiles and their kings, and the people of Israel.
[OEB | EN | NT | Acts | Chapter 9 | Verse 16] I will myself show him all that he has to suffer for my name.’
[OEB | EN | NT | Acts | Chapter 9 | Verse 17] So Ananias went, entered the house, and, placing his hands on Saul, said, ‘Saul, my brother, I have been sent by the Lord – by Jesus, who appeared to you on your way here – so that you may recover your sight and be filled with the Holy Spirit.’
[OEB | EN | NT | Acts | Chapter 9 | Verse 18] Instantly it seemed as if a film fell from Saul’s eyes, and his sight was restored. Then he got up and was baptized,
[OEB | EN | NT | Acts | Chapter 9 | Verse 19] and, after he had taken food, he felt his strength return. Saul stayed for some days with the disciples who were at Damascus,
[OEB | EN | NT | Acts | Chapter 9 | Verse 20] and at once began in the synagogues to proclaim Jesus as the Son of God.
[OEB | EN | NT | Acts | Chapter 9 | Verse 21] All who heard him were amazed. ‘Is not this,’ they asked, ‘the man who worked havoc in Jerusalem among those that invoke this name, and who had also come here for the express purpose of having such persons put in chains and taken before the chief priests?’
[OEB | EN | NT | Acts | Chapter 9 | Verse 22] Saul’s influence, however, kept steadily increasing, and he confounded the Jewish people who lived in Damascus by the proofs that he gave that Jesus was the Christ.
[OEB | EN | NT | Acts | Chapter 9 | Verse 23] After some time some of them laid a plot to kill Saul,
[OEB | EN | NT | Acts | Chapter 9 | Verse 24] but it became known to him. They even watched the gates day and night, to kill him;
[OEB | EN | NT | Acts | Chapter 9 | Verse 25] but his disciples let him down by night through an opening in the wall, lowering him in a basket.
[OEB | EN | NT | Acts | Chapter 9 | Verse 26] On his arrival in Jerusalem, Saul attempted to join the disciples, but they were all afraid of him, as they did not believe that he was really a disciple.
[OEB | EN | NT | Acts | Chapter 9 | Verse 27] Barnabas, however, taking him by the hand, brought him to the apostles, and told them the whole story of how Saul on his journey had seen the Lord, and how the Lord had talked to him, and how in Damascus he had spoken out fearlessly in the name of Jesus.
[OEB | EN | NT | Acts | Chapter 9 | Verse 28] After that, Saul remained in Jerusalem, in close contact with the apostles; and he spoke fearlessly in the name of the Lord,
[OEB | EN | NT | Acts | Chapter 9 | Verse 29] talking and arguing with the Jews of foreign birth, who, however, made attempts to kill him.
[OEB | EN | NT | Acts | Chapter 9 | Verse 30] But, when the followers found this out, they took him down to Caesarea, and sent him on his way to Tarsus.
[OEB | EN | NT | Acts | Chapter 9 | Verse 31] And so it came about that the church, throughout Judea, Galilee, and Samaria, enjoyed peace and became firmly established; and, ordering its life by respect for the Lord and the help of the Holy Spirit, it increased in numbers.
[OEB | EN | NT | Acts | Chapter 9 | Verse 32] Peter, while traveling from place to place throughout the country, went down to visit the people of Christ living at Lydda.
[OEB | EN | NT | Acts | Chapter 9 | Verse 33] There he found a man named Aeneas, who had been bedridden for eight years with paralysis.
