[OEB | EN | NT | Acts | Chapter 14 | Verse 1] The same thing occurred in Iconium, where Paul and Barnabas went into the Jewish synagogue, and spoke in such a way that a great number of both Jews and Greeks believed in Christ.
[OEB | EN | NT | Acts | Chapter 14 | Verse 2] But the Jews who refused to believe stirred up the Gentiles, and poisoned their minds against the Lord’s followers.
[OEB | EN | NT | Acts | Chapter 14 | Verse 3] Therefore Paul and Barnabas spent a long time there, and spoke out fearlessly, relying on the Lord, who confirmed the message of his love by permitting signs and wonders to take place at their hands.
[OEB | EN | NT | Acts | Chapter 14 | Verse 4] But the townspeople were divided, some siding with the Jews, some with the apostles;
[OEB | EN | NT | Acts | Chapter 14 | Verse 5] and, when there was an attempt on the part of both Gentiles and Jews, with their leaders, to resort to violence and to stone them,
[OEB | EN | NT | Acts | Chapter 14 | Verse 6] the apostles heard of it, and took refuge in Lystra and Derbe, towns in Lycaonia, and in the district round,
[OEB | EN | NT | Acts | Chapter 14 | Verse 7] and there they continued to tell the good news.
[OEB | EN | NT | Acts | Chapter 14 | Verse 8] In the streets of Lystra there used to sit a man who had no power in his feet; he had been lame from his birth, and had never walked.
[OEB | EN | NT | Acts | Chapter 14 | Verse 9] This man was listening to Paul speaking, when Paul, looking intently at him, and seeing that he had the faith to be healed,
[OEB | EN | NT | Acts | Chapter 14 | Verse 10] said loudly, ‘Stand upright on your feet.’ The man leaped up, and began walking about,
[OEB | EN | NT | Acts | Chapter 14 | Verse 11] and the crowd, seeing what Paul had done, called out in the Lycaonian language, ‘The Gods have come down to us in human form.’
[OEB | EN | NT | Acts | Chapter 14 | Verse 12] So they called Barnabas “Zeus,” and Paul “Hermes,” because he took the lead in speaking;
[OEB | EN | NT | Acts | Chapter 14 | Verse 13] and the priest of Zeus-beyond-the-Walls, accompanied by the crowd, brought bullocks and garlands to the gates, with the intention of offering sacrifices.
[OEB | EN | NT | Acts | Chapter 14 | Verse 14] But, when the apostles Barnabas and Paul heard of it, they tore their clothes and rushed out into the crowd. ‘Friends, why are you doing this?’ they shouted.
[OEB | EN | NT | Acts | Chapter 14 | Verse 15] ‘We are only people like yourselves, and we have come with the good news that you should turn away from these follies to a living God, who made the heavens, the earth, the sea, and everything that is in them.
[OEB | EN | NT | Acts | Chapter 14 | Verse 16] In bygone times he permitted all the nations to go their own ways.
[OEB | EN | NT | Acts | Chapter 14 | Verse 17] Yet he has not failed to give you, in the good he does, some revelation of himself – sending you from heaven rain and fruitful seasons, and gladdening your hearts with plenty and good cheer.’
[OEB | EN | NT | Acts | Chapter 14 | Verse 18] Even with this appeal they could hardly restrain the people from offering sacrifice to them.
[OEB | EN | NT | Acts | Chapter 14 | Verse 19] Presently, however, there came some Jews from Antioch, and Iconium who, after they had won over the people, stoned Paul, and dragged him out of the town, thinking him to be dead.
[OEB | EN | NT | Acts | Chapter 14 | Verse 20] But, when the disciples had gathered round him, he got up and went back into the town; the next day he went with Barnabas to Derbe.
[OEB | EN | NT | Acts | Chapter 14 | Verse 21] After telling the good news throughout that town, and making a number of converts, they returned to Lystra, Iconium, and Antioch,
[OEB | EN | NT | Acts | Chapter 14 | Verse 22] reassuring the minds of the disciples, urging them to remain true to the faith, and showing that it is only through many troubles that we can enter the kingdom of God.
[OEB | EN | NT | Acts | Chapter 14 | Verse 23] They also appointed elders for them in every church, and, after prayer and fasting, commended them to the Lord in whom they had learned to believe.
[OEB | EN | NT | Acts | Chapter 14 | Verse 24] Paul and Barnabas then went through Pisidia, and came into Pamphylia,
[OEB | EN | NT | Acts | Chapter 14 | Verse 25] and, after telling the message at Perga, went down to Attaleia.
[OEB | EN | NT | Acts | Chapter 14 | Verse 26] From there they sailed to Antioch – the place where they had been committed to the gracious care of God for the work which they had now finished.
[OEB | EN | NT | Acts | Chapter 14 | Verse 27] After their arrival, they gathered the church together, and gave an account of all that God had helped them to do, and especially how he had opened to the Gentiles the door of faith;
[OEB | EN | NT | Acts | Chapter 14 | Verse 28] and at Antioch they stayed with the disciples for a considerable time.
