[OEB | EN | NT | Acts | Chapter 18 | Verse 1] On leaving Athens, Paul next went to Corinth.
[OEB | EN | NT | Acts | Chapter 18 | Verse 2] There he met a Jew of the name of Aquila, from Pontus, who, with his wife Priscilla, had lately come from Italy, in consequence of the order which had been issued by the Emperor Claudius for all Jews to leave Rome. Paul paid them a visit,
[OEB | EN | NT | Acts | Chapter 18 | Verse 3] and, since their trade was the same as his, he stayed and worked with them – their trade was tent-making.
[OEB | EN | NT | Acts | Chapter 18 | Verse 4] Every Sabbath Paul gave addresses in the synagogue, trying to convince both Jews and Greeks.
[OEB | EN | NT | Acts | Chapter 18 | Verse 5] But, when Silas and Timothy had come down from Macedonia, Paul devoted himself entirely to delivering the message, earnestly maintaining before the Jews that Jesus was the Christ.
[OEB | EN | NT | Acts | Chapter 18 | Verse 6] However, as they set themselves against him and became abusive, Paul shook his clothes in protest and said to them, ‘Your blood be on your own heads. My conscience is clear. From this time forward I will go to the Gentiles.’
[OEB | EN | NT | Acts | Chapter 18 | Verse 7] So he left, and went to the house of a certain Titius Justus, who had been accustomed to join in the worship of God, and whose house was next door to the synagogue.
[OEB | EN | NT | Acts | Chapter 18 | Verse 8] Crispus, the synagogue leader, came to believe in the Lord, and so did all his household; and many of the Corinthians, as they listened to Paul, became believers in Christ and were baptized.
[OEB | EN | NT | Acts | Chapter 18 | Verse 9] One night the Lord said to Paul, in a vision, ‘Have no fear, but continue to speak, and refuse to be silenced;
[OEB | EN | NT | Acts | Chapter 18 | Verse 10] for I am with you, and no one will do you harm, for I have many people in this city.’
[OEB | EN | NT | Acts | Chapter 18 | Verse 11] So he settled there for a year and a half, and taught God’s message among the people.
[OEB | EN | NT | Acts | Chapter 18 | Verse 12] While Gallio was governor of Greece, some of the Jewish leaders made a combined attack on Paul, and brought him before the Governor’s Bench,
[OEB | EN | NT | Acts | Chapter 18 | Verse 13] charging him with persuading people to worship God in a way forbidden by the Law.
[OEB | EN | NT | Acts | Chapter 18 | Verse 14] Just as Paul was on the point of speaking, Gallio said to them, ‘If this were a case of misdemeanour or some serious crime, there would be some reason for my listening patiently to you;
[OEB | EN | NT | Acts | Chapter 18 | Verse 15] but, since it is a dispute about words, and names, and your own Law, you must see to it yourselves. I do not choose to be a judge in such matters.’
[OEB | EN | NT | Acts | Chapter 18 | Verse 16] Saying this, he drove them back from the Bench.
[OEB | EN | NT | Acts | Chapter 18 | Verse 17] Then they all set on Sosthenes, the synagogue leader, and beat him in front of the Bench, but Gallio did not trouble himself about any of these things.
[OEB | EN | NT | Acts | Chapter 18 | Verse 18] Paul remained there some time after this, and then took leave of the followers, and sailed to Syria with Priscilla and Aquila, but not before his head had been shaved at Cenchreae, because he was under a vow.
[OEB | EN | NT | Acts | Chapter 18 | Verse 19] They put into Ephesus, and there Paul, leaving his companions, went into the synagogue and addressed the Jews.
[OEB | EN | NT | Acts | Chapter 18 | Verse 20] When they asked him to prolong his stay, he declined, saying however,
[OEB | EN | NT | Acts | Chapter 18 | Verse 21] as he took his leave, ‘I will come back again to you, please God,’ and then set sail from Ephesus.
[OEB | EN | NT | Acts | Chapter 18 | Verse 22] On reaching Caesarea, he went up to Jerusalem and exchanged greetings with the church, and then went down to Antioch.
[OEB | EN | NT | Acts | Chapter 18 | Verse 23] After making some stay in Antioch, he set out on a tour through the Phrygian district of Galatia, strengthening the faith of all the disciples as he went.
[OEB | EN | NT | Acts | Chapter 18 | Verse 24] Meanwhile there had come to Ephesus an Alexandrian Jew, named Apollos, an eloquent man, who was well-versed in the scriptures.
[OEB | EN | NT | Acts | Chapter 18 | Verse 25] He had been well-instructed in the Way of the Lord, and with burning zeal he spoke of, and taught carefully, the facts about Jesus, though he knew of no baptism but John’s.
[OEB | EN | NT | Acts | Chapter 18 | Verse 26] This man began to speak out fearlessly in the synagogue; and when Priscilla and Aquila heard him, they took him home and explained the Way of God to him more carefully still.
[OEB | EN | NT | Acts | Chapter 18 | Verse 27] When he wanted to cross to Greece, the followers furthered his plans, and wrote to the disciples there to welcome him. On his arrival he proved of great assistance to those who had, through the loving kindness of God, become believers in Christ,
[OEB | EN | NT | Acts | Chapter 18 | Verse 28] for he vigorously confuted the Jews, publicly proving by the scriptures that Jesus was the Christ.
