[OEB | EN | NT | Acts | Chapter 10 | Verse 1] At Caesarea there was a man named Cornelius, a centurion in the regiment known as the “Italian Regiment,”
[OEB | EN | NT | Acts | Chapter 10 | Verse 2] A religious man and one who reverenced God, with all his household. He was liberal in his charities to the people, and prayed to God constantly.
[OEB | EN | NT | Acts | Chapter 10 | Verse 3] One afternoon, about three o’clock, he distinctly saw in a vision an angel from God come to him, and call him by name.
[OEB | EN | NT | Acts | Chapter 10 | Verse 4] Cornelius fixed his eyes on him and, in great alarm, said, ‘What is it, Lord?’ ‘Your prayers and your charities,’ the angel answered, ‘have been an acceptable offering to God.
[OEB | EN | NT | Acts | Chapter 10 | Verse 5] And now, send messengers to Joppa and fetch a man called Simon, who is also known as Peter.
[OEB | EN | NT | Acts | Chapter 10 | Verse 6] He is lodging with a tanner named Simon, who has a house near the sea.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 7] When the angel, who had spoken to him, had gone, Cornelius called two servants and a religious soldier, who was one of his constant attendants,
[OEB | EN | NT | Acts | Chapter 10 | Verse 8] and, after telling them the whole story, sent them to Joppa.
[OEB | EN | NT | Acts | Chapter 10 | Verse 9] On the next day, while these men were on their way, just as they were nearing the town, Peter went up on the housetop about midday to pray.
[OEB | EN | NT | Acts | Chapter 10 | Verse 10] He became hungry and wanted something to eat; but while it was being prepared, he fell into a trance,
[OEB | EN | NT | Acts | Chapter 10 | Verse 11] and saw that the heavens were open, and that something like a great sail was descending, let down by its four corners towards the earth.
[OEB | EN | NT | Acts | Chapter 10 | Verse 12] In it were all kinds of quadrupeds, reptiles, and birds.
[OEB | EN | NT | Acts | Chapter 10 | Verse 13] Then he was aware of a voice which said – ‘Stand up, Peter, kill something, and eat.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 14] ‘No, Lord, I cannot,’ answered Peter, ‘for I have never eaten anything defiled and unclean.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 15] Again he was aware of a voice which said – ‘What God has pronounced clean, do not regard as defiled.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 16] This happened three times, and then suddenly it was all taken up into the heavens.
[OEB | EN | NT | Acts | Chapter 10 | Verse 17] While Peter was still perplexed as to the meaning of the vision that he had seen, the men sent by Cornelius, having enquired the way to Simon’s house, came up to the gate,
[OEB | EN | NT | Acts | Chapter 10 | Verse 18] and called out and asked if the Simon, who was also known as Peter, was lodging there.
[OEB | EN | NT | Acts | Chapter 10 | Verse 19] Peter was still pondering over the vision, when the Spirit said to him, ‘There are two men looking for you at this moment.
[OEB | EN | NT | Acts | Chapter 10 | Verse 20] Go down at once and do not hesitate to go with them, for I have sent them.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 21] Peter went down to the men and said, ‘I am the person you are looking for. What is your reason for coming?’
[OEB | EN | NT | Acts | Chapter 10 | Verse 22] The men replied, ‘Our centurion, Cornelius, a pious man who reverences God and is well spoken of by the whole Jewish nation, has been instructed by a holy angel to send for you to his house, and to listen to what you have to say.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 23] So Peter invited them in and entertained them. The next day he lost no time in setting out with them, accompanied by some of the Lord’s followers from Joppa;
[OEB | EN | NT | Acts | Chapter 10 | Verse 24] and the day following he entered Caesarea. Cornelius was expecting them, and had invited his relatives and intimate friends to meet them.
[OEB | EN | NT | Acts | Chapter 10 | Verse 25] So, when Peter entered the city, Cornelius met him, and, throwing himself at Peter’s feet, bowed to the ground.
[OEB | EN | NT | Acts | Chapter 10 | Verse 26] Peter, however, lifted him up, saying as he did so, ‘Stand up, I am only human like yourself.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 27] Talking with him as he went, Peter entered the house, where he found a large gathering of people, to whom he said,
[OEB | EN | NT | Acts | Chapter 10 | Verse 28] ‘You are doubtless aware that it is forbidden for a Jew to be intimate with a foreigner, or even to enter his house; and yet God has shown me that I ought not to call anyone defiled or unclean.
[OEB | EN | NT | Acts | Chapter 10 | Verse 29] That was why I came, when I was sent for, without raising any objection. And now I ask your reason for sending for me.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 30] ‘Just three days ago this very hour,’ Cornelius said, ‘I was in my house, saying the Afternoon Prayers, when a man in dazzling clothing suddenly stood before me.
[OEB | EN | NT | Acts | Chapter 10 | Verse 31] “Cornelius,” he said, “your prayer has been heard, and your charities have been accepted, by God.
[OEB | EN | NT | Acts | Chapter 10 | Verse 32] Therefore send to Joppa, and invite the Simon, who is also known as Peter, to come here. He is lodging in the house of Simon the tanner, near the sea.”
[OEB | EN | NT | Acts | Chapter 10 | Verse 33] Accordingly I sent to you at once, and you have been so good as to come. And now we are all here in the presence of God, to listen to all that you have been instructed by the Lord to say.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 34] Then Peter began. ‘I see, beyond all doubt,’ he said, ‘that God does not show partiality,
[OEB | EN | NT | Acts | Chapter 10 | Verse 35] but that in every nation he who reverences him and does what is right is acceptable to him.
[OEB | EN | NT | Acts | Chapter 10 | Verse 36] God has sent his message to the Israelites and told them, through Jesus Christ, the good news of peace – and Jesus is Lord of all!
[OEB | EN | NT | Acts | Chapter 10 | Verse 37] You yourselves know the story which spread through all Judea, how, beginning form Galilee, after the baptism which John proclaimed –
[OEB | EN | NT | Acts | Chapter 10 | Verse 38] the story, I mean, of Jesus of Nazareth, and how God consecrated him his Christ by enduing him with the Holy Spirit and with power; and how he went about doing good and curing all who were under the power of the devil, because God was with him.
