[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 1] Am not I an apostle? am not I free? Jesus Christ our Lord have I not seen? my work are not ye in the Lord?
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 2] if to others I am not an apostle — yet doubtless to you I am; for the seal of my apostleship are ye in the Lord.
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 3] My defence to those who examine me in this;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 4] have we not authority to eat and to drink?
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 5] have we not authority a sister — a wife — to lead about, as also the other apostles, and the brethren of the Lord, and Cephas?
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 6] or only I and Barnabas, have we not authority — not to work?
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 7] who doth serve as a soldier at his own charges at any time? who doth plant a vineyard, and of its fruit doth not eat? or who doth feed a flock, and of the milk of the flock doth not eat?
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 8] According to man do I speak these things? or doth not also the law say these things?
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 9] for in the law of Moses it hath been written, 'thou shalt not muzzle an ox treading out corn;' for the oxen doth God care?
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 10] or because of us by all means doth He say [it]? yes, because of us it was written, because in hope ought the plower to plow, and he who is treading [ought] of his hope to partake in hope.
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 11] If we to you the spiritual things did sow — great [is it] if we your fleshly things do reap?
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 12] if others do partake of the authority over you — not we more? but we did not use this authority, but all things we bear, that we may give no hindrance to the good news of the Christ.
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 13] Have ye not known that those working about the things of the temple — of the temple do eat, and those waiting at the altar — with the altar are partakers?
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 14] so also did the Lord direct to those proclaiming the good news: of the good news to live.
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 15] And I have used none of these things; neither did I write these things that it may be so done in my case, for [it is] good for me rather to die, than that any one may make my glorying void;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 16] for if I may proclaim good news, it is no glorying for me, for necessity is laid upon me, and woe is to me if I may not proclaim good news;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 17] for if willing I do this, I have a reward; and if unwillingly — with a stewardship I have been entrusted!
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 18] What, then, is my reward? — that proclaiming good news, without charge I shall make the good news of the Christ, not to abuse my authority in the good news;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 19] for being free from all men, to all men I made myself servant, that the more I might gain;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 20] and I became to the Jews as a Jew, that Jews I might gain; to those under law as under law, that those under law I might gain;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 21] to those without law, as without law — (not being without law to God, but within law to Christ) — that I might gain those without law;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 22] I became to the infirm as infirm, that the infirm I might gain; to all men I have become all things, that by all means I may save some.
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 23] And this I do because of the good news, that a fellow-partaker of it I may become;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 24] have ye not known that those running in a race — all indeed run, but one doth receive the prize? so run ye, that ye may obtain;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 25] and every one who is striving, is in all things temperate; these, indeed, then, that a corruptible crown they may receive, but we an incorruptible;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 26] I, therefore, thus run, not as uncertainly, thus I fight, as not beating air;
[YLT | EN | NT | 1 Corinthians | Chapter 9 | Verse 27] but I chastise my body, and bring [it] into servitude, lest by any means, having preached to others — I myself may become disapproved.
