[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 1] And concerning the things of which ye wrote to me: good [it is] for a man not to touch a woman,
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 2] and because of the whoredom let each man have his own wife, and let each woman have her proper husband;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 3] to the wife let the husband the due benevolence render, and in like manner also the wife to the husband;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 4] the wife over her own body hath not authority, but the husband; and, in like manner also, the husband over his own body hath not authority, but the wife.
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 5] Defraud not one another, except by consent for a time, that ye may be free for fasting and prayer, and again may come together, that the Adversary may not tempt you because of your incontinence;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 6] and this I say by way of concurrence — not of command,
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 7] for I wish all men to be even as I myself [am]; but each his own gift hath of God, one indeed thus, and one thus.
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 8] And I say to the unmarried and to the widows: it is good for them if they may remain even as I [am];
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 9] and if they have not continence — let them marry, for it is better to marry than to burn;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 10] and to the married I announce — not I, but the Lord — let not a wife separate from a husband:
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 11] but and if she may separate, let her remain unmarried, or to the husband let her be reconciled, and let not a husband send away a wife.
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 12] And to the rest I speak — not the Lord — if any brother hath a wife unbelieving, and she is pleased to dwell with him, let him not send her away;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 13] and a woman who hath a husband unbelieving, and he is pleased to dwell with her, let her not send him away;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 14] for the unbelieving husband hath been sanctified in the wife, and the unbelieving wife hath been sanctified in the husband; otherwise your children are unclean, but now they are holy.
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 15] And, if the unbelieving doth separate himself — let him separate himself: the brother or the sister is not under servitude in such [cases], and in peace hath God called us;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 16] for what, hast thou known, O wife, whether the husband thou shalt save? or what, hast thou known, O husband, whether the wife thou shalt save?
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 17] if not, as God did distribute to each, as the Lord hath called each — so let him walk; and thus in all the assemblies do I direct:
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 18] being circumcised — was any one called? let him not become uncircumcised; in uncircumcision was any one called? let him not be circumcised;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 19] the circumcision is nothing, and the uncircumcision is nothing — but a keeping of the commands of God.
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 20] Each in the calling in which he was called — in this let him remain;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 21] a servant — wast thou called? be not anxious; but if also thou art able to become free — use [it] rather;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 22] for he who [is] in the Lord — having been called a servant — is the Lord's freedman: in like manner also he the freeman, having been called, is servant of Christ:
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 23] with a price ye were bought, become not servants of men;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 24] each, in that in which he was called, brethren, in this let him remain with God.
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 25] And concerning the virgins, a command of the Lord I have not; and I give judgment as having obtained kindness from the Lord to be faithful:
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 26] I suppose, therefore, this to be good because of the present necessity, that [it is] good for a man that the matter be thus: —
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 27] Hast thou been bound to a wife? seek not to be loosed; hast thou been loosed from a wife? seek not a wife.
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 28] But and if thou mayest marry, thou didst not sin; and if the virgin may marry, she did not sin; and such shall have tribulation in the flesh: and I spare you.
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 29] And this I say, brethren, the time henceforth is having been shortened — that both those having wives may be as not having;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 30] and those weeping, as not weeping; and those rejoicing, as not rejoicing; and those buying, as not possessing;
[YLT | EN | NT | 1 Corinthians | Chapter 7 | Verse 31] and those using this world, as not using [it] up; for passing away is the fashion of this world.
