[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 1] And concerning the collection that [is] for the saints, as I directed to the assemblies of Galatia, so also ye — do ye;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 2] on every first [day] of the week, let each one of you lay by him, treasuring up whatever he may have prospered, that when I may come then collections may not be made;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 3] and whenever I may come, whomsoever ye may approve, through letters, these I will send to carry your favour to Jerusalem;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 4] and if it be meet for me also to go, with me they shall go.
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 5] And I will come unto you, when I pass through Macedonia — for Macedonia I do pass through —
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 6] and with you, it may be, I will abide, or even winter, that ye may send me forward whithersoever I go,
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 7] for I do not wish to see you now in the passing, but I hope to remain a certain time with you, if the Lord may permit;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 8] and I will remain in Ephesus till the Pentecost,
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 9] for a door to me hath been opened — great and effectual — and withstanders [are] many.
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 10] And if Timotheus may come, see that he may become without fear with you, for the work of the Lord he doth work, even as I,
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 11] no one, then, may despise him; and send ye him forward in peace, that he may come to me, for I expect him with the brethren;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 12] and concerning Apollos our brother, much I did entreat him that he may come unto you with the brethren, and it was not at all [his] will that he may come now, and he will come when he may find convenient.
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 13] Watch ye, stand in the faith; be men, be strong;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 14] let all your things be done in love.
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 15] And I entreat you, brethren, ye have known the household of Stephanas, that it is the first-fruit of Achaia, and to the ministration to the saints they did set themselves —
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 16] that ye also be subject to such, and to every one who is working with [us] and labouring;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 17] and I rejoice over the presence of Stephanas, and Fortunatus, and Achaicus, because the lack of you did these fill up;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 18] for they did refresh my spirit and yours; acknowledge ye, therefore, those who [are] such.
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 19] Salute you do the assemblies of Asia; salute you much in the Lord do Aquilas and Priscilla, with the assembly in their house;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 20] salute you do all the brethren; salute ye one another in an holy kiss.
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 21] The salutation of [me] Paul with my hand;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 22] if any one doth not love the Lord Jesus Christ — let him be anathema! The Lord hath come!
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 23] The grace of the Lord Jesus Christ [is] with you;
[YLT | EN | NT | 1 Corinthians | Chapter 16 | Verse 24] my love [is] with you all in Christ Jesus. Amen.
