[DRA | EN | OT | Leviticus | Chapter 6 | Verse 1] The Lord spoke to Moses, saying:
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 2] Whosoever shall sin, and despising the Lord, shall deny to his neighbour the thing delivered to his keeping, which was committed to his trust; or shall by force extort any thing, or commit oppression;
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 3] Or shall find a thing lost, and denying it, shall also swear falsely, or shall do any other of the many things, wherein men are wont to sin:
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 4] Being convicted of the offence, he shall restore
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 5] All that he would have gotten by fraud, in the principal, and the fifth part besides to the owner, whom he wronged.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 6] Moreover for his sin he shall offer a ram without blemish out of the flock, and shall give it to the priest, according to the estimation and measure of the offence:
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 7] And he shall pray for him before the Lord, and he shall have forgiveness for every thing in doing of which he hath sinned.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 8] And the Lord spoke to Moses, saying:
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 9] Command Aaron and his sons: This is the law of a holocaust: It shall be burnt upon the altar, all night until morning: the fire shall be of the same altar.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 10] The priest shall be vested with the tunick and the linen breeches, and he shall take up the ashes of that which the devouring fire hath burnt, and putting them beside the altar,
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 11] Shall put off his former vestments, and being clothed with others, shall carry them forth without the camp, and shall cause them to be consumed to dust in a very clean place,
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 12] And the fire on the altar shall always burn, and the priest shall feed it, putting wood on it every day in the morning, and laying on the holocaust, shall burn thereupon the fat of the peace offerings.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 13] This is the perpetual fire which shall never go out on the altar.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 14] This is the law of the sacrifice and libations, which the children of Aaron shall offer before the Lord, and before the altar.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 15] The priest shall take a handful of the flour that is tempered with oil, and all the frankincense that is put upon the flour: and he shall burn it on the altar for a memorial of most sweet odour to the Lord:
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 16] And the part of the flour that is left, Aaron and his sons shall eat, without leaven: and he shall eat it in the holy place of the court of the tabernacle.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 17] And therefore it shall not be leavened, because part thereof is offered for the burnt sacrifice of the Lord. It shall be most holy, as that which is offered for sin and for trespass.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 18] The males only of the race of Aaron shall eat it. It shall be an ordinance everlasting in your generations concerning the sacrifices of the Lord: Every one that toucheth them shall be sanctified.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 19] And the Lord spoke to Moses, saying:
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 20] This is the oblation of Aaron, and of his sons, which they must offer to the Lord, in the day of their anointing: They shall offer the tenth part of an ephi of flour for a perpetual sacrifice, half of it in the morning, and half of it in the evening:
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 21] It shall be tempered with oil, and shall be fried in a fryingpan.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 22] And the priest that rightfully succeedeth his father, shall offer it hot, for a most sweet odour to the Lord, and it shall be wholly burnt on the altar.
[DRA | EN | OT | Leviticus | Chapter 6 | Verse 23] For every sacrifice of the priest shall be consumed with fire, neither shall any man eat thereof.
