[DRA | EN | OT | Leviticus | Chapter 8 | Verse 1] And the Lord spoke to Moses, saying:
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 2] Take Aaron with his sons, their vestments, and the oil of unction, a calf for sin, two rams, a basket with unleavened bread,
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 3] And thou shalt gather together all the congregation to the door of the tabernacle.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 4] And Moses did as the Lord had commanded. And all the multitude being gathered together before the door of the tabernacle,
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 5] He said: This is the word that the Lord hath commanded to be done.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 6] And immediately he offered Aaron and his sons: and when he had washed them,
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 7] He vested the high priest with the strait linen garment, girding him with the girdle, and putting on him the violet tunick, and over it he put the ephod,
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 8] And binding it with the girdle, he fitted it to the rational, on which was Doctrine and Truth.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 9] He put also the mitre upon his head: and upon the mitre over the forehead, he put the plate of gold, consecrated with sanctification, as the Lord had commanded him.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 10] He took also the oil of unction, with which he anointed the tabernacle, with all the furniture thereof.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 11] And when he had sanctified and sprinkled the altar seven times, he anointed it, and all the vessels thereof, and the laver with the foot thereof, he sanctified with the oil.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 12] And he poured it upon Aaron’s head, and he anointed and consecrated him:
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 13] And after he had offered his sons, he vested them with linen tunicks, and girded them with girdles, and put mitres on them as the Lord had commanded.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 14] He offered also the calf for sin: and when Aaron and his sons had put their hands upon the head thereof,
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 15] He immolated it: and took the blood, and dipping his finger in it, he touched the horns of the altar round about. Which being expiated, and sanctified, he poured the rest of the blood at the bottom thereof.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 16] But the fat that was upon the entrails, and the caul of the liver, and the two little kidneys, with their fat, he burnt upon the altar:
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 17] And the calf with the skin, and the flesh and the dung, he burnt without the camp, as the Lord had commanded.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 18] He offered also a ram for a holocaust: and when Aaron and his sons had put their hands upon its head,
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 19] He immolated it, and poured the blood thereof round about upon the altar.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 20] And cutting the ram into pieces, the head thereof, and the joints, and the fat he burnt in the fire,
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 21] Having first washed the entrails, and the feet, and the whole ram together he burnt upon the altar, because it was a holocaust of most sweet odour to the Lord, as he had commanded him.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 22] He offered also the second ram, in the consecration of priests: and Aaron, and his sons put their hands upon the head thereof:
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 23] And when Moses had immolated it, he took of the blood thereof, and touched the tip of Aaron’s right ear, and the thumb of his right hand, and in like manner also the great toe of his right foot.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 24] He offered also the sons of Aaron: and when with the blood of the ram that was immolated, he had touched the tip of the right ear of every one of them, and the thumbs of their right hands, and the great toes of their right feet, the rest he poured on the altar round about:
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 25] But the fat, and the rump, and all the fat that covereth the entrails, and the caul of the liver, and the two kidneys with their fat, and with the right shoulder, he separated.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 26] And taking out of the basket; of unleavened bread, which was before the Lord, a loaf without leaven, and a cake tempered with oil and a wafer, he put them upon the fat, and the right shoulder,
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 27] Delivering all to Aaron, and to his sons: wile having lifted them up before the Lord,
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 28] He took them again from their hands, and burnt them upon the altar of holocaust, because it was the oblation of consecration, for a sweet odour of sacrifice to the Lord.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 29] And he took of the ram of consecration, the breast for his portion, elevating it before the Lord, as the Lord had commanded him.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 30] And taking the ointment, and the blood that was upon the altar, he sprinkled Aaron, and his vestments, and his sons, and their vestments with it.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 31] And when he had sanctified them in their vestments, he commanded them, saying: Boil the flesh before the door of the tabernacle, and there eat it. Eat ye also the loaves of consecration, that are laid in the basket, as the Lord commanded me, saying: Aaron and his sons shall eat them:
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 32] And whatsoever shall be left of the flesh and the leaves, shall be consumed with fire.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 33] And you shall not go out of the door of the tabernacle for seven days, until the day wherein the time of your consecration shall be expired. For in seven days the consecration is finished:
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 34] As at this present it hath been done, that the rite of the sacrifice might be accomplished.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 35] Day and night shall you remain in the tabernacle observing the watches of the Lord, lest you die: for so it hath been commanded me.
[DRA | EN | OT | Leviticus | Chapter 8 | Verse 36] And Aaron and his sons did all things which the Lord spoke by the hand of Moses.
