[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 1] On the twenty-fourth day of the same month, the Israelites gathered together, fasting and wearing sackcloth, with dust on their heads.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 2] Those of Israelite descent separated themselves from all the foreigners, and they stood and confessed their sins and the iniquities of their fathers.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 3] While they stood in their places, they read from the Book of the Law of the LORD their God for a quarter of the day, and they spent another quarter of the day in confession and worship of the LORD their God.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 4] And the Levites—Jeshua, Bani, Kadmiel, Shebaniah, Bunni, Sherebiah, Bani, and Chenani—stood on the raised platform and cried out in a loud voice to the LORD their God.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 5] Then the Levites—Jeshua, Kadmiel, Bani, Hashabneiah, Sherebiah, Hodiah, Shebaniah, and Pethahiah—said, “Stand up and bless the LORD your God from everlasting to everlasting: Blessed be Your glorious name, and may it be exalted above all blessing and praise.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 6] You alone are the LORD. You created the heavens, the highest heavens with all their host, the earth and all that is on it, the seas and all that is in them. You give life to all things, and the host of heaven worships You.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 7] You are the LORD, the God who chose Abram, who brought him out of Ur of the Chaldeans and gave him the name Abraham.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 8] You found his heart faithful before You, and made a covenant with him to give the land of the Canaanites and Hittites, of the Amorites and Perizzites, of the Jebusites and Girgashites— to give it to his descendants. You have kept Your promise, because You are righteous.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 9] You saw the affliction of our fathers in Egypt; You heard their cry at the Red Sea.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 10] You performed signs and wonders against Pharaoh, all his officials, and all the people of his land, for You knew they had acted with arrogance against our fathers. You made a name for Yourself that endures to this day.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 11] You divided the sea before them, and they crossed through it on dry ground. You hurled their pursuers into the depths like a stone into raging waters.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 12] You led them with a pillar of cloud by day and a pillar of fire by night, to light for them the way in which they should travel.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 13] You came down on Mount Sinai and spoke with them from heaven. You gave them just ordinances, true laws, and good statutes and commandments.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 14] You revealed to them Your holy Sabbath and gave them commandments and statutes and laws through Your servant Moses.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 15] In their hunger You gave them bread from heaven; in their thirst You brought them water from the rock. You told them to go in and possess the land which You had sworn to give them.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 16] But they and our fathers became arrogant and stiff-necked and did not obey Your commandments.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 17] They refused to listen and failed to remember the wonders You performed among them. They stiffened their necks and appointed a leader to return them to their bondage in Egypt. But You are a forgiving God, gracious and compassionate, slow to anger and rich in loving devotion, and You did not forsake them.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 18] Even when they cast for themselves an image of a calf and said, ‘This is your God who brought you up out of Egypt,’ and when they committed terrible blasphemies,
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 19] You in Your great compassion did not forsake them in the wilderness. By day the pillar of cloud never turned away from guiding them on their path; and by the night the pillar of fire illuminated the way they should go.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 20] You gave Your good Spirit to instruct them. You did not withhold Your manna from their mouths, and You gave them water for their thirst.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 21] For forty years You sustained them in the wilderness, so that they lacked nothing. Their clothes did not wear out and their feet did not swell.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 22] You gave them kingdoms and peoples and allotted to them every corner of the land. So they took the land of Sihon king of Heshbon and of Og king of Bashan.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 23] You multiplied their descendants like the stars of heaven and brought them to the land You had told their fathers to enter and possess.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 24] So their descendants went in and possessed the land; You subdued before them the Canaanites dwelling in the land. You delivered into their hands the kings and peoples of the land, to do with them as they wished.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 25] They captured fortified cities and fertile land and took houses full of all goods, wells already dug, vineyards, olive groves, and fruit trees in abundance. So they ate and were filled; they grew fat and delighted in Your great goodness.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 26] But they were disobedient and rebelled against You; they flung Your law behind their backs. They killed Your prophets, who had admonished them to return to You. They committed terrible blasphemies.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 27] So You delivered them into the hands of enemies who oppressed them, and in their time of distress they cried out to You. From heaven You heard them, and in Your great compassion You gave them deliverers who saved them from the hands of their enemies.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 28] But as soon as they had rest, they again did evil in Your sight. So You abandoned them to the hands of their enemies, who had dominion over them. When they cried out to You again, You heard from heaven, and You delivered them many times in Your compassion.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 29] You admonished them to turn back to Your law, but they were arrogant and disobeyed Your commandments. They sinned against Your ordinances, by which a man will live if he practices them. They stubbornly shrugged their shoulders; they stiffened their necks and would not obey.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 30] You were patient with them for many years, and Your Spirit admonished them through Your prophets. Yet they would not listen, so You gave them into the hands of the neighboring peoples.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 31] But in Your great compassion, You did not put an end to them; nor did You forsake them, for You are a gracious and compassionate God.
[BSB | EN | OT | Nehemiah | Chapter 9 | Verse 32] So now, our God, the great and mighty and awesome God who keeps His gracious covenant, do not view lightly all the hardship that has come upon us, and upon our kings and leaders, our priests and prophets, our ancestors and all Your people, from the days of the kings of Assyria until today.
