[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 1] When the wall had been rebuilt and I had set the doors in place, the gatekeepers, singers, and Levites were appointed.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 2] Then I put my brother Hanani in charge of Jerusalem, along with Hananiah the commander of the fortress, because he was a faithful man who feared God more than most.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 3] And I told them, “Do not open the gates of Jerusalem until the sun is hot. While the guards are on duty, keep the doors shut and securely fastened. And appoint the residents of Jerusalem as guards, some at their posts and some at their own homes.”
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 4] Now the city was large and spacious, but there were few people in it, and the houses had not yet been rebuilt.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 5] Then my God put it into my heart to assemble the nobles, the officials, and the people to be enrolled by genealogy. I found the genealogical register of those who had first returned, and I found the following written in it:
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 6] These are the people of the province who came up from the captivity of the exiles carried away to Babylon by Nebuchadnezzar its king. They returned to Jerusalem and Judah, each to his own town,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 7] accompanied by Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, and Baanah. This is the count of the men of Israel:
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 8] the descendants of Parosh, 2,172;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 9] the descendants of Shephatiah, 372;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 10] the descendants of Arah, 652;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 11] the descendants of Pahath-moab (through the line of Jeshua and Joab), 2,818;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 12] the descendants of Elam, 1,254;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 13] the descendants of Zattu, 845;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 14] the descendants of Zaccai, 760;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 15] the descendants of Binnui, 648;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 16] the descendants of Bebai, 628;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 17] the descendants of Azgad, 2,322;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 18] the descendants of Adonikam, 667;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 19] the descendants of Bigvai, 2,067;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 20] the descendants of Adin, 655;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 21] the descendants of Ater (through Hezekiah), 98;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 22] the descendants of Hashum, 328;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 23] the descendants of Bezai, 324;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 24] the descendants of Hariph, 112;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 25] the descendants of Gibeon, 95;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 26] the men of Bethlehem and Netophah, 188;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 27] the men of Anathoth, 128;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 28] the men of Beth-azmaveth, 42;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 29] the men of Kiriath-jearim, Chephirah, and Beeroth, 743;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 30] the men of Ramah and Geba, 621;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 31] the men of Michmash, 122;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 32] the men of Bethel and Ai, 123;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 33] the men of the other Nebo, 52;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 34] the descendants of the other Elam, 1,254;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 35] the descendants of Harim, 320;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 36] the men of Jericho, 345;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 37] the men of Lod, Hadid, and Ono, 721;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 38] and the descendants of Senaah, 3,930.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 39] The priests: the descendants of Jedaiah (through the house of Jeshua), 973;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 40] the descendants of Immer, 1,052;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 41] the descendants of Pashhur, 1,247;
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 42] and the descendants of Harim, 1,017.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 43] The Levites: the descendants of Jeshua (through Kadmiel, through the line of Hodevah ), 74.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 44] The singers: the descendants of Asaph, 148.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 45] The gatekeepers: the descendants of Shallum, the descendants of Ater, the descendants of Talmon, the descendants of Akkub, the descendants of Hatita, and the descendants of Shobai, 138 in all.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 46] The temple servants: the descendants of Ziha, the descendants of Hasupha, the descendants of Tabbaoth,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 47] the descendants of Keros, the descendants of Sia, the descendants of Padon,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 48] the descendants of Lebanah, the descendants of Hagabah, the descendants of Shalmai,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 49] the descendants of Hanan, the descendants of Giddel, the descendants of Gahar,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 50] the descendants of Reaiah, the descendants of Rezin, the descendants of Nekoda,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 51] the descendants of Gazzam, the descendants of Uzza, the descendants of Paseah,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 52] the descendants of Besai, the descendants of Meunim, the descendants of Nephushesim,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 53] the descendants of Bakbuk, the descendants of Hakupha, the descendants of Harhur,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 54] the descendants of Bazlith, the descendants of Mehida, the descendants of Harsha,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 55] the descendants of Barkos, the descendants of Sisera, the descendants of Temah,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 56] the descendants of Neziah, and the descendants of Hatipha.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 57] The descendants of the servants of Solomon: the descendants of Sotai, the descendants of Sophereth, the descendants of Perida,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 58] the descendants of Jaala, the descendants of Darkon, the descendants of Giddel,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 59] the descendants of Shephatiah, the descendants of Hattil, the descendants of Pochereth-hazzebaim, and the descendants of Amon.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 60] The temple servants and descendants of the servants of Solomon numbered 392 in all.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 61] The following came up from Tel-melah, Tel-harsha, Cherub, Addon, and Immer, but could not prove that their families were descended from Israel:
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 62] the descendants of Delaiah, the descendants of Tobiah, and the descendants of Nekoda, 642 in all.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 63] And from among the priests: the descendants of Hobaiah, the descendants of Hakkoz, and the descendants of Barzillai (who had married a daughter of Barzillai the Gileadite and was called by their name).
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 64] These men searched for their family records, but they could not find them and so were excluded from the priesthood as unclean.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 65] The governor ordered them not to eat the most holy things until there was a priest to consult the Urim and Thummim.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 66] The whole assembly numbered 42,360,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 67] in addition to their 7,337 menservants and maidservants, as well as their 245 male and female singers.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 68] They had 736 horses, 245 mules,
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 69] 435 camels, and 6,720 donkeys.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 70] Some of the heads of the families contributed to the project. The governor gave to the treasury 1,000 darics of gold, 50 bowls, and 530 priestly garments.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 71] And some of the heads of the families gave to the treasury for the project 20,000 darics of gold and 2,200 minas of silver.
[BSB | EN | OT | Nehemiah | Chapter 7 | Verse 72] The rest of the people gave a total of 20,000 darics of gold, 2,000 minas of silver, and 67 priestly garments.
