[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 1] Now the leaders of the people settled in Jerusalem, and the rest of the people cast lots to bring one out of ten to live in the holy city of Jerusalem, while the remaining nine were to dwell in their own towns.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 2] And the people blessed all the men who volunteered to live in Jerusalem.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 3] These are the heads of the provinces who settled in Jerusalem. (In the villages of Judah, however, each lived on his own property in their towns—the Israelites, priests, Levites, temple servants, and descendants of Solomon’s servants—
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 4] while some of the descendants of Judah and Benjamin settled in Jerusalem.) From the descendants of Judah: Athaiah son of Uzziah, the son of Zechariah, the son of Amariah, the son of Shephatiah, the son of Mahalalel, a descendant of Perez;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 5] and Maaseiah son of Baruch, the son of Col-hozeh, the son of Hazaiah, the son of Adaiah, the son of Joiarib, the son of Zechariah, a descendant of Shelah.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 6] The descendants of Perez who settled in Jerusalem totaled 468 men of valor.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 7] From the descendants of Benjamin: Sallu son of Meshullam, the son of Joed, the son of Pedaiah, the son of Kolaiah, the son of Maaseiah, the son of Ithiel, the son of Jeshaiah;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 8] and his followers Gabbai and Sallai—928 men.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 9] Joel son of Zichri was the officer over them, and Judah son of Hassenuah was over the Second District of the city.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 10] From the priests: Jedaiah son of Joiarib; Jachin;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 11] Seraiah son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the chief official of the house of God;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 12] and their associates who did the work at the temple—822 men; Adaiah son of Jeroham, the son of Pelaliah, the son of Amzi, the son of Zechariah, the son of Pashhur, the son of Malchijah;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 13] and his associates, the leaders of families—242 men; Amashai son of Azarel, the son of Ahzai, the son of Meshillemoth, the son of Immer;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 14] and his associates —128 mighty men of valor. Zabdiel son of Haggedolim was their overseer.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 15] From the Levites: Shemaiah son of Hasshub, the son of Azrikam, the son of Hashabiah, the son of Bunni;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 16] Shabbethai and Jozabad, two leaders of the Levites, who supervised the work outside the house of God;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 17] Mattaniah son of Mica, the son of Zabdi, the son of Asaph, who led in thanksgiving and prayer; Bakbukiah, second among his associates; and Abda son of Shammua, the son of Galal, the son of Jeduthun.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 18] The Levites in the holy city totaled 284.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 19] And the gatekeepers: Akkub, Talmon, and their associates, who kept watch at the gates—172 men.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 20] The rest of the Israelites, with the priests and Levites, were in all the villages of Judah, each on his own inheritance.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 21] The temple servants lived on the hill of Ophel, with Ziha and Gishpa over them.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 22] Now the overseer of the Levites in Jerusalem was Uzzi son of Bani, the son of Hashabiah, the son of Mattaniah, the son of Mica. He was one of Asaph’s descendants, who were the singers in charge of the service of the house of God.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 23] For there was a command from the king concerning the singers, an ordinance regulating their daily activities.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 24] Pethahiah son of Meshezabel, a descendant of Zerah son of Judah, was the king’s agent in every matter concerning the people.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 25] As for the villages with their fields, some of the people of Judah lived in Kiriath-arba, Dibon, Jekabzeel, and their villages;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 26] in Jeshua, Moladah, and Beth-pelet;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 27] in Hazar-shual; in Beersheba and its villages;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 28] in Ziklag; in Meconah and its villages;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 29] in En-rimmon, Zorah, Jarmuth,
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 30] Zanoah, Adullam, and their villages; in Lachish and its fields; and in Azekah and its villages. So they settled from Beersheba all the way to the Valley of Hinnom.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 31] The descendants of Benjamin from Geba lived in Michmash, Aija, and Bethel with its villages;
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 32] in Anathoth, Nob, Ananiah,
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 33] Hazor, Ramah, Gittaim,
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 34] Hadid, Zeboim, Neballat,
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 35] Lod, and Ono; and in the Valley of the Craftsmen.
[BSB | EN | OT | Nehemiah | Chapter 11 | Verse 36] And some divisions of the Levites of Judah settled in Benjamin.
