[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 1] At the Sheep Gate, Eliashib the high priest and his fellow priests began rebuilding. They dedicated it and installed its doors. After building as far as the Tower of the Hundred and the Tower of Hananel, they dedicated the wall.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 2] The men of Jericho built next to Eliashib, and Zaccur son of Imri built next to them.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 3] The Fish Gate was rebuilt by the sons of Hassenaah. They laid its beams and installed its doors, bolts, and bars.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 4] Next to them, Meremoth son of Uriah, the son of Hakkoz, made repairs. Next to him, Meshullam son of Berechiah, the son of Meshezabel, made repairs; and next to him, Zadok son of Baana made repairs as well.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 5] Next to him, the Tekoites made repairs, but their nobles did not put their shoulders to the work under their supervisors.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 6] The Jeshanah Gate was repaired by Joiada son of Paseah and Meshullam son of Besodeiah. They laid its beams and installed its doors, bolts, and bars.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 7] Next to them, repairs were made by Melatiah the Gibeonite, Jadon the Meronothite, and the men of Gibeon and Mizpah, who were under the authority of the governor of the region west of the Euphrates.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 8] Next to them, Uzziel son of Harhaiah, one of the goldsmiths, made repairs, and next to him, Hananiah son of the perfumer made repairs. They fortified Jerusalem as far as the Broad Wall.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 9] Next to them, Rephaiah son of Hur, ruler of a half-district of Jerusalem, made repairs;
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 10] next to him, Jedaiah son of Harumaph made repairs across from his house; and next to him, Hattush son of Hashabneiah made repairs.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 11] Malchijah son of Harim and Hasshub son of Pahath-moab repaired another section, as well as the Tower of the Ovens.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 12] And next to them, Shallum son of Hallohesh, ruler of the other half-district of Jerusalem, made repairs, with the help of his daughters.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 13] The Valley Gate was repaired by Hanun and the residents of Zanoah. They rebuilt it, installed its doors, bolts, and bars, and repaired a thousand cubits of the wall as far as the Dung Gate.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 14] The Dung Gate was repaired by Malchijah son of Rechab, ruler of the district of Beth-haccherem. He rebuilt it and installed its doors, bolts, and bars.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 15] The Fountain Gate was repaired by Shallun son of Col-hozeh, ruler of the district of Mizpah. He rebuilt it, roofed it, and installed its doors, bolts, and bars. He also repaired the wall of the Pool of Shelah near the king’s garden, as far as the stairs that descend from the City of David.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 16] Beyond him, Nehemiah son of Azbuk, ruler of a half-district of Beth-zur, made repairs up to a point opposite the tombs of David, as far as the artificial pool and the House of the Mighty.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 17] Next to him, the Levites made repairs under Rehum son of Bani, and next to him, Hashabiah, ruler of a half-district of Keilah, made repairs for his district.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 18] Next to him, their countrymen made repairs under Binnui son of Henadad, ruler of the other half-district of Keilah.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 19] And next to him, Ezer son of Jeshua, ruler of Mizpah, repaired another section opposite the Ascent to the Armory, near the angle in the wall.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 20] Next to him, Baruch son of Zabbai diligently repaired another section, from the angle to the doorway of the house of Eliashib the high priest.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 21] Next to him, Meremoth son of Uriah, the son of Hakkoz, repaired another section, from the doorway of the house of Eliashib to the end of the house.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 22] And next to him, the priests from the surrounding area made repairs.
[BSB | EN | OT | Nehemiah | Chapter 3 | Verse 23] Beyond them, Benjamin and Hasshub made repairs in front of their house, and next to them, Azariah son of Maaseiah, the son of Ananiah, made repairs beside his house.
