[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 1] And it came to pass, that when Sanaballat heard that we were building the wall he was angry: and being moved exceedingly he scoffed at the Jews.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 2] And said before his brethren, and the multitude of the Samaritans: What are the silly Jews doing? Will the Gentiles let them alone? will they sacrifice and make an end in a day? are they able to raise stones out of the heaps of the rubbish, which are burnt?
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 3] Tobias also the Ammonite who was by him said: Let them build: if a fox go up, he will leap over their stone wall.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 4] Hear thou our God, for we are despised: turn their reproach upon their own head, and give them to be despised in a land of captivity.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 5] Cover not their iniquity, and let not their sin be blotted out from before thy face, because they have mocked thy builders.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 6] So we built the wall, and joined it all together unto the half thereof: and the heart of the people was excited to work.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 7] And it came to pass, when Sanaballat, and Tobias, and the Arabians, and the Ammonites, and the Azotians heard that the walls of Jerusalem were made up, and the breaches began to be closed, that they were exceedingly angry.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 8] And they all assembled themselves together, to come, and to fight against Jerusalem, and to prepare ambushes.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 9] And we prayed to our God, and set watchmen upon the wall day and night against them.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 10] And Juda said: The strength of the bearer of burdens is decayed, and the rubbish is very much, and we shall not be able to build the wall.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 11] And our enemies said: Let them not know, nor understand, till we come in the midst of them, and kill them, and cause the work to cease.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 12] And it came to pass, that when the Jews that dwelt by them came and told us ten times, out of all the places from whence they came to us,
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 13] I set the people in the place behind the wall round about in order, with their swords, and spears, and bows.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 14] And I looked and rose up: and I said to the chief men and the magistrates, and to the rest of the common people: be not afraid of them. Remember the Lord who is great and terrible, and fight for your brethren, your sons, and your daughters, and your wives, and your houses.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 15] And it came to pass, when our enemies heard that the thing had been told us, that God defeated their counsel. And we returned all of us to the walls, every man to his work.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 16] And it came to pass from that day forward, that half of their young men did the work, and half were ready for to fight, with spears, and shields, and bows, and coats of mail, and the rulers were behind them in all the house of Juda.
[DRA | EN | OT | Nehemiah | Chapter 4 | Verse 17] Of them that built on the wall and that carried burdens, and that laded: with one of his hands he did the work, and with the other he held a sword.
