[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 1] And the princes of the people dwelt at Jerusalem: but the rest of the people cast lots, to take one part in ten to dwell in Jerusalem the holy city, and nine parts in the other cities.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 2] And the people blessed all the men that willingly offered themselves to dwell in Jerusalem.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 3] These therefore are the chief men of the province, who dwelt in Jerusalem, and in the cities of Juda. And every one dwelt in his possession, in their cities: Israel, the priests, the Levites, the Nathinites, and the children of the servants of Solomon.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 4] And in Jerusalem there dwelt some of the children of Juda, and some of the children of Benjamin: of the children of Juda, Athaias the son of Aziam, the son of Zacharias, the son of Amarias, the son of Saphatias, the son of Malaleel: of the sons of Phares,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 5] Maasia the son of Baruch, the son of Cholhoza, the son of Hazia, the son of Adaia, the son of Joiarib, the son of Zacharias, the son of the Silonite:
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 6] All these the sons of Phares, who dwelt in Jerusalem, were four hundred sixty-eight valiant men.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 7] And these are the children of Benjamin: Sellum the son of Mosollam, the son of Joed, the son of Phadaia, the son of Colaia, the son of Masia, the son of Etheel, the son of Isaia.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 8] And after him Gebbai, Sellai, nine hundred twenty-eight.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 9] And Joel the son of Zechri their ruler, and Judas the son of Senua was second over the city.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 10] And of the priests Idaia the son of Joarib, Jachin,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 11] Saraia the son of Helcias, the son of Mosollam, the son of Sadoc, the son of Meraioth, the son of Achitob the prince of the house of God,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 12] And their brethren that do the works of the temple: eight hundred twenty-two. And Adaia the son of Jeroham, the son of Phelelia, the son of Amsi, the son of Zacharias, the son of Pheshur, the son of Melchias,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 13] And his brethren the chiefs of the fathers: two hundred forty-two. And Amassai the son of Azreel, the son of Ahazi, the son of Mosollamoth, the son of Emmer,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 14] And their brethren who were very mighty, a hundred twenty-eight: and their ruler Zabdiel son of the mighty.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 15] And of the Levites Semeia the son of Hasub, the son of Azaricam, the son of Hasabia, the son of Boni,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 16] And Sabathai and Jozabed, who were over all the outward business of the house of God, of the princes of the Levites,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 17] And Mathania the son of Micha, the son of Zebedei, the son of Asaph, was the principal man to praise, and to give glory in prayer, and Becbecia the second, one of his brethren, and Abda the son of Samua, the son of Galal, the son of Idithun.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 18] All the Levites in the holy city were two hundred eighty-four.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 19] And the porters, Accub, Telmon, and their brethren, who kept the doors: a hundred seventy-two.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 20] And the rest of Israel, the priests and the Levites were in all the cities of Juda, every man in his possession.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 21] And the Nathinites, that dwelt in Ophel, and Siaha, and Gaspha of the Nathinites.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 22] And the overseer of the Levites in Jerusalem, was Azzi the son of Bani, the son of Hasabia, the son of Mathania, the son of Micha. Of the sons of Asaph, were the singing men in the ministry of the house of God.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 23] For the king’s commandment was concerning them, and an order among the singing men day by day.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 24] And Phathahia the son of Mesezebel of the children of Zara the son of Juda was at the hand of the king, in all matters concerning the people,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 25] And in the houses through all their countries. Of the children of Juda so dwelt at Cariath-Arbe, and in the villages thereof: and at Dibon, and in the villages thereof: and at Cabseel, and in the villages thereof.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 26] And at Jesue, and at Molada, and Bethphaleth,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 27] And at Hasersual, and at Bersabee, and in the villages thereof,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 28] And at Siceleg, and at Mochona, and in the villages thereof,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 29] And at Remmon, and at Saraa, and at Jerimuth,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 30] Zanoa, Odollam, and in their villages, at Lachis and its dependencies, and at Azeca and the villages thereof. And they dwelt from Bersabee unto the valley of Ennom.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 31] And the children of Benjamin, from Geba, at Mechmas, and at Hai, and at Bethel, and in the villages thereof,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 32] At Anathoth, Nob, Anania,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 33] Asor, Rama, Gethaim,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 34] Hadid, Seboim, and Neballat, Led,
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 35] And Ono the valley of craftsmen.
[DRA | EN | OT | Nehemiah | Chapter 11 | Verse 36] And of the Levites were portions of Juda and Benjamin.
