[IRV | UR | NT | Ephesians | Chapter 3 | Verse 1] इसी वजह से मैं पौलुस जो तुम ग़ैर — क़ौम वालों की ख़ातिर ईसा मसीह का क़ैदी हूँ।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 2] शायद तुम ने ख़ुदा के उस फ़ज़ल के इन्तज़ाम का हाल सुना होगा, जो तुम्हारे लिए मुझ पर हुआ।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 3] या'नी ये कि वो भेद मुझे मुक़ाशिफ़ा से मा'लूम हुआ। चुनाँचे मैंने पहले उसका थोड़ा हाल लिखा है,
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 4] जिसे पढ़कर तुम मा'लूम कर सकते हो कि मैं मसीह का वो राज़ किस क़दर समझता हूँ।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 5] जो और ज़मानो में बनी आदम को इस तरह मा'लूम न हुआ था, जिस तरह उसके मुक़द्दस रसूलों और नबियों पर पाक रूह में अब ज़ाहिर हो गया है;
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 6] या'नी ये कि ईसा मसीह में ग़ैर — क़ौम ख़ुशख़बरी के वसीले से मीरास में शरीक और बदन में शामिल और वा'दों में दाख़िल हैं।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 7] और ख़ुदा के उस फ़ज़ल की बख़्शिश से जो उसकी क़ुदरत की तासीर से मुझ पर हुआ, मैं इस ख़ुशख़बरी का ख़ादिम बना।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 8] मुझ पर जो सब मुक़द्दसों में छोटे से छोटा हूँ, फ़ज़ल हुआ कि ग़ैर — क़ौमों को मसीह की बेक़यास दौलत की ख़ुशख़बरी दूँ।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 9] और सब पर ये बात रोशन करूँ कि जो राज़ अज़ल से सब चीज़ों के पैदा करनेवाले ख़ुदा में छुपा रहा उसका क्या इन्तज़ाम है।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 10] ताकि अब कलीसिया के वसीले से ख़ुदा की तरह तरह की हिक्मत उन हुकूमतवालों और इख़्तियार वालों को जो आसमानी मुक़ामों में हैं, मा'लूम हो जाए।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 11] उस अज़ली इरादे के जो उसने हमारे ख़ुदावन्द ईसा मसीह में किया था,
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 12] जिसमें हम को उस पर ईमान रखने की वजह से दिलेरी है और भरोसे के साथ रसाई।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 13] पस मैं गुज़ारिश करता हूँ कि तुम मेरी उन मुसीबतों की वजह से जो तुम्हारी ख़ातिर सहता हूँ हिम्मत न हारो, क्यूँकि वो तुम्हारे लिए 'इज़्ज़त का ज़रिया हैं।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 14] इस वजह से मैं उस बाप के आगे घुटने टेकता हूँ,
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 15] जिससे आसमान और ज़मीन का हर एक ख़ानदान नामज़द है।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 16] कि वो अपने जलाल की दौलत के मुवाफ़िक़ तुम्हें ये 'इनायत करे कि तुम ख़ुदा की रूह से अपनी बातिनी इंसान ियत में बहुत ही ताक़तवर हो जाओ,
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 17] और ईमान के वसीले से मसीह तुम्हारे दिलों में सुकूनत करे ताकि तुम मुहब्बत में जड़ पकड़ के और बुनियाद क़ाईम करके,
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 18] सब मुक़द्दसों समेत बख़ूबी मा'लूम कर सको कि उसकी चौड़ाई और लम्बाई और ऊँचाई और गहराई कितनी है,
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 19] और मसीह की उस मुहब्बत को जान सको जो जानने से बाहर है ताकि तुम ख़ुदा की सारी मा'मूरी तक मा'मूर हो जाओ।
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 20] अब जो ऐसा क़ादिर है कि उस क़ुदरत के मुवाफ़िक़ जो हम में तासीर करती है, हामारी गुज़ारिश और ख़याल से बहुत ज़्यादा काम कर सकता है,
[IRV | UR | NT | Ephesians | Chapter 3 | Verse 21] कलीसिया में और ईसा मसीह में पुश्त — दर — पुश्त और हमेशा हमेशा उसकी बड़ाई होती रहे। आमीन।
