[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 1] Thou therefore, my son, be strong in the grace that is in Christ Jesus.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 2] And the things that thou hast heard of me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 3] Thou therefore endure hardness, as a good soldier of Jesus Christ.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 4] No man that warreth entangleth himself with the affairs of this life; that he may please him who hath chosen him to be a soldier.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 5] And if a man also strive for masteries, yet is he not crowned, except he strive lawfully.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 6] The husbandman that laboureth must be first partaker of the fruits.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 7] Consider what I say; and the Lord give thee understanding in all things.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 8] Remember that Jesus Christ of the seed of David was raised from the dead according to my gospel:
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 9] wherein I suffer trouble, as an evil doer, even unto bonds; but the word of God is not bound.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 10] Therefore I endure all things for the elects’ sakes, that they may also obtain the salvation which is in Christ Jesus with eternal glory.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 11] It is a faithful saying: For if we be dead with him, we shall also live with him:
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 12] if we suffer, we shall also reign with him: if we deny him, he also will deny us:
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 13] if we believe not, yet he abideth faithful: he cannot deny himself.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 14] Of these things put them in remembrance, charging them before the Lord that they strive not about words to no profit, but to the subverting of the hearers.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 15] Study to shew thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 16] But shun profane and vain babblings: for they will increase unto more ungodliness.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 17] And their word will eat as doth a canker: of whom is Hymeneus and Philetus;
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 18] who concerning the truth have erred, saying that the resurrection is past already; and overthrow the faith of some.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 19] Nevertheless the foundation of God standeth sure, having this seal, The Lord knoweth them that are his. And, Let every one that nameth the name of Christ depart from iniquity.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 20] But in a great house there are not only vessels of gold and of silver, but also of wood and of earth; and some to honour, and some to dishonour.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 21] If a man therefore purge himself from these, he shall be a vessel unto honour, sanctified, and meet for the master’s use, and prepared unto every good work.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 22] Flee also youthful lusts: but follow righteousness, faith, charity, peace, with them that call on the Lord out of a pure heart.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 23] But foolish and unlearned questions avoid, knowing that they do gender strifes.
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 24] And the servant of the Lord must not strive; but be gentle unto all men, apt to teach, patient,
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 25] in meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth;
[KJV | EN | NT | 2 Timothy | Chapter 2 | Verse 26] and that they may recover themselves out of the snare of the devil, who are taken captive by him at his will.
