[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 1] I charge thee therefore before God, and the Lord Jesus Christ, who shall judge the quick and the dead at his appearing and his kingdom;
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 2] preach the word; be instant in season, out of season; reprove, rebuke, exhort with all longsuffering and doctrine.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 3] For the time will come when they will not endure sound doctrine; but after their own lusts shall they heap to themselves teachers, having itching ears;
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 4] and they shall turn away their ears from the truth, and shall be turned unto fables.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 5] But watch thou in all things, endure afflictions, do the work of an evangelist, make full proof of thy ministry.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 6] For I am now ready to be offered, and the time of my departure is at hand.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 7] I have fought a good fight, I have finished my course, I have kept the faith:
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 8] henceforth there is laid up for me a crown of righteousness, which the Lord, the righteous judge, shall give me at that day: and not to me only, but unto all them also that love his appearing.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 9] Do thy diligence to come shortly unto me:
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 10] for Demas hath forsaken me, having loved this present world, and is departed unto Thessalonica; Crescens to Galatia, Titus unto Dalmatia.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 11] Only Luke is with me. Take Mark, and bring him with thee: for he is profitable to me for the ministry.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 12] And Tychicus have I sent to Ephesus.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 13] The cloke that I left at Troas with Carpus, when thou comest, bring with thee, and the books, but especially the parchments.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 14] Alexander the coppersmith did me much evil: the Lord reward him according to his works:
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 15] of whom be thou ware also; for he hath greatly withstood our words.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 16] At my first answer no man stood with me, but all men forsook me: I pray God that it may not be laid to their charge.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 17] Notwithstanding the Lord stood with me, and strengthened me; that by me the preaching might be fully known, and that all the Gentiles might hear: and I was delivered out of the mouth of the lion.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 18] And the Lord shall deliver me from every evil work, and will preserve me unto his heavenly kingdom: to whom be glory for ever and ever. Amen.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 19] Salute Prisca and Aquila, and the household of Onesiphorus.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 20] Erastus abode at Corinth: but Trophimus have I left at Miletum sick.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 21] Do thy diligence to come before winter. Eubulus greeteth thee, and Pudens, and Linus, and Claudia, and all the brethren.
[KJV | EN | NT | 2 Timothy | Chapter 4 | Verse 22] The Lord Jesus Christ be with thy spirit. Grace be with you. Amen. ¶ The second epistle unto Timotheus, ordained the first bishop of the church of the Ephesians, was written from Rome, when Paul was brought before Nero the second time.
