[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 1] Dead flies cause the ointment of the apothecary to send forth an offensive odor: so doth a little folly him that is in reputation for wisdom and honor.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 2] A wise man's heart is at his right hand; but a fool's heart is at his left.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 3] Also, when he that is a fool walketh by the way, his wisdom faileth him , and he saith to every one that he is a fool.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 4] If the spirit of the ruler riseth against thee, leave not thy place; for yielding pacifieth great offenses.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 5] There is an evil which I have seen under the sun, as an error which proceedeth from the ruler:
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 6] Folly is set in great dignity, and the rich sit in low place.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 7] I have seen servants upon horses, and princes walking as servants upon the earth.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 8] He that diggeth a pit shall fall into it; and whoever breaketh a hedge, a serpent shall bite him.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 9] Whoever removeth stones shall be hurt by them; and he that cleaveth wood shall be endangered by it.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 10] If the iron is blunt, and he doth not whet the edge, then must he use more strength: but wisdom is profitable to direct.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 11] Surely the serpent will bite without enchantment; and a babbler is no better.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 12] The words of a wise man's mouth are gracious; but the lips of a fool will swallow up himself.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 13] The beginning of the words of his mouth is foolishness: and the end of his talk is mischievous madness.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 14] A fool also is full of words: a man cannot tell what shall be; and what shall be after him, who can tell him?
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 15] The labor of the foolish wearieth every one of them, because he knoweth not how to go to the city.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 16] Woe to thee, O land, when thy king is a child, and thy princes eat in the morning!
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 17] Blessed art thou, O land, when thy king is the son of nobles, and thy princes eat in due season, for strength, and not for drunkenness!
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 18] By much slothfulness the building decayeth; and through idleness of the hands the house droppeth through.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 19] A feast is made for laughter, and wine maketh merry: but money answereth all things .
[WEBSTER | EN | OT | Ecclesiastes | Chapter 10 | Verse 20] Curse not the king, no not in thy thought; and curse not the rich in thy bed-chamber: for a bird of the air will carry the voice, and that which hath wings will tell the matter.
