[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 1] The words of the preacher, the son of David, king of Jerusalem.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 2] Vanity of vanities, saith the preacher, vanity of vanities; all is vanity.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 3] What profit hath a man of all his labor, which he taketh under the sun?
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 4] One generation passeth away, and another generation cometh: but the earth abideth for ever.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 5] The sun also riseth, and the sun goeth down, and hasteth to his place where he arose.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 6] The wind goeth towards the south, and turneth about to the north; it whirleth about continually, and the wind returneth again according to its circuits.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 7] All the rivers run into the sea; yet the sea is not full; to the place from whence the rivers come, thither they return again.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 8] All things are full of labor; man cannot utter it : the eye is not satisfied with seeing, nor the ear filled with hearing.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 9] The thing that hath been, it is that which shall be; and that which is done is that which shall be done: and there is no new thing under the sun.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 10] Is there any thing of which it may be said, See, this is new? it hath been already of old time, which was before us.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 11] There is no remembrance of former things ; neither shall there be any remembrance of things that are to come with those that shall come after.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 12] I the preacher was king over Israel in Jerusalem.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 13] And I gave my heart to seek and search out by wisdom concerning all things that are done under heaven: this grievous labor hath God given to the sons of man to be exercised with it.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 14] I have seen all the works that are done under the sun; and behold, all is vanity and vexation of spirit.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 15] That which is crooked cannot be made straight: and that which is wanting cannot be numbered.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 16] I communed with my own heart, saying, Lo, I have come to great estate, and have gained more wisdom than all they that have been before me in Jerusalem: and my heart had great experience of wisdom and knowledge.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 17] And I gave my heart to know wisdom, and to know madness and folly: I perceived that this also is vexation of spirit.
[WEBSTER | EN | OT | Ecclesiastes | Chapter 1 | Verse 18] For in much wisdom is much grief: and he that increaseth knowledge increaseth sorrow.
