[LXX | EL | OT | Amos | Chapter 3 | Verse 1] Ἀκούσατε τὸν λόγον τοῦτον, ὃν ἐλάλησε Κύριος ἐφʼ ὑμᾶς, οἶκος Ἰσραὴλ, καὶ κατὰ πάσης φυλῆς, ἧς ἀνήγαγον ἐκ γῆς Αἰγύπτου, λέγων,
[LXX | EL | OT | Amos | Chapter 3 | Verse 2] πλὴν ὑμᾶς ἔγνων ἐκ πασῶν τῶν φυλῶν τῆς γῆς, διατοῦτο ἐκδικήσω ἐφʼ ὑμᾶς πάσας τὰς ἁμαρτίας ὑμῶν.
[LXX | EL | OT | Amos | Chapter 3 | Verse 3] Εἰ πορεύσονται δύο ἐπιτοαυτὸ καθόλου, ἐὰν μὴ γνωρίσωσιν ἑαυτούς;
[LXX | EL | OT | Amos | Chapter 3 | Verse 4] Εἰ ἐρεύξεται λέων ἐκ τοῦ δρυμοῦ αὐτοῦ θήραν οὐκ ἔχων; εἰ δώσει σκύμνος φωνὴν αὐτοῦ ἐκ τῆς μάνδρας αὐτοῦ καθόλου, ἐὰν μὴ ἁρπάσῃ τί;
[LXX | EL | OT | Amos | Chapter 3 | Verse 5] Εἰ πεσεῖται ὄρνεον ἐπὶ τῆς γῆς ἄνευ ἰξευτοῦ; εἰ σχασθήσεται παγὶς ἐπὶ τῆς γῆς ἄνευ τοῦ συλλαβεῖν τί;
[LXX | EL | OT | Amos | Chapter 3 | Verse 6] Εἰ φωνήσει σάλπιγξ ἐν πόλει, καὶ λαὸς οὐ πτοηθήσεται; εἰ ἔσται κακία ἐν πόλει ἣν Κύριος οὐκ ἐποίησε;
[LXX | EL | OT | Amos | Chapter 3 | Verse 7] Διότι οὐ μὴ ποιήσῃ Κύριος ὁ Θεὸς πρᾶγμα ἐὰν μὴ ἀποκαλύψῃ παιδείαν πρὸς τοὺς δούλους αὐτοῦ τοὺς προφήτας.
[LXX | EL | OT | Amos | Chapter 3 | Verse 8] Λέων ἐρεύξεται, καὶ τίς οὐ φοβηθήσεται; Κύριος ὁ Θεὸς ἐλάλησε, καὶ τίς οὐ προφητεύσει;
[LXX | EL | OT | Amos | Chapter 3 | Verse 9] Ἀναγγείλατε χώραις ἐν Ἀσσυρίοις, καὶ ἐπὶ τὰς χώρας τῆς Αἰγύπτου, καὶ εἴπατε, συνάχθητε ἐπὶ τὸ ὄρος Σαμαρείας, καὶ ἴδετε θαυμαστὰ πολλὰ ἐν μέσῳ αὐτῆς, καὶ καταδυναστείαν τὴν ἐν αὐτῇ.
[LXX | EL | OT | Amos | Chapter 3 | Verse 10] Καὶ οὐκ ἔγνω ἃ ἔσται ἐναντίον αὐτῆς, λέγει Κύριος, οἱ θησαυρίζοντες ἀδικίαν καὶ ταλαιπωρίαν ἐν ταῖς χώραις αὐτῶν.
[LXX | EL | OT | Amos | Chapter 3 | Verse 11] Διατοῦτο τάδε λέγει Κύριος ὁ Θεὸς, Τύρος κυκλόθεν ἡ γῆ σου ἐρημωθήσεται, καὶ κατάξει ἐκ σοῦ ἰσχύν σου, καὶ διαρπαγήσονται αἱ χῶραί σου.
[LXX | EL | OT | Amos | Chapter 3 | Verse 12] Τάδε λέγει Κύριος, ὃν τρόπον ὅταν ἐκσπάσῃ ὁ ποιμὴν ἐκ στόματος τοῦ λέοντος δύο σκέλη ἢ λοβὸν ὠτίου, οὕτως ἐκσπασθήσονται οἱ υἱοὶ Ἰσραὴλ οἱ κατοικοῦντες ἐν Σαμαρείᾳ κατέναντι τῆς φυλῆς, καὶ ἐν Δαμασκῷ.
[LXX | EL | OT | Amos | Chapter 3 | Verse 13] Ἰερεῖς ἀκούσατε, καὶ ἐπιμαρτύρασθε τῷ οἴκῳ Ἰακὼβ, λέγει Κύριος ὁ Θεὸς ὁ παντοκράτωρ.
[LXX | EL | OT | Amos | Chapter 3 | Verse 14] Διότι ἐν τῇ ἡμέρᾳ ὅταν ἐκδικῶ ἀσεβείας τοῦ Ἰσραὴλ ἐπʼ αὐτὸν, καὶ ἐκδικήσω ἐπὶ τὰ θυσιαστήρια Βαιθήλ· καὶ κατασκαφήσεται τὰ κέρατα τοῦ θυσιαστηρίου, καὶ πεσοῦνται ἐπὶ τὴν γῆν·
[LXX | EL | OT | Amos | Chapter 3 | Verse 15] Συγχεῶ καὶ πατάξω τὸν οἶκον τὸν περίπτερον ἐπὶ τὸν οἶκον τὸν θερινὸν, καὶ ἀπολοῦνται οἶκοι ἐλεφάντινοι, καὶ προστεθήσονται ἕτεροι οἶκοι πολλοὶ, λέγει Κύριος.
