[LXX | EL | OT | Amos | Chapter 8 | Verse 1] Καὶ ἰδοὺ ἄγγος ἰξευτοῦ. Καὶ εἶπε, τί σὺ βλέπεις Ἀμώς; καὶ εἶπα, ἄγγος ἰξευτοῦ·
[LXX | EL | OT | Amos | Chapter 8 | Verse 2] καὶ εἶπε Κύριος πρὸς μὲ, ἥκει τὸ πέρας ἐπὶ τὸν λαόν μου Ἰσραὴλ, οὐ προσθήσω ἔτι τοῦ παρελθεῖν αὐτόν.
[LXX | EL | OT | Amos | Chapter 8 | Verse 3] Καὶ ὀλολύξει τὰ φατνώματα τοῦ ναοῦ ἐν τῇ ἡμέρᾳ ἐκείνῃ, λέγει Κύριος Κύριος· πολὺς ὁ πεπτωκὼς ἐν παντὶ τόπῳ, ἐπιῤῥίψω σιωπήν.
[LXX | EL | OT | Amos | Chapter 8 | Verse 4] Ἀκούσατε δὴ ταῦτα οἱ ἐκτρίβοντες εἰς τοπρωῒ πένητα, καὶ καταδυναστεύοντες πτωχοὺς ἀπὸ τῆς γῆς,
[LXX | EL | OT | Amos | Chapter 8 | Verse 5] λέγοντες, πότε διελεύσεται ὁ μὴν, καὶ ἐμπολήσομεν, καὶ τὰ σάββατα, καὶ ἀνοίξομεν θησαυρὸν τοῦ ποιῆσαι μέτρον μικρὸν, καὶ τοῦ μεγαλῦναι στάθμιον, καὶ ποιῆσαι ζυγὸν ἄδικον,
[LXX | EL | OT | Amos | Chapter 8 | Verse 6] τοῦ κτᾶσθαι ἐν ἀργυρίῳ καὶ πτωχοὺς, καὶ πένητα ἀντὶ ὑποδημάτων, καὶ ἀπὸ παντὸς γεννήματος ἐμπορευσόμεθα.
[LXX | EL | OT | Amos | Chapter 8 | Verse 7] Ὀμνύει Κύριος κατὰ τῆς ὑπερηφανίας Ἰακὼβ, εἰ ἐπιλησθήσεται εἰς νῖκος πάντα τὰ ἔργα ὑμῶν,
[LXX | EL | OT | Amos | Chapter 8 | Verse 8] Καὶ ἐπὶ τούτοις οὐ ταραχθήσεται ἡ γῆ, καὶ πενθήσει πᾶς ὁ κατοικῶν ἐν αὐτῇ; καὶ ἀναβήσεται ὡς ποταμὸς συντέλεια, καὶ καταβήσεται ὡς ποταμὸς Αἰγύπτου.
[LXX | EL | OT | Amos | Chapter 8 | Verse 9] Καὶ ἔσται ἐν τῇ ἡμέρᾳ ἐκείνῃ, λέγει Κύριος Κύριος, δύσεται ὁ ἥλιος μεσημβρίας, καὶ συσκοτάσει ἐπὶ τῆς γῆς ἐν ἡμέρᾳ τὸ φῶς,
[LXX | EL | OT | Amos | Chapter 8 | Verse 10] καὶ μεταστρέψω τὰς ἑορτὰς ὑμῶν εἰς πένθος, καὶ πάσας τὰς ᾠδὰς ὑμῶν εἰς θρῆνον, καὶ ἀναβιβῶ ἐπὶ πᾶσαν ὀσφὺν σάκκον, καὶ ἐπὶ πᾶσαν κεφαλὴν φαλάκρωμα· καὶ θήσομαι αὐτὸν ὡς πένθος ἀγαπητοῦ, καὶ τοὺς μετʼ αὐτοῦ ὡς ἡμέραν ὀδύνης.
[LXX | EL | OT | Amos | Chapter 8 | Verse 11] Ἰδοὺ ἡμέραι ἔρχονται, λέγει Κύριος, καὶ ἐξαποστελῶ λιμὸν ἐπὶ τὴν γῆν, οὐ λιμὸν ἄρτων, οὐδὲ δίψαν ὕδατος, ἀλλὰ λιμὸν τοῦ ἀκοῦσαι τὸν λόγον Κυρίου.
[LXX | EL | OT | Amos | Chapter 8 | Verse 12] Καὶ σαλευθήσονται ὕδατα ἀπὸ τῆς θαλάσσης ἕως θαλάσσης, καὶ ἀπὸ Βοῤῥᾶ ἕως ἀνατολῶν περιδραμοῦνται ζητοῦντες τὸν λόγον τοῦ Κυρίου, καὶ οὐ μὴ εὕρωσιν.
[LXX | EL | OT | Amos | Chapter 8 | Verse 13] Ἐν τῇ ἡμέρᾳ ἐκείνῃ ἐκλείψουσιν αἱ παρθένοι αἱ καλαὶ, καὶ οἱ νεανίσκοι ἐν δίψει,
[LXX | EL | OT | Amos | Chapter 8 | Verse 14] οἱ ὀμνύοντες κατὰ τοῦ ἱλασμοῦ Σαμαρείας, καὶ οἱ λέγοντες, ζῇ ὁ θεός σου Δὰν, καὶ ζῇ ὁ θεός σου Βηρσαβεέ· καὶ πεσοῦνται, καὶ οὐ μὴ ἀναστῶσιν ἔτι.
