[LXX | EL | OT | Amos | Chapter 2 | Verse 1] Τάδε λέγει Κύριος, ἐπὶ ταῖς τρισὶν ἀσεβείαις Μωὰβ, καὶ ἐπὶ ταῖς τέσσαρσιν οὐκ ἀποστραφήσομαι αὐτὸν, ἀνθʼ ὧν κατέκαυσαν τὰ ὀστᾶ βασιλέως τῆς Ἰδουμαίας εἰς κονίαν.
[LXX | EL | OT | Amos | Chapter 2 | Verse 2] Καὶ ἐξαποστελῶ πῦρ εἰς Μωὰβ, καὶ καταφάγεται τὰ θεμέλια τῶν πόλεων αὐτῆς, καὶ ἀποθανεῖται ἐν ἀδυναμίᾳ Μωὰβ μετὰ κραυγῆς καὶ μετὰ φωνῆς σάλπιγγος.
[LXX | EL | OT | Amos | Chapter 2 | Verse 3] Καὶ ἐξολοθρεύσω κριτὴν ἐξ αὐτῆς, καὶ πάντας [ἄρχοντας] αὐτῆς ἀποκτενῶ μετʼ αὐτοῦ, λέγει Κύριος.
[LXX | EL | OT | Amos | Chapter 2 | Verse 4] Τάδε λέγει Κύριος, ἐπὶ ταῖς τρισὶν ἀσεβείαις υἱῶν Ἰούδα, καὶ ἐπὶ ταῖς τέσσαρσιν οὐκ ἀποστραφήσουμαι αὐτὸν, ἕνεκα τοῦ ἀπώσασθαι αὐτοὺς τὸν νόμον τοῦ Κυρίου, καὶ τὰ προστάγματα αὐτοῦ οὐκ ἐφυλάξαντο, καὶ ἐπλάνησεν αὐτοὺς τὰ μάταια αὐτῶν ἃ ἐποίησαν, οἷς ἐξηκολούθησαν οἱ πατέρες αὐτῶν ὀπίσω αὐτῶν.
[LXX | EL | OT | Amos | Chapter 2 | Verse 5] Καὶ ἐξαποστελῶ πῦρ ἐπὶ Ἰούδαν, καὶ καταφάγεται θεμέλια Ἱερουσαλήμ.
[LXX | EL | OT | Amos | Chapter 2 | Verse 6] Τάδε λέγει Κύριος, ἐπὶ ταῖς τρισὶν ἀσεβείαις Ἰσραὴλ, καὶ ἐπὶ ταῖς τέσσαρσιν οὐκ ἀποστραφήσομαι αὐτὸν, ἀνθʼ ὧν ἀπέδοντο ἀργυρίου δίκαιον, καὶ πένητα ἕνεκεν ὑποδημάτων,
[LXX | EL | OT | Amos | Chapter 2 | Verse 7] τὰ πατοῦντα ἐπὶ τὸν χοῦν τῆς γῆς, καὶ ἐκονδύλιζον εἰς κεφαλὰς πτωχῶν, καὶ ὁδὸν ταπεινῶν ἐξέκλιναν, καὶ υἱὸς καὶ πατὴρ αὐτοῦ εἰσεπορεύοντο πρὸς τὴν αὐτὴν παιδίσκην, ὅπως βεβηλῶσι τὸ ὄνομα τοῦ Θεοῦ αὐτῶν.
[LXX | EL | OT | Amos | Chapter 2 | Verse 8] Καὶ τὰ ἱμάτια αὐτῶν δεσμεύοντες σχοινίοις, παραπετάσματα ἐποίουν ἐχόμενα τοῦ θυσιαστηρίου, καὶ οἶνον ἐκ συκοφαντιῶν ἔπινον ἐν τῷ οἴκῳ τοῦ Θεοῦ αὐτῶν.
[LXX | EL | OT | Amos | Chapter 2 | Verse 9] Ἐγὼ δὲ ἐξῇρα τὸν Ἀμοῤῥαῖον ἐκ προσώπου αὐτῶν, οὗ ἦν, καθὼς ὕψος κέδρου, τὸ ὕψος αὐτοῦ, καὶ ἰσχυρὸς ἦν ὡς δρῦς, καὶ ἐξήρανα τὸν καρπὸν αὐτοῦ ἐπάνωθεν, καὶ τὰς ῥίζας αὐτοῦ ὑποκάτωθεν.
[LXX | EL | OT | Amos | Chapter 2 | Verse 10] Καὶ ἐγὼ ἀνήγαγον ὑμᾶς ἐκ γῆς Αἰγύπτου, καὶ περιήγαγον ὑμᾶς ἐν τῇ ἐρήμῳ τεσσαράκοντα ἔτη, τοῦ κατακληρονομῆσαι τὴν γῆν τῶν Ἀμοῤῥαίων.
[LXX | EL | OT | Amos | Chapter 2 | Verse 11] Καὶ ἔλαβον ἐκ τῶν υἱῶν ὑμῶν εἰς προφήτας, καὶ ἐκ τῶν νεανίσκων ὑμῶν εἰς ἁγιασμόν· μὴ οὐκ ἔστι ταῦτα υἱοὶ Ἰσραήλ; λέγει Κύριος.
[LXX | EL | OT | Amos | Chapter 2 | Verse 12] Καὶ ἐποτίζετε τοὺς ἡγιασμένους οἶνον, καὶ τοῖς προφήταις ἐνετέλλεσθε λέγοντες, οὐ μὴ προφητεύσητε.
[LXX | EL | OT | Amos | Chapter 2 | Verse 13] Διατοῦτο ἰδοὺ ἐγὼ κυλίω ὑποκάτω ὑμῶν, ὃν τρόπον κυλίεται ἡ ἅμαξα ἡ γέμουσα καλάμης.
[LXX | EL | OT | Amos | Chapter 2 | Verse 14] Καὶ ἀπολεῖται φυγὴ ἐκ δρομέως, καὶ ὁ κραταιὸς οὐ μὴ κρατήσῃ τῆς ἰσχύος αὐτοῦ, καὶ ὁ μαχητὴς οὐ μὴ σώσῃ τὴν ψυχὴν αὐτοῦ.
[LXX | EL | OT | Amos | Chapter 2 | Verse 15] Καὶ ὁ τοξότης οὐ μὴ ὑποστῇ καὶ ὁ ὀξὺς τοῖς ποσὶν αὐτοῦ οὐ μὴ διασωθῇ, καὶ ὁ ἱππεὺς οὐ μὴ σώσῃ τὴν ψυχὴν αὐτοῦ,
[LXX | EL | OT | Amos | Chapter 2 | Verse 16] καὶ ὁ κραταιὸς οὐ μὴ εὑρήσει τὴν καρδίαν αὐτοῦ ἐν δυναστείαις, ὁ γυμνὸς διώξεται ἐν ἐκείνῃ τῇ ἡμέρᾳ, λέγει Κύριος.
