[IRV | GU | NT | Mark | Chapter 5 | Verse 1] તેઓ સમુદ્રને પાર ગેરાસાનીઓના દેશમાં ગયા.
[IRV | GU | NT | Mark | Chapter 5 | Verse 2] ઈસુ હોડીમાંથી ઊતર્યા, એટલે કબરસ્તાનમાંથી અશુદ્ધ આત્મા વળગેલો એક માણસ તેમને મળ્યો.
[IRV | GU | NT | Mark | Chapter 5 | Verse 3] તે કબરસ્તાનોમાં રહેતો હતો; અને સાંકળોથી પણ કોઈ તેને બાંધી શકતું ન હતું;
[IRV | GU | NT | Mark | Chapter 5 | Verse 4] કેમ કે તે ઘણીવાર બેડીઓ તથા સાંકળો વડે બંધાયો હતો, પણ તેણે સાંકળો તોડી નાખી તથા બેડીઓ ભાંગી નાખી હતી; કોઈ તેને વશ કરી શકતું ન હતું.
[IRV | GU | NT | Mark | Chapter 5 | Verse 5] તે નિત્ય રાતદિવસ પહાડોમાં તથા કબરોમાં બૂમ પાડતો તથા પથ્થરોથી પોતાને ઘાયલ કરતો હતો.
[IRV | GU | NT | Mark | Chapter 5 | Verse 6] પણ ઈસુને દૂરથી જોઈને તે દોડી આવ્યો અને તેમને પગે પડ્યો.
[IRV | GU | NT | Mark | Chapter 5 | Verse 7] અને મોટે ઘાંટે પોકારીને બોલ્યો, ‘ઈસુ, પરાત્પર ઈશ્વરના દીકરા, મારે અને તમારે શું છે? હું તમને ઈશ્વરના સમ આપું છું કે, તમે મને પીડા ન આપો.’”
[IRV | GU | NT | Mark | Chapter 5 | Verse 8] કેમ કે તેમણે તેને કહ્યું હતું કે, ‘અશુદ્ધ આત્મા, તું એ માણસમાંથી નીકળ.’”
[IRV | GU | NT | Mark | Chapter 5 | Verse 9] તેમણે તેને પૂછ્યું કે, ‘તારું નામ શું છે?’ તેણે ઉત્તર આપતાં કહ્યું કે, ‘મારું નામ સેના છે, કેમ કે અમે ઘણાં છીએ.’”
[IRV | GU | NT | Mark | Chapter 5 | Verse 10] તેણે તેમને ઘણી વિનંતી કરી, કે તે તેઓને દેશમાંથી કાઢી મૂકે નહિ.
[IRV | GU | NT | Mark | Chapter 5 | Verse 11] હવે ત્યાં પર્વતની બાજુ પર ભૂંડોનું એક મોટું ટોળું ચરતું હતું.
[IRV | GU | NT | Mark | Chapter 5 | Verse 12] તેઓએ તેમને વિનંતી કરીને કહ્યું કે, ‘તે ભૂંડોમાં અમે પ્રવેશીએ માટે અમને તેઓમાં મોકલો.
[IRV | GU | NT | Mark | Chapter 5 | Verse 13] ઈસુએ તેઓને રજા આપી અને અશુદ્ધ આત્માઓ નીકળીને ભૂંડોમાં ગયા; તેઓ આશરે બે હજાર ભૂંડો હતાં. તે ટોળું ટેકરી પરથી સમુદ્રમાં ધસી પડ્યું; અને સમુદ્રમાં ડૂબી મર્યું.
