[IRV | GU | NT | Mark | Chapter 4 | Verse 1] ઈસુ સમુદ્રને કિનારે ફરી બોધ કરવા લાગ્યા. અતિ ઘણાં લોકો ભેગા થયા, માટે તે સમુદ્રમાં હોડી પર ચઢીને બેઠા; અને બધા લોકો સમુદ્રની પાસે કાંઠા પર હતા.
[IRV | GU | NT | Mark | Chapter 4 | Verse 2] અને દ્રષ્ટાંતોમાં તેમણે તેઓને ઘણો બોધ કર્યો; અને પોતાના બોધમાં તેઓને કહ્યું.
[IRV | GU | NT | Mark | Chapter 4 | Verse 3] ‘સાંભળો, જુઓ, વાવનાર વાવવાને બહાર ગયો.
[IRV | GU | NT | Mark | Chapter 4 | Verse 4] એમ થયું કે, તે વાવતો હતો ત્યારે કેટલાક બીજ રસ્તાની કોરે પડ્યાં; અને પક્ષીઓ આવીને તે ખાઈ ગયા.
[IRV | GU | NT | Mark | Chapter 4 | Verse 5] બીજાં પથ્થરવાળી જમીનમાં પડ્યાં, જ્યાં વધારે માટી ન હતી; અને જમીન ઊંડી ન હતી, માટે તે તરત ઊગી નીકળ્યાં.
[IRV | GU | NT | Mark | Chapter 4 | Verse 6] પણ સૂર્ય ઊગ્યો ત્યારે તેઓ ચીમળાઈ ગયા; અને તેઓને જડ ન હતી માટે તેઓ સુકાઈ ગયા.
[IRV | GU | NT | Mark | Chapter 4 | Verse 7] બીજાં કાંટાનાં ઝાડવામાં પડ્યાં; અને કાંટાનાં જાળાંએ વધીને તેઓને દાબી નાખ્યાં; અને તેઓએ ફળ ન આપ્યું.
[IRV | GU | NT | Mark | Chapter 4 | Verse 8] બીજાં બીજ સારી જમીનમાં પડ્યાં; અને તેઓએ ઊગીને તથા વઘીને ફળ આપ્યાં, ત્રીસગણાં તથા સાંઠગણાં તથા સોગણાં ફળ આપ્યાં.
[IRV | GU | NT | Mark | Chapter 4 | Verse 9] તેમણે તેઓને કહ્યું કે, ‘જેને સાંભળવાને કાન છે તે સાંભળે.’”
[IRV | GU | NT | Mark | Chapter 4 | Verse 10] જયારે તે એકાંતમાં હતા ત્યારે બાર શિષ્યો સહિત જેઓ તેમની પાસે હતા, તેઓએ તેમને આ દ્રષ્ટાંતો વિષે પૂછ્યું.
[IRV | GU | NT | Mark | Chapter 4 | Verse 11] તેમણે તેઓને કહ્યું કે, ‘ઈશ્વરના રાજ્યનો મર્મ તમને અપાયો છે; પણ જેઓ બહારના છે તેઓને સઘળી વાતો દ્રષ્ટાંતોમાં અપાય છે;
[IRV | GU | NT | Mark | Chapter 4 | Verse 12] એ માટે કે તેઓ જોતાં જુએ, પણ જાણે નહિ; અને સાંભળતાં સાંભળે, પણ સમજે નહિ; એમ ન થાય કે તેઓ પશ્ચાતાપ કરે અને તેઓને પાપની માફી મળે.
[IRV | GU | NT | Mark | Chapter 4 | Verse 13] તે તેઓને કહે છે કે, શું તમે આ દૃષ્ટાંત સમજતા નથી? ત્યારે સર્વ દ્રષ્ટાંતો કેવી રીતે સમજશો?
[IRV | GU | NT | Mark | Chapter 4 | Verse 14] વાવનાર વચન વાવે છે.
[IRV | GU | NT | Mark | Chapter 4 | Verse 15] રસ્તાની કોર પરનાં એ છે કે જ્યાં વચન વવાય છે અને તેઓ સાંભળે છે કે તરત શેતાન આવીને તેઓમાં જે વચન વવાયેલું હતું તે લઈ જાય છે.
[IRV | GU | NT | Mark | Chapter 4 | Verse 16] એમ જ જેઓ પથ્થરવાળી જમીનમાં વવાયેલાં તેઓ એ છે, કે જેઓ વચન સાંભળીને તરત આનંદથી તેને માની લે છે;
[IRV | GU | NT | Mark | Chapter 4 | Verse 17] અને તેમના પોતાનામાં જડ હોતી નથી, એટલે થોડીવાર ટકે છે; પછી વચનને લીધે દુઃખ અથવા સતાવણી આવે છે ત્યારે તેઓ આત્મિક જીવનમાં ટકી શકતા નથી.
[IRV | GU | NT | Mark | Chapter 4 | Verse 18] બીજાં જેઓ કાંટાઓમાં વવાયેલાં છે તેઓ એ છે કે, જેઓએ વચન સાંભળ્યું,
[IRV | GU | NT | Mark | Chapter 4 | Verse 19] પણ આ ભૌતિક જગતની ચિંતાઓ, દ્રવ્યની માયા તથા બીજી વસ્તુઓનો લોભ પ્રવેશ કરીને વચનને દાબી નાખે છે; અને તે નિષ્ફળ થાય છે.
[IRV | GU | NT | Mark | Chapter 4 | Verse 20] જેઓ સારી જમીનમાં વવાયેલાં તેઓ એ છે કે, જેઓ વચન સાંભળે છે, અને તેને ગ્રહણ કરે છે, અને ત્રીસગણાં તથા સાંઠગણાં તથા સોગણાં ફળ આપે છે.’”
[IRV | GU | NT | Mark | Chapter 4 | Verse 21] તેમણે તેઓને કહ્યું કે, ‘શું વાટકો નીચે અથવા પલંગ નીચે મૂકવા સારુ કોઈ દીવો લાવે છે? શું દીવીની ઉપર મૂકવા સારુ નહિ?
[IRV | GU | NT | Mark | Chapter 4 | Verse 22] કેમ કે જે કંઈ ગુપ્ત છે તે એ માટે છે કે તે પ્રગટ કરાય અને જે ઢાંકેલું છે તે એ સારુ છે કે ખુલ્લું કરવામાં આવે.
[IRV | GU | NT | Mark | Chapter 4 | Verse 23] જેને સાંભળવાને કાન છે તે સાંભળે.’”
[IRV | GU | NT | Mark | Chapter 4 | Verse 24] તેમણે તેઓને કહ્યું કે, ‘તમે જે સાંભળો છો તે પર ધ્યાન રાખો. જે માપથી તમે માપો છો તેનાથી જ તમને માપી અપાશે; અને તમને વધતું અપાશે;
[IRV | GU | NT | Mark | Chapter 4 | Verse 25] કેમ કે જેની પાસે છે તેને અપાશે અને જેની પાસે નથી, તેનું જે છે તે પણ તેની પાસેથી લઈ લેવાશે.’”
