[IRV | GU | NT | Mark | Chapter 9 | Verse 1] ઈસુએ તેઓને કહ્યું કે, હું તમને નિશ્ચે કહું છું કે, ‘અહીં ઊભા રહેનારાઓમાંના કેટલાક એવા છે કે જેઓ પરાક્રમે આવેલું ઈશ્વરનું રાજ્ય જોયા પહેલાં મરણ પામશે જ નહિ.’”
[IRV | GU | NT | Mark | Chapter 9 | Verse 2] છ દિવસ પછી ઈસુ પિતરને, યાકૂબને તથા યોહાનને સાથે લઈને તેઓને ઊંચા પહાડ ઉપર એકાંતમાં લઈ ગયા. અને તેઓની આગળ ઈસુનું રૂપાંતર થયું.
[IRV | GU | NT | Mark | Chapter 9 | Verse 3] ઈસુનાં વસ્ત્રો ઊજળાં, બહુ જ સફેદ થયાં; એવાં કે દુનિયાનો કોઈ પણ ધોબી તેવા સફેદ કરી ન શકે.
[IRV | GU | NT | Mark | Chapter 9 | Verse 4] એલિયા તથા મૂસા તેઓને દેખાયા અને તેઓ ઈસુની સાથે વાત કરતા હતા.
[IRV | GU | NT | Mark | Chapter 9 | Verse 5] પિતર ઈસુને કહે છે કે, ‘ગુરુજી, અહીં રહેવું આપણે માટે સારું છે; તો અમે ત્રણ મંડપ બનાવીએ, એક તમારે માટે, એક મૂસાને માટે અને એક એલિયાના માટે.’”
[IRV | GU | NT | Mark | Chapter 9 | Verse 6] શું બોલવું એ તેને સૂઝ્યું નહિ, કેમ કે તેઓ બહુ ડરી ગયા હતા.
[IRV | GU | NT | Mark | Chapter 9 | Verse 7] એક વાદળું આવ્યું. તેણે તેઓ પર છાયા કરી; વાદળામાંથી એવી વાણી થઈ કે, ‘આ મારો વહાલો દીકરો છે, તેનું સાંભળો.’”
[IRV | GU | NT | Mark | Chapter 9 | Verse 8] તરત તેઓએ ચારેબાજુ જોયું ત્યાર પછી તેઓની સાથે એકલા ઈસુ વિના કોઈને જોયા નહિ.
[IRV | GU | NT | Mark | Chapter 9 | Verse 9] તેઓ પહાડ પરથી ઊતરતા હતા ત્યારે ઈસુએ તેઓને ફરમાવ્યું કે, ‘તમે જે જોયું છે તે માણસનો દીકરો મૃત્યુમાંથી પાછો ઊઠે, ત્યાં સુધી કોઈને કહેશો નહિ.’”
[IRV | GU | NT | Mark | Chapter 9 | Verse 10] તેઓએ તે સૂચના મનમાં રાખીને ‘મૃત્યુમાંથી પાછા ઊઠવું’ એ શું હશે, તે વિષે અંદરોઅંદર ચર્ચા કરી.
[IRV | GU | NT | Mark | Chapter 9 | Verse 11] તેઓએ ઈસુને પૂછ્યું, ‘શાસ્ત્રીઓ કેમ કહે છે કે એલિયાએ પ્રથમ આવવું જોઈએ?’”
[IRV | GU | NT | Mark | Chapter 9 | Verse 12] ઈસુએ તેઓને કહ્યું કે, ‘એલિયા અગાઉ આવીને સર્વને સુધારે છે ખરો; પણ માણસના દીકરા વિષે એમ કેમ લખ્યું છે કે, તેમણે ઘણું દુઃખ સહેવું પડશે અને ત્યજી દેવામાં આવશે?’”
[IRV | GU | NT | Mark | Chapter 9 | Verse 13] પણ હું તમને કહું છું કે, ‘એલિયા ખરેખર આવ્યો છે; અને તેને વિષે લખેલું છે તે પ્રમાણે તેઓએ પોતાની મરજી મુજબ તેની સાથે આચરણ કર્યું.’”
[IRV | GU | NT | Mark | Chapter 9 | Verse 14] તેઓએ શિષ્યોની પાસે આવીને તેઓની આસપાસ ઘણાં લોકોને તથા તેઓની સાથે ચર્ચા કરતા શાસ્ત્રીઓને જોયા.
[IRV | GU | NT | Mark | Chapter 9 | Verse 15] તે બધા લોકો ઈસુને જોઈને વધારે આશ્ચર્ય પામ્યા અને દોડીને તેમને સલામ કરી.
[IRV | GU | NT | Mark | Chapter 9 | Verse 16] ઈસુએ તેઓને પૂછ્યું કે, ‘તેઓની સાથે તમે શી ચર્ચા કરો છો?’”
