[IRV | HI | OT | Job | Chapter 38 | Verse 1] तब यहोवा ने अय्यूब को आँधी में से यूँ उत्तर दिया,
[IRV | HI | OT | Job | Chapter 38 | Verse 2] “यह कौन है जो अज्ञानता की बातें कहकर युक्ति को बिगाड़ना चाहता है?
[IRV | HI | OT | Job | Chapter 38 | Verse 3] पुरुष के समान अपनी कमर बाँध ले, क्योंकि मैं तुझ से प्रश्न करता हूँ, और तू मुझे उत्तर दे। (अय्यू. 40:7)
[IRV | HI | OT | Job | Chapter 38 | Verse 4] “जब मैंने पृथ्वी की नींव डाली, तब तू कहाँ था? यदि तू समझदार हो तो उत्तर दे।
[IRV | HI | OT | Job | Chapter 38 | Verse 5] उसकी नाप किसने ठहराई, क्या तू जानता है उस पर किसने सूत खींचा?
[IRV | HI | OT | Job | Chapter 38 | Verse 6] उसकी नींव कौन सी वस्तु पर रखी गई, या किसने उसके कोने का पत्थर बैठाया,
[IRV | HI | OT | Job | Chapter 38 | Verse 7] जबकि भोर के तारे एक संग आनन्द से गाते थे और परमेश्वर के सब पुत्र जयजयकार करते थे?
[IRV | HI | OT | Job | Chapter 38 | Verse 8] “फिर जब समुद्र ऐसा फूट निकला मानो वह गर्भ से फूट निकला, तब किसने द्वार बन्द कर उसको रोक दिया;
[IRV | HI | OT | Job | Chapter 38 | Verse 9] जबकि मैंने उसको बादल पहनाया और घोर अंधकार में लपेट दिया,
[IRV | HI | OT | Job | Chapter 38 | Verse 10] और उसके लिये सीमा बाँधा और यह कहकर बेंड़े और किवाड़ें लगा दिए,
[IRV | HI | OT | Job | Chapter 38 | Verse 11] ‘यहीं तक आ, और आगे न बढ़, और तेरी उमड़नेवाली लहरें यहीं थम जाएँ।’
[IRV | HI | OT | Job | Chapter 38 | Verse 12] “क्या तूने जीवन भर में कभी भोर को आज्ञा दी, और पौ को उसका स्थान जताया है,
[IRV | HI | OT | Job | Chapter 38 | Verse 13] ताकि वह पृथ्वी की छोरों को वश में करे, और दुष्ट लोग उसमें से झाड़ दिए जाएँ?
[IRV | HI | OT | Job | Chapter 38 | Verse 14] वह ऐसा बदलता है जैसा मोहर के नीचे चिकनी मिट्टी बदलती है, और सब वस्तुएँ मानो वस्त्र पहने हुए दिखाई देती हैं।
[IRV | HI | OT | Job | Chapter 38 | Verse 15] दुष्टों से उनका उजियाला रोक लिया जाता है, और उनकी बढ़ाई हुई बाँह तोड़ी जाती है।
[IRV | HI | OT | Job | Chapter 38 | Verse 16] “क्या तू कभी समुद्र के सोतों तक पहुँचा है, या गहरे सागर की थाह में कभी चला फिरा है?
[IRV | HI | OT | Job | Chapter 38 | Verse 17] क्या मृत्यु के फाटक तुझ पर प्रगट हुए, क्या तू घोर अंधकार के फाटकों को कभी देखने पाया है?
[IRV | HI | OT | Job | Chapter 38 | Verse 18] क्या तूने पृथ्वी की चौड़ाई को पूरी रीति से समझ लिया है? यदि तू यह सब जानता है, तो बता दे।
[IRV | HI | OT | Job | Chapter 38 | Verse 19] “उजियाले के निवास का मार्ग कहाँ है, और अंधियारे का स्थान कहाँ है?
[IRV | HI | OT | Job | Chapter 38 | Verse 20] क्या तू उसे उसकी सीमा तक हटा सकता है, और उसके घर की डगर पहचान सकता है?
[IRV | HI | OT | Job | Chapter 38 | Verse 21] निःसन्देह तू यह सब कुछ जानता होगा! क्योंकि तू तो उस समय उत्पन्न हुआ था, और तू बहुत आयु का है।
[IRV | HI | OT | Job | Chapter 38 | Verse 22] फिर क्या तू कभी हिम के भण्डार में पैठा, या कभी ओलों के भण्डार को तूने देखा है,
[IRV | HI | OT | Job | Chapter 38 | Verse 23] जिसको मैंने संकट के समय और युद्ध और लड़ाई के दिन के लिये रख छोड़ा है?
[IRV | HI | OT | Job | Chapter 38 | Verse 24] किस मार्ग से उजियाला फैलाया जाता है, और पूर्वी वायु पृथ्वी पर बहाई जाती है?
[IRV | HI | OT | Job | Chapter 38 | Verse 25] “महावृष्टि के लिये किसने नाला काटा, और कड़कनेवाली बिजली के लिये मार्ग बनाया है,
[IRV | HI | OT | Job | Chapter 38 | Verse 26] कि निर्जन देश में और जंगल में जहाँ कोई मनुष्य नहीं रहता मेंह बरसाकर,
[IRV | HI | OT | Job | Chapter 38 | Verse 27] उजाड़ ही उजाड़ देश को सींचे, और हरी घास उगाए?
[IRV | HI | OT | Job | Chapter 38 | Verse 28] क्या मेंह का कोई पिता है, और ओस की बूँदें किसने उत्पन्न की?
[IRV | HI | OT | Job | Chapter 38 | Verse 29] किसके गर्भ से बर्फ निकला है, और आकाश से गिरे हुए पाले को कौन उत्पन्न करता है?
[IRV | HI | OT | Job | Chapter 38 | Verse 30] जल पत्थर के समान जम जाता है, और गहरे पानी के ऊपर जमावट होती है।
[IRV | HI | OT | Job | Chapter 38 | Verse 31] “क्या तू कचपचिया का गुच्छा गूँथ सकता या मृगशिरा के बन्धन खोल सकता है?
[IRV | HI | OT | Job | Chapter 38 | Verse 32] क्या तू राशियों को ठीक-ठीक समय पर उदय कर सकता, या सप्तर्षि को साथियों समेत लिए चल सकता है?
[IRV | HI | OT | Job | Chapter 38 | Verse 33] क्या तू आकाशमण्डल की विधियाँ जानता और पृथ्वी पर उनका अधिकार ठहरा सकता है?
[IRV | HI | OT | Job | Chapter 38 | Verse 34] क्या तू बादलों तक अपनी वाणी पहुँचा सकता है, ताकि बहुत जल बरस कर तुझे छिपा ले?
[IRV | HI | OT | Job | Chapter 38 | Verse 35] क्या तू बिजली को आज्ञा दे सकता है, कि वह जाए, और तुझ से कहे, ‘मैं उपस्थित हूँ?’
[IRV | HI | OT | Job | Chapter 38 | Verse 36] किसने अन्तःकरण में बुद्धि उपजाई, और मन में समझने की शक्ति किसने दी है?
[IRV | HI | OT | Job | Chapter 38 | Verse 37] कौन बुद्धि से बादलों को गिन सकता है? और कौन आकाश के कुप्पों को उण्डेल सकता है,
[IRV | HI | OT | Job | Chapter 38 | Verse 38] जब धूलि जम जाती है, और ढेले एक दूसरे से सट जाते हैं?
[IRV | HI | OT | Job | Chapter 38 | Verse 39] “क्या तू सिंहनी के लिये अहेर पकड़ सकता, और जवान सिंहों का पेट भर सकता है,
