[IRV | HI | OT | Job | Chapter 15 | Verse 1] तब तेमानी एलीपज ने कहा
[IRV | HI | OT | Job | Chapter 15 | Verse 2] “क्या बुद्धिमान को उचित है कि अज्ञानता के साथ उत्तर दे, या अपने अन्तःकरण को पूर्वी पवन से भरे?
[IRV | HI | OT | Job | Chapter 15 | Verse 3] क्या वह निष्फल वचनों से, या व्यर्थ बातों से वाद-विवाद करे?
[IRV | HI | OT | Job | Chapter 15 | Verse 4] वरन् तू परमेश्वर का भय मानना छोड़ देता, और परमेश्वर की भक्ति करना औरों से भी छुड़ाता है।
[IRV | HI | OT | Job | Chapter 15 | Verse 5] तू अपने मुँह से अपना अधर्म प्रगट करता है, और धूर्त लोगों के बोलने की रीति पर बोलता है।
[IRV | HI | OT | Job | Chapter 15 | Verse 6] मैं तो नहीं परन्तु तेरा मुँह ही तुझे दोषी ठहराता है; और तेरे ही वचन तेरे विरुद्ध साक्षी देते हैं।
[IRV | HI | OT | Job | Chapter 15 | Verse 7] “क्या पहला मनुष्य तू ही उत्पन्न हुआ? क्या तेरी उत्पत्ति पहाड़ों से भी पहले हुई?
[IRV | HI | OT | Job | Chapter 15 | Verse 8] क्या तू परमेश्वर की सभा में बैठा सुनता था? क्या बुद्धि का ठेका तू ही ने ले रखा है (यिर्म. 23:18, 1 कुरि. 2:16)
[IRV | HI | OT | Job | Chapter 15 | Verse 9] तू ऐसा क्या जानता है जिसे हम नहीं जानते? तुझ में ऐसी कौन सी समझ है जो हम में नहीं?
[IRV | HI | OT | Job | Chapter 15 | Verse 10] हम लोगों में तो पक्के बाल वाले और अति पुरनिये मनुष्य हैं, जो तेरे पिता से भी बहुत आयु के हैं।
[IRV | HI | OT | Job | Chapter 15 | Verse 11] परमेश्वर की शान्तिदायक बातें, और जो वचन तेरे लिये कोमल हैं, क्या ये तेरी दृष्टि में तुच्छ हैं?
[IRV | HI | OT | Job | Chapter 15 | Verse 12] तेरा मन क्यों तुझे खींच ले जाता है? और तू आँख से क्यों इशारे करता है?
