[IRV | HI | OT | Job | Chapter 17 | Verse 1] “मेरा प्राण निकलने पर है, मेरे दिन पूरे हो चुके हैं; मेरे लिये कब्र तैयार है।
[IRV | HI | OT | Job | Chapter 17 | Verse 2] निश्चय जो मेरे संग हैं वह ठट्ठा करनेवाले हैं, और उनका झगड़ा-रगड़ा मुझे लगातार दिखाई देता है।
[IRV | HI | OT | Job | Chapter 17 | Verse 3] “जमानत दे, अपने और मेरे बीच में तू ही जामिन हो; कौन है जो मेरे हाथ पर हाथ मारे?
[IRV | HI | OT | Job | Chapter 17 | Verse 4] तूने उनका मन समझने से रोका है, इस कारण तू उनको प्रबल न करेगा।
[IRV | HI | OT | Job | Chapter 17 | Verse 5] जो अपने मित्रों को चुगली खाकर लूटा देता, उसके बच्चों की आँखें अंधी हो जाएँगी।
[IRV | HI | OT | Job | Chapter 17 | Verse 6] “उसने ऐसा किया कि सब लोग मेरी उपमा देते हैं; और लोग मेरे मुँह पर थूकते हैं।
[IRV | HI | OT | Job | Chapter 17 | Verse 7] खेद के मारे मेरी आँखों में धुंधलापन छा गया है, और मेरे सब अंग छाया के समान हो गए हैं।
[IRV | HI | OT | Job | Chapter 17 | Verse 8] इसे देखकर सीधे लोग चकित होते हैं, और जो निर्दोष हैं, वह भक्तिहीन के विरुद्ध भड़क उठते हैं।
[IRV | HI | OT | Job | Chapter 17 | Verse 9] तो भी धर्मी लोग अपना मार्ग पकड़े रहेंगे, और शुद्ध काम करनेवाले सामर्थ्य पर सामर्थ्य पाते जाएँगे।
[IRV | HI | OT | Job | Chapter 17 | Verse 10] तुम सब के सब मेरे पास आओ तो आओ, परन्तु मुझे तुम लोगों में एक भी बुद्धिमान न मिलेगा।
[IRV | HI | OT | Job | Chapter 17 | Verse 11] मेरे दिन तो बीत चुके, और मेरी मनसाएँ मिट गई, और जो मेरे मन में था, वह नाश हुआ है।
[IRV | HI | OT | Job | Chapter 17 | Verse 12] वे रात को दिन ठहराते; वे कहते हैं, अंधियारे के निकट उजियाला है।
[IRV | HI | OT | Job | Chapter 17 | Verse 13] यदि मेरी आशा यह हो कि अधोलोक मेरा धाम होगा, यदि मैंने अंधियारे में अपना बिछौना बिछा लिया है,
[IRV | HI | OT | Job | Chapter 17 | Verse 14] यदि मैंने सड़ाहट से कहा, ‘तू मेरा पिता है,’ और कीड़े से, ‘तू मेरी माँ,’ और ‘मेरी बहन है,’
[IRV | HI | OT | Job | Chapter 17 | Verse 15] तो मेरी आशा कहाँ रही? और मेरी आशा किसके देखने में आएगी?
[IRV | HI | OT | Job | Chapter 17 | Verse 16] वह तो अधोलोक में उतर जाएगी, और उस समेत मुझे भी मिट्टी में विश्राम मिलेगा।”
