[IRV | HI | OT | Job | Chapter 13 | Verse 1] “सुनो, मैं यह सब कुछ अपनी आँख से देख चुका, और अपने कान से सुन चुका, और समझ भी चुका हूँ।
[IRV | HI | OT | Job | Chapter 13 | Verse 2] जो कुछ तुम जानते हो वह मैं भी जानता हूँ; मैं तुम लोगों से कुछ कम नहीं हूँ।
[IRV | HI | OT | Job | Chapter 13 | Verse 3] मैं तो सर्वशक्तिमान से बातें करूँगा, और मेरी अभिलाषा परमेश्वर से वाद-विवाद करने की है।
[IRV | HI | OT | Job | Chapter 13 | Verse 4] परन्तु तुम लोग झूठी बात के गढ़नेवाले हो; तुम सब के सब निकम्मे वैद्य हो।
[IRV | HI | OT | Job | Chapter 13 | Verse 5] भला होता, कि तुम बिल्कुल चुप रहते, और इससे तुम बुद्धिमान ठहरते।
[IRV | HI | OT | Job | Chapter 13 | Verse 6] मेरा विवाद सुनो, और मेरी विनती की बातों पर कान लगाओ।
[IRV | HI | OT | Job | Chapter 13 | Verse 7] क्या तुम परमेश्वर के निमित्त टेढ़ी बातें कहोगे, और उसके पक्ष में कपट से बोलोगे?
[IRV | HI | OT | Job | Chapter 13 | Verse 8] क्या तुम उसका पक्षपात करोगे? और परमेश्वर के लिये मुकद्दमा चलाओगे।
[IRV | HI | OT | Job | Chapter 13 | Verse 9] क्या यह भला होगा, कि वह तुम को जाँचे? क्या जैसा कोई मनुष्य को धोखा दे, वैसा ही तुम क्या उसको भी धोखा दोगे?
[IRV | HI | OT | Job | Chapter 13 | Verse 10] यदि तुम छिपकर पक्षपात करो, तो वह निश्चय तुम को डाँटेगा।
[IRV | HI | OT | Job | Chapter 13 | Verse 11] क्या तुम उसके माहात्म्य से भय न खाओगे? क्या उसका डर तुम्हारे मन में न समाएगा?
[IRV | HI | OT | Job | Chapter 13 | Verse 12] तुम्हारे स्मरणयोग्य नीतिवचन राख के समान हैं; तुम्हारे गढ़ मिट्टी ही के ठहरे हैं।
[IRV | HI | OT | Job | Chapter 13 | Verse 13] “मुझसे बात करना छोड़ो, कि मैं भी कुछ कहने पाऊँ; फिर मुझ पर जो चाहे वह आ पड़े।
[IRV | HI | OT | Job | Chapter 13 | Verse 14] मैं क्यों अपना माँस अपने दाँतों से चबाऊँ? और क्यों अपना प्राण हथेली पर रखूँ?
[IRV | HI | OT | Job | Chapter 13 | Verse 15] वह मुझे घात करेगा, मुझे कुछ आशा नहीं; तो भी मैं अपनी चाल-चलन का पक्ष लूँगा।
[IRV | HI | OT | Job | Chapter 13 | Verse 16] और यह ही मेरे बचाव का कारण होगा, कि भक्तिहीन जन उसके सामने नहीं जा सकता।
[IRV | HI | OT | Job | Chapter 13 | Verse 17] चित्त लगाकर मेरी बात सुनो, और मेरी विनती तुम्हारे कान में पड़े।
[IRV | HI | OT | Job | Chapter 13 | Verse 18] देखो, मैंने अपने मुकद्दमे की पूरी तैयारी की है; मुझे निश्चय है कि मैं निर्दोष ठहरूँगा।
[IRV | HI | OT | Job | Chapter 13 | Verse 19] कौन है जो मुझसे मुकद्दमा लड़ सकेगा? ऐसा कोई पाया जाए, तो मैं चुप होकर प्राण छोड़ूँगा।
[IRV | HI | OT | Job | Chapter 13 | Verse 20] दो ही काम मेरे लिए कर, तब मैं तुझ से नहीं छिपूँगाः
[IRV | HI | OT | Job | Chapter 13 | Verse 21] अपनी ताड़ना मुझसे दूर कर ले, और अपने भय से मुझे भयभीत न कर।
[IRV | HI | OT | Job | Chapter 13 | Verse 22] तब तेरे बुलाने पर मैं बोलूँगा; या मैं प्रश्न करूँगा, और तू मुझे उत्तर दे।
[IRV | HI | OT | Job | Chapter 13 | Verse 23] मुझसे कितने अधर्म के काम और पाप हुए हैं? मेरे अपराध और पाप मुझे जता दे।
[IRV | HI | OT | Job | Chapter 13 | Verse 24] तू किस कारण अपना मुँह फेर लेता है, और मुझे अपना शत्रु गिनता है?
[IRV | HI | OT | Job | Chapter 13 | Verse 25] क्या तू उड़ते हुए पत्ते को भी कँपाएगा? और सूखे डंठल के पीछे पड़ेगा?
[IRV | HI | OT | Job | Chapter 13 | Verse 26] तू मेरे लिये कठिन दुःखों की आज्ञा देता है, और मेरी जवानी के अधर्म का फल मुझे भुगता देता है।
[IRV | HI | OT | Job | Chapter 13 | Verse 27] और मेरे पाँवों को काठ में ठोंकता, और मेरी सारी चाल-चलन देखता रहता है; और मेरे पाँवों की चारों ओर सीमा बाँध लेता है।
[IRV | HI | OT | Job | Chapter 13 | Verse 28] और मैं सड़ी-गली वस्तु के तुल्य हूँ जो नाश हो जाती है, और कीड़ा खाए कपड़े के तुल्य हूँ।
