[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 1] Now we beseech you, brethren, by the comming of our Lord Iesus Christ, and by our assembling vnto him,
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 2] That ye be not suddenly mooued from your minde, nor troubled neither by spirit, nor by worde, nor by letter, as it were from vs, as though the day of Christ were at hand.
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 3] Let no man deceiue you by any meanes: for that day shall not come, except there come a departing first, and that that man of sinne be disclosed, euen the sonne of perdition,
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 4] Which is an aduersarie, and exalteth him selfe against all that is called God, or that is worshipped: so that he doeth sit as God in the Temple of God, shewing him selfe that he is God.
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 5] Remember ye not, that when I was yet with you, I tolde you these things?
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 6] And nowe ye knowe what withholdeth that he might be reueiled in his time.
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 7] For the mysterie of iniquitie doeth already worke: onely he which nowe withholdeth, shall let till he be taken out of the way.
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 8] And then shall that wicked man be reueiled, whome the Lord shall consume with the Spirit of his mouth, and shall abolish with the brightnes of his comming,
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 9] Euen him whose comming is by the effectuall working of Satan, with all power, and signes, and lying wonders,
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 10] And in al deceiuablenes of vnrighteousnes, among them that perish, because they receiued not the loue of the trueth, that they might be saued.
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 11] And therefore God shall send them strong delusion, that they should beleeue lies,
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 12] That all they might be damned which beleeued not the trueth, but had pleasure in vnrighteousnes.
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 13] But we ought to giue thankes alway to God for you, brethren beloued of the Lord, because that God hath from the beginning chosen you to saluation, through sanctification of the Spirit, and the faith of trueth,
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 14] Whereunto he called you by our Gospel, to obtaine the glory of our Lord Iesus Christ.
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 15] Therefore, brethren, stand fast and keepe the instructions, which ye haue bene taught, either by worde, or by our Epistle.
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 16] Now the same Iesus Christ our Lord; and our God euen the Father which hath loued vs, and hath giuen vs euerlasting consolation and good hope through grace,
[GNV | EN | NT | 2 Thessalonians | Chapter 2 | Verse 17] Comfort your hearts, and stablish you in euery word and good worke.
