[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 1] Furthermore, brethren, pray for vs, that the worde of the Lord may haue free passage and be glorified, euen as it is with you,
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 2] And that we may be deliuered from vnreasonable and euill men: for all men haue not fayth.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 3] But the Lord is faithfull, which wil stablish you, and keepe you from euill.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 4] And we are perswaded of you through the Lord, that ye both doe, and will doe the things which we warne you of.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 5] And the Lord guide your hearts to the loue of God, and the waiting for of Christ.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 6] We warne you, brethren, in the Name of our Lord Iesus Christ, that ye withdrawe your selues from euery brother that walketh inordinately, and not after the instruction, which hee receiued of vs.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 7] For ye your selues know, how ye ought to follow vs: for we behaued not our selues inordinately among you,
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 8] Neither tooke we bread of any man for nought: but we wrought with labour and trauaile night and day, because we would not be chargeable to any of you.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 9] Not because we haue not authoritie, but that we might make our selues an ensample vnto you to follow vs.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 10] For euen when we were with you, this we warned you of, that if there were any, which would not worke, that he should not eate.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 11] For we heare, that there are some which walke among you inordinately, and worke not at all, but are busie bodies.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 12] Therefore them that are such, we warne and exhort by our Lord Iesus Christ, that they worke with quietnes, and eate their owne bread.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 13] And ye, brethren, be not weary in well doing.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 14] If any man obey not this our saying in this letter, note him, and haue no company with him, that he may be ashamed:
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 15] Yet count him not as an enemie, but admonish him as a brother.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 16] Now the Lord himselfe of peace giue you peace alwayes by all meanes. The Lord be with you all.
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 17] The salutation of me Paul, with mine owne hand, which is ye token in euery Epistle: so I write,
[GNV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 18] The grace of our Lord Iesus Christ be with you all, Amen. ‘The second Epistle to the Thessalonians, written from Athens.’
