[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 1] After some time, David’s son Amnon fell in love with Tamar, the beautiful sister of David’s son Absalom.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 2] Amnon was sick with frustration over his sister Tamar, for she was a virgin, and it seemed implausible for him to do anything to her.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 3] Now Amnon had a friend named Jonadab, the son of David’s brother Shimeah. Jonadab was a very shrewd man,
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 4] so he asked Amnon, “Why are you, the son of the king, so depressed morning after morning? Won’t you tell me?” Amnon replied, “I am in love with Tamar, my brother Absalom’s sister.”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 5] Jonadab told him, “Lie down on your bed and pretend you are ill. When your father comes to see you, say to him, ‘Please let my sister Tamar come and give me something to eat. Let her prepare it in my sight so I may watch her and eat it from her hand.’”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 6] So Amnon lay down and feigned illness. When the king came to see him, Amnon said, “Please let my sister Tamar come and make a couple of cakes in my sight, so that I may eat from her hand.”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 7] Then David sent word to Tamar at the palace: “Please go to the house of Amnon your brother and prepare a meal for him.”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 8] So Tamar went to the house of her brother Amnon, who was lying down. She took some dough, kneaded it, made cakes in his sight, and baked them.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 9] Then she brought the pan and set it down before him, but he refused to eat. “Send everyone away!” said Amnon. And everyone went out.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 10] Then Amnon said to Tamar, “Bring the food into the bedroom, so that I may eat it from your hand.” Tamar took the cakes she had made and went to her brother Amnon’s bedroom.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 11] And when she had brought them to him to eat, he took hold of her and said, “Come lie with me, my sister!”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 12] “No, my brother!” she cried. “Do not humiliate me, for such a thing should never be done in Israel. Do not do this disgraceful thing!
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 13] Where could I ever take my shame? And you would be like one of the fools in Israel! Please speak to the king, for he will not withhold me from you.”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 14] But Amnon refused to listen to her, and being stronger, he violated her and lay with her.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 15] Then Amnon hated Tamar with such intensity that his hatred was greater than the love he previously had. “Get up!” he said to her. “Be gone!”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 16] “No,” she replied, “sending me away is worse than this great wrong you have already done to me!” But he refused to listen to her.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 17] Instead, he called to his attendant and said, “Throw this woman out and bolt the door behind her!”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 18] So Amnon’s attendant threw her out and bolted the door behind her. Now Tamar was wearing a robe of many colors, because this is what the king’s virgin daughters wore.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 19] And Tamar put ashes on her head and tore her robe. And putting her hand on her head, she went away crying bitterly.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 20] Her brother Absalom said to her, “Has your brother Amnon been with you? Be quiet for now, my sister. He is your brother. Do not take this thing to heart.” So Tamar lived as a desolate woman in the house of her brother Absalom.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 21] When King David heard all this, he was furious.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 22] And Absalom never said a word to Amnon, either good or bad, because he hated Amnon for disgracing his sister Tamar.
