[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 1] And David sang this song to the LORD on the day the LORD had delivered him from the hand of all his enemies and from the hand of Saul.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 2] He said: “The LORD is my rock, my fortress, and my deliverer.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 3] My God is my rock, in whom I take refuge, my shield, and the horn of my salvation. My stronghold, my refuge, and my Savior, You save me from violence.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 4] I will call upon the LORD, who is worthy to be praised; so shall I be saved from my enemies.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 5] For the waves of death engulfed me; the torrents of chaos overwhelmed me.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 6] The cords of Sheol entangled me; the snares of death confronted me.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 7] In my distress I called upon the LORD; I cried out to my God. And from His temple He heard my voice, and my cry for help reached His ears.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 8] Then the earth shook and quaked; the foundations of the heavens trembled; they were shaken because He burned with anger.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 9] Smoke rose from His nostrils, and consuming fire came from His mouth; glowing coals blazed forth.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 10] He parted the heavens and came down with dark clouds beneath His feet.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 11] He mounted a cherub and flew; He soared on the wings of the wind.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 12] He made darkness a canopy around Him, a gathering of water and thick clouds.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 13] From the brightness of His presence coals of fire blazed forth.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 14] The LORD thundered from heaven; the voice of the Most High resounded.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 15] He shot His arrows and scattered the foes; He hurled lightning and routed them.
