[IRV | BN | OT | Psalms | Chapter 96 | Verse 1] তোমরা সদাপ্রভুুর উদ্দেশ্যে এক নতুন গান গাও; সমস্ত পৃথিবী, সদাপ্রভুুর উদ্দেশ্যে গান গাও।
[IRV | BN | OT | Psalms | Chapter 96 | Verse 2] সদাপ্রভুুর উদ্দেশ্যে গান গাও। তার নামের ধন্যবাদ কর, দিনের র পর দিন তার পরিত্রান ঘোষণা কর।
[IRV | BN | OT | Psalms | Chapter 96 | Verse 3] প্রচার কর জাতিদের মধ্যে তার গৌরব, সমস্ত লোক-সমাজে তার আশ্চর্য্য কাজ সকল।
[IRV | BN | OT | Psalms | Chapter 96 | Verse 4] কারণ সদাপ্রভুু মহান ও অতি কীর্ত্তনীয়, তিনি সমস্ত দেবতা অপেক্ষা ভয়ার্হ।
[IRV | BN | OT | Psalms | Chapter 96 | Verse 5] কারণ জাতিদের সমস্ত দেবতা অবস্তুমাত্র, কিন্তু সদাপ্রভুু আকাশমণ্ডলের নির্মাতা;
[IRV | BN | OT | Psalms | Chapter 96 | Verse 6] প্রভা ও প্রতাপ তার অগ্রবর্ত্তী; শক্তি ও শোভা তার ধর্মধামে বিরাজমান।
[IRV | BN | OT | Psalms | Chapter 96 | Verse 7] হে জাতিদের গোষ্ঠী সকল, সদাপ্রভুুর কীর্ত্তন কর, সদাপ্রভুুর গৌরব ও শক্তি কীর্ত্তন কর।
[IRV | BN | OT | Psalms | Chapter 96 | Verse 8] সদাপ্রভুুর নামের গৌরব কীর্ত্তন কর, নৈবেদ্য সঙ্গে নিয়ে তার প্রাঙ্গণে এস।
[IRV | BN | OT | Psalms | Chapter 96 | Verse 9] পবিত্র সভায় সদাপ্রভুুকে প্রণিপাত কর; সমস্ত পৃথিবী। তার সামনে কম্পমান হও।
[IRV | BN | OT | Psalms | Chapter 96 | Verse 10] জাতিদের মধ্যে বলো “সদাপ্রভুু রাজত্ব করেন,” জগৎপৃথিবী ও প্রতিষ্ঠিত; একে কাঁপানো যাবে না; তিনি ন্যায়ে জাতিদের বিচার করবেন।
[IRV | BN | OT | Psalms | Chapter 96 | Verse 11] আকাশমণ্ডল আনন্দ করুক, পৃথিবী উল্লাসিত হোক; সমুদ্র ও তার মধ্যের সকলই গর্জন করুক;
[IRV | BN | OT | Psalms | Chapter 96 | Verse 12] ভূমি ও সেখানকার সকলই উল্লাসিত হোক; তখন বনের সমস্ত গাছপালা আনন্দে গান করবে;
[IRV | BN | OT | Psalms | Chapter 96 | Verse 13] সদাপ্রভুুর সামনেই করবে, কারণ তিনি আসছেন, তিনি পৃথিবীর বিচার করতে আসছেন, তিনি ধর্মশীলতায় জগতের বিচার করবেন, নিজের বিশ্বস্ততায় জাতিদের বিচার করবেন
