[IRV | BN | OT | Psalms | Chapter 62 | Verse 1] আমার প্রাণ নীরবে ঈশ্বরের অপেক্ষা করছে, তাঁর থেকেই আসে আমার পরিত্রান।
[IRV | BN | OT | Psalms | Chapter 62 | Verse 2] তিনি একা আমার শিলা এবং আমার পরিত্রান; তিনি আমার উচ্চ দূর্গ, আমি অতিশয় বিচলিত হব না।
[IRV | BN | OT | Psalms | Chapter 62 | Verse 3] কতক্ষণ তুমি একজন মানুষকে আক্রমণ করবে, সে তাকে হত্যা করবে হেলে পরা ভিত্তি ও ভাঙ্গা বেড়ার মত?
[IRV | BN | OT | Psalms | Chapter 62 | Verse 4] তারা কেবল তাদের সম্মানিয় অবস্হান থেকে তাকে ফিরিয়ে নেওয়ার জন্য পরামর্শ দেয়; তারা মিথ্যা কথা বলতে ভালবাসে; তারা মুখে আশীর্বাদ দেয়, কিন্তু অন্তরে অভিশাপ দেয়। সেলা
[IRV | BN | OT | Psalms | Chapter 62 | Verse 5] আমার প্রাণ, নীরবে ঈশ্বরেরই অপেক্ষা কর; কারণ তাঁর মধ্যেই আমার প্রত্যাশা।
[IRV | BN | OT | Psalms | Chapter 62 | Verse 6] তিনি একা আমার শিলা এবং আমার পরিত্রান; তিনি আমার উচ্চ দূর্গ, আমি অতিশয় বিচলিত হব না।
[IRV | BN | OT | Psalms | Chapter 62 | Verse 7] ঈশ্বর আমার পরিত্রান এবং আমার গৌরব; ঈশ্বর আমার শক্তির শৈল এবং আমার আশ্রয় ঈশ্বরের মধ্যে আছে।
[IRV | BN | OT | Psalms | Chapter 62 | Verse 8] লোকরা সব দিন তাতে বিশ্বাস করে, তাঁর সামনে তোমাদের মনের কথা ভেঙে বল; ঈশ্বরই আমাদের জন্য আশ্রয়। সেলা
[IRV | BN | OT | Psalms | Chapter 62 | Verse 9] সামান্য লোকেরা বাস্প মাত্র এবং গণ্যমান্য লোকেরা মিথ্যা; তাদেরকে তুলোযন্ত্রে ওজন করা হবে; তারা সর্ব বাস্প থেকে কম।
[IRV | BN | OT | Psalms | Chapter 62 | Verse 10] তুমি নিপীড়ন বা ডাকাতে উপর বিশ্বাস কর না এবং ধনের জন্য আশা কর না; কারণ তাতে কোনো ফল ধরবে না; তাদের উপর তোমার হৃদয় যাবে না।
[IRV | BN | OT | Psalms | Chapter 62 | Verse 11] ঈশ্বর একবার বলেছেন, দুই বার আমি এই কথা শুনেছি; পরাক্রম ঈশ্বরেরই।
[IRV | BN | OT | Psalms | Chapter 62 | Verse 12] আর প্রভু দয়া তোমার, কারণ তুমিই প্রত্যেককে তার কাজ অনুযায়ী ফল দিয়ে থাক।
