[IRV | BN | OT | Psalms | Chapter 25 | Verse 1] সদাপ্রভুু, তোমারই দিকে আমি আমার প্রাণ তুলে ধরি!
[IRV | BN | OT | Psalms | Chapter 25 | Verse 2] আমার ঈশ্বর, আমি তোমাকে বিশ্বাস করি। আমাকে হতাশ হতে দিয়ো না; আমার শত্রুদের আমার উপর জয়ী হতে দিয়ো না।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 3] তোমার মধ্যে যারা আশা করে তারা কেউই লজ্জিত হবে না, কিন্তু যারা অকারণে বিশ্বাসঘাতকতা করে তারাই লজ্জিত হবে!
[IRV | BN | OT | Psalms | Chapter 25 | Verse 4] সদাপ্রভুু, আমাকে তোমার পথ দেখাও; তোমার পথের বিষয়ে আমাকে শিক্ষা দাও।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 5] তোমার সত্য সম্পর্কে নির্দেশ দাও এবং আমাকে শেখাও, কারণ তুমি আমার পরিত্রানের ঈশ্বর; আমি সমস্ত দিন ধরে তোমাতে আশা রাখি।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 6] সদাপ্রভুু, মনে কর, তোমার করুণা এবং চুক্তির বিশ্বস্ততায় তোমার কাজকে; কারণ তারা সবদিন বিদ্যমান।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 7] আমার যৌবনের পাপের বিষয়ে স্মরণ করো না; সদাপ্রভুু, তোমার মঙ্গলভাবের কারণে তোমার দয়ার জন্য আমাকে স্মরণ কর।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 8] সদাপ্রভুু মঙ্গলময় ও সরল; অতএব তিনি পাপীদের পথ দেখান।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 9] তিনি ন্যায়বিচারের সঙ্গে পরিচালনা করেন এবং তিনি নম্রদের পথ দেখান।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 10] যারা তাঁর নিয়ম এবং তাঁর আদেশ পালন করে তাদের কাছে, সদাপ্রভুুর সমস্ত পথ চুক্তির বিশ্বস্ততা এবং বিশ্বাসযোগ্যতা দিয়ে তৈরী।।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 11] সদাপ্রভুু, তোমার নামের জন্য, আমার পাপ ক্ষমা করো, কারণ তা বিশাল।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 12] কে সেই লোক, যিনি সদাপ্রভুুকে ভয় করেন? প্রভু তাকে তার পছন্দ মত পথের নির্দেশ দেবেন।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 13] তাঁর জীবন কুশলে বাস করবে এবং তার বংশধরেরা দেশের উত্তরাধিকারী হবে।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 14] যারা তাকে অনুসরণ করে তারা সদাপ্রভুুর পরামর্শে চলে এবং তিনি তাদের কাছে নিজের চুক্তি জানান।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 15] আমার চোখ সব দিন সদাপ্রভুুর উপরে, কারণ তিনি আমার পাকে জাল থেকে মুক্ত করবেন।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 16] আমার দিকে তাকাও এবং আমার প্রতি দয়া কর, কারণ আমি একা ও দুঃখী।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 17] আমার হৃদয়ে কষ্ট বাড়ছে; আমার দূর্দশার থেকে আমাকে বের কর।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 18] আমার দুঃখ ও কষ্টের প্রতি দেখো, আমার সমস্ত পাপ ক্ষমা কর।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 19] আমার শত্রুদের দেখো, কারণ তারা অনেক; তারা নিষ্ঠুর ঘৃণায় আমাকে ঘৃণা করে।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 20] আমার জীবন রক্ষা কর এবং আমাকে উদ্ধার কর; আমাকে অপমানিত হতে দিও না, কারণ আমি তোমাতে আশ্রয় নিয়েছ!
[IRV | BN | OT | Psalms | Chapter 25 | Verse 21] সততা এবং ন্যায়পরায়ণতা আমাকে রক্ষা করুক, কারণ আমি তোমাতে আশা করি।
[IRV | BN | OT | Psalms | Chapter 25 | Verse 22] হে ঈশ্বর, ইস্রায়েলকে উদ্ধার কর, তার সমস্ত সঙ্কট থেকে।
