[IRV | BN | OT | Psalms | Chapter 109 | Verse 1] ঈশ্বর আমি যার প্রশংসা করি, নীরব থেকো না।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 2] কারণ দুষ্ট এবং প্রতারক আমাকে আক্রমণ করে তারা আমার বিরুদ্ধে মিথ্যা কথা বলে।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 3] তারা আমাকে ঘিরে ধরে এবং ঘৃণাজনক কথা বলে এবং অকারণে আমাকে আক্রমণ করে।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 4] আমার ভালবাসার পরিবর্তে তারা আমার নিন্দা করে কিন্তু আমি তাদের জন্য প্রার্থনা করি।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 5] তারা আমার ভালোর পরিবর্তে খারাপ করে এবং আমার ভালোবাসাকে ঘৃণা করে।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 6] তুমি সেই লোকের ওপরে দুষ্টলোককে নিযুক্ত কর; বিপক্ষ তার ডান দিকে দাঁড়িয়ে থাকুক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 7] যখন তার বিচার হবে, সে দোষী হোক, তার প্রার্থনা পাপ হিসাবে মানা হোক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 8] তার আয়ু অল্পদিনের র হোক; অন্য লোক তার অধ্যক্ষপদ নিয়ে নিক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 9] তার সন্তানেরা পিতৃহীন হোক, তার স্ত্রী বিধবা হোক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 10] তার সন্তানেরা ঘুরে বেড়াক এবং ভিক্ষা করুক, তাদের ধ্বংস স্থান থেকে দূরে [খাদ্য] খোঁজ করুক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 11] মহাজন তার সবকিছু নিয়ে নিক; অন্য লোকেরা লুট করুক যা তার উপার্জন।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 12] তার ওপর কেউ দয়ার হাত না বাড়াক, তার অনাথ সন্তানদের ওপর কেউ করুণা না করুক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 13] তার ভবিষ্যৎ প্রজন্ম বিচ্ছিন্ন হোক, পরের বংশধরের নাম মুছে যাক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 14] তার পূর্ব পুরুষদের পাপ সদাপ্রভুুর কাছে উল্লেখ থাকুক, তার মায়ের পাপ ভুলে না যাক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 15] তার দোষ সবদিন সদাপ্রভুুর সামনে থাকুক, যেন সদাপ্রভুু পৃথিবী থেকে তার স্মৃতি মুছে দেন।
