[IRV | BN | OT | Psalms | Chapter 76 | Verse 1] ঈশ্বর নিজেকে তৈরী করেছিলেন যিহূদার মধ্যে, ইস্রায়েলের মধ্যে তার নাম মহৎ।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 2] আর শালেমে তার ডেরা এবং সিয়োন তার গুহা।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 3] সেখানে তিনি ধনুকের তীর, ঢাল, খড়্গ এবং যুদ্ধের অন্য অস্ত্র ভেঙে দিয়েছেন।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 4] তুমি উজ্জ্বল চকচকে এবং তোমার মহিমা প্রকাশ কর যেমন তুমি পর্বত থেকে নেমেছো যেখানে তুমি তোমার শিকারকে হত্যা করেছো।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 5] সাহসিকের হৃদয় লুন্ঠিত হয়েছে এবং ঘুমিয়ে পড়েছে। সব যোদ্ধারা অসহায় ছিল।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 6] তোমার যুদ্ধের ডাক, হে যাকোবের ঈশ্বর, চালক এবং ঘোড়া দুজনেই ঘুমিয়ে পড়েছিল।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 7] তুমি, তুমিই ভয়াবহ; কে তোমার সামনে দাঁড়াতে পারে যখন তুমি রাগ কর?
[IRV | BN | OT | Psalms | Chapter 76 | Verse 8] তোমার বিচার স্বর্গ থেকে আসে; পৃথিবী ভয় পেল এবং নীরব হল।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 9] তুমি ঈশ্বর বিচার করবার জন্য এবং পৃথিবীর নিপীড়িতদের পরিত্রান করবার জন্য ওঠ।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 10] অবশ্য, মানুষের রাগ তোমার প্রশংসা করবে; তুমি তোমার ক্রোধ সম্পূর্ণ প্রকাশ করবে।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 11] তোমাদের ঈশ্বর সদাপ্রভুুর কাছে মানত কর ও তা পূর্ণ কর; তার চারিদিকের সবাই সেই ভয়াবহের কাছে উপহার আনুক।
[IRV | BN | OT | Psalms | Chapter 76 | Verse 12] তিনি প্রধানদের সাহস খর্ব করেন; পৃথিবীর রাজাদের পক্ষে তিনি ভয়াবহ।
