[IRV | BN | OT | Psalms | Chapter 32 | Verse 1] ধন্য সেই লোক যার অধর্ম্ম ক্ষমা করা হয়েছে, যার পাপ ঢাকা হয়েছে।
[IRV | BN | OT | Psalms | Chapter 32 | Verse 2] ধন্য সেই ব্যক্তি, যার দোষ সদাপ্রভুু গণনা করেন না এবং যার আত্মায় কোন প্রতারণা নেই।
[IRV | BN | OT | Psalms | Chapter 32 | Verse 3] যখন আমি নীরব ছিলাম, আমার হাড়গুলো নষ্ট হচ্ছিল, কারণ আমি সারা দিন আর্তনাদ করছিলাম।
[IRV | BN | OT | Psalms | Chapter 32 | Verse 4] দিনের এবং রাতে তোমার হাত আমার উপর ভারী ছিল। গ্রীষ্মের শুষ্কতার মত আমার শক্তি শুকিয়ে গিয়েছিল। সেলা
[IRV | BN | OT | Psalms | Chapter 32 | Verse 5] তারপর আমি তোমার কাছে পাপ স্বীকার করলাম এবং আমি আর আমায় অন্যায় লুকিয়ে রাখলাম না। আমি বললাম, আমি সদাপ্রভুু কাছে আমার পাপ স্বীকার করবো, আর তুমি আমার পাপের অপরাধ ক্ষমা করলে। সেলা
[IRV | BN | OT | Psalms | Chapter 32 | Verse 6] এই জন্য, যখন তোমার প্রয়োজন হয়, যারা ঈশ্বরভক্ত তারা তোমার কাছে প্রার্থনা করুক।
[IRV | BN | OT | Psalms | Chapter 32 | Verse 7] তুমি আমার গোপন স্থান; তুমি আমাকে কষ্ট থেকে রক্ষা করবে। তুমি বিজয়ের গানের সাথে আমার চারপাশ ঘিরবে। সেলা
[IRV | BN | OT | Psalms | Chapter 32 | Verse 8] আমি তোমাকে নির্দেশ দেব এবং কোন পথে তুমি যাবে সেই বিষয়ে শিক্ষা দেব। আমি তোমার উপর আমার দৃষ্টি রাখব ও তোমাকে নির্দেশ দেব।
[IRV | BN | OT | Psalms | Chapter 32 | Verse 9] একটি ঘোড়া বা খচ্চরের মত হয়ো না, যে কোন কিছু বোঝে না; বলগা ও লাগাম দিয়ে তাদের নিয়ন্ত্রণ করতে হয়, নাহলে তুমি তাদের যেখানে নিয়ে যেতে চাও সেখানে তারা যাবে ন।
[IRV | BN | OT | Psalms | Chapter 32 | Verse 10] দুষ্ট লোকের অনেক দুঃখ আছে; কিন্তু যারা সদাপ্রভুুর ওপর বিশ্বাস রাখে তাদের চারিদিকে তাঁর বিশ্বস্ততা ঘিরে থাকে।
[IRV | BN | OT | Psalms | Chapter 32 | Verse 11] ধার্ম্মিকেরা, তোমরা সদাপ্রভুুতে আনন্দিত ও সুখী হও; উল্লাস কর, তোমরা ন্যায়পরায়ণরা আনন্দে উল্লাস কর।
