[IRV | BN | OT | Psalms | Chapter 118 | Verse 1] ধন্যবাদ দাও সদাপ্রভুুকে, কারণ তিনি মঙ্গলময়, তাঁর বিশ্বস্ততার বিধি অনন্তকালস্থায়ী।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 2] ইস্রায়েল বলুক, “তাঁর বিশ্বস্ততার বিধি অনন্তকালস্থায়ী।”
[IRV | BN | OT | Psalms | Chapter 118 | Verse 3] হারোণের কূল বলুক, “তাঁর দয়া অনন্তকালস্থায়ী।”
[IRV | BN | OT | Psalms | Chapter 118 | Verse 4] সদাপ্রভুুর বিশ্বস্ত অনুগামীরা বলুক, “তাঁর বিশ্বস্ততার বিধি অনন্তকালস্থায়ী।”
[IRV | BN | OT | Psalms | Chapter 118 | Verse 5] আমি সঙ্কটের মধ্য থেকে সদাপ্রভুুকে ডাকলাম; সদাপ্রভুু আমাকে উত্তর দিলেন এবং আমাকে মুক্ত করলেন।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 6] সদাপ্রভুু আমার সঙ্গে আছেন, আমি ভয় করব না; মানুষ আমার কি করতে পারে?
[IRV | BN | OT | Psalms | Chapter 118 | Verse 7] সদাপ্রভুু আমার পক্ষে আছেন আমার সাহায্যকারী হিসাবে, আমি বিজয়ী হব তাদের ওপর যারা আমাকে ঘৃণা করে।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 8] মানুষের ওপর বিশ্বাস করার থেকে সদাপ্রভুুর আশ্রয় নেওয়া ভালো।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 9] মানুষের ওপর আস্থা রাখার থেকে সদাপ্রভুুতে ভরসা করা ভালো।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 10] সমস্ত জাতি আমাকে ঘিরে আছে; সদাপ্রভুুর ক্ষমতায় আমি তাদেরকে বিচ্ছিন্ন করব।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 11] তারা আমাকে ঘিরে আছে; হ্যাঁ, আমাকে ঘিরে আছে, সদাপ্রভুুর নামে আমি তাদেরকে বিচ্ছিন্ন করব।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 12] তারা আমাকে ঘিরে আছে মৌমাছির মতো, তারা কাঁটার আগুনের মত অদৃশ্য হয়ে গেল; সদাপ্রভুুর নামে আমি তাদেরকে বিচ্ছিন্ন করব।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 13] তুমি আমাকে ফেলে দেবার জন্য আক্রমণ করলে, কিন্তু সদাপ্রভুু আমাকে সাহায্য করলেন।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 14] সদাপ্রভুু আমার শক্তি এবং আনন্দ এবং তিনি একমাত্র আমার পরিত্রান দিয়েছেন।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 15] ধার্ম্মিকদের তাঁবু থেকে বিজয় আনন্দের চিত্কার শোনা যাচ্ছে সদাপ্রভুুর ডান হাত বিজেতা।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 16] সদাপ্রভুুর ডান হাত উন্নত, সদাপ্রভুুর ডান হাত বিজেতা।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 17] আমি মরবো না, কিন্তু জীবিত থাকব এবং সদাপ্রভুুর কাজ ঘোষণা করবো।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 18] সদাপ্রভুু আমাকে কঠোরভাবে শাস্তি দিয়েছেন, কিন্তু মৃত্যুর হাতে সঁপে দেননি।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 19] আমার জন্য দরজা খুলে দাও যেখানে ঈশ্বরের লোকেরা প্রবেশ করে; আমি তার ভেতর যাবো এবং সদাপ্রভুুকে দেব।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 20] এটাই সদাপ্রভুুর দরজা, ধার্মিকরা এর ভেতর দিয়ে ঢোকে।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 21] আমি তোমাকে ধন্যবাদ দেবো, কারণ তুমি আমাকে উত্তর দিয়েছো এবং তুমি আমার পরিত্রান হয়েছ।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 22] নির্মাতারা যে পাথর বাতিল করেছিল তা কোনের প্রধান পাথর হয়ে উঠল।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 23] এটা সদাপ্রভুুর কাজ; এটা আমার চোখে অদ্ভুত।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 24] এই সেই দিন যেদিন সদাপ্রভুু করেছেন; আমরা আনন্দ করবো এবং এতে আনন্দিত হবো।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 25] অনুগ্রহ করে আমাদের বিজয় দাও, সদাপ্রভুু।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 26] ধন্য তিনি যিনি সদাপ্রভুুর নামে আসছেন; আমরা সদাপ্রভুুর ঘর থেকে তোমাদেরকে ধন্যবাদ করি।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 27] সদাপ্রভুুই ঈশ্বর; তিনি আমাদেরকে আলো দিয়েছেন; তোমরা দড়ি দিয়ে উৎসবের বলি বেদির শিঙে বাঁধ।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 28] তুমি আমার ঈশ্বর এবং আমি তোমাকে ধন্যবাদ দেবো তুমি আমার ঈশ্বর, আমি তোমাকে উচ্চে স্থাপন করব।
[IRV | BN | OT | Psalms | Chapter 118 | Verse 29] ওহ তোমরা সদাপ্রভুুকে ধন্যবাদ দাও, কারণ তিনি মঙ্গলময়; কারণ তাঁর বিশ্বস্ত বিধি অনন্তকালস্থায়ী।
