[KJV | EN | OT | Obadiah | Chapter 1 | Verse 1] The vision of Obadiah. Thus saith the Lord God concerning Edom; We have heard a rumour from the Lord, And an ambassador is sent among the heathen, Arise ye, and let us rise up against her in battle.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 2] Behold, I have made thee small among the heathen: Thou art greatly despised.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 3] The pride of thine heart hath deceived thee, Thou that dwellest in the clefts of the rock, whose habitation is high; That saith in his heart, Who shall bring me down to the ground?
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 4] Though thou exalt thyself as the eagle, And though thou set thy nest among the stars, Thence will I bring thee down, saith the Lord.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 5] If thieves came to thee, if robbers by night, (how art thou cut off!) Would they not have stolen till they had enough? If the grape-gatherers came to thee, Would they not leave some grapes?
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 6] How are the things of Esau searched out! How are his hid things sought up!
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 7] All the men of thy confederacy have brought thee even to the border: The men that were at peace with thee have deceived thee, and prevailed against thee; They that eat thy bread have laid a wound under thee: There is none understanding in him.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 8] Shall I not in that day, saith the Lord, Even destroy the wise men out of Edom, And understanding out of the mount of Esau?
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 9] And thy mighty men, O Teman, shall be dismayed, To the end that every one of the mount of Esau may be cut off by slaughter.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 10] For thy violence against thy brother Jacob shame shall cover thee, And thou shalt be cut off for ever.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 11] In the day that thou stoodest on the other side, In the day that the strangers carried away captive his forces, And foreigners entered into his gates, And cast lots upon Jerusalem, Even thou wast as one of them.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 12] But thou shouldest not have looked on the day of thy brother in the day that he became a stranger; Neither shouldest thou have rejoiced over the children of Judah in the day of their destruction; Neither shouldest thou have spoken proudly in the day of distress.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 13] Thou shouldest not have entered into the gate of my people in the day of their calamity: Yea, thou shouldest not have looked on their affliction in the day of their calamity, Nor have laid hands on their substance in the day of their calamity;
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 14] Neither shouldest thou have stood in the crossway, to cut off those of his that did escape; Neither shouldest thou have delivered up those of his that did remain in the day of distress.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 15] For the day of the Lord is near upon all the heathen: As thou hast done, it shall be done unto thee; Thy reward shall return upon thine own head.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 16] For as ye have drunk upon my holy mountain, So shall all the heathen drink continually, Yea, they shall drink, and they shall swallow down, And they shall be as though they had not been.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 17] But upon mount Zion shall be deliverance, and there shall be holiness; And the house of Jacob shall possess their possessions.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 18] And the house of Jacob shall be a fire, And the house of Joseph a flame, And the house of Esau for stubble, And they shall kindle in them, and devour them; And there shall not be any remaining of the house of Esau; For the Lord hath spoken it.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 19] And they of the south shall possess the mount of Esau; And they of the plain the Philistines: And they shall possess the fields of Ephraim, and the fields of Samaria: And Benjamin shall possess Gilead.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 20] And the captivity of this host of the children of Israel shall possess that of the Canaanites, even unto Zarephath; And the captivity of Jerusalem, which is in Sepharad, Shall possess the cities of the south.
[KJV | EN | OT | Obadiah | Chapter 1 | Verse 21] And saviours shall come up on mount Zion to judge the mount of Esau; And the kingdom shall be the Lord’s.
