[IRV | PA | OT | Leviticus | Chapter 14 | Verse 1] ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ,
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 2] ਕੋੜ੍ਹੀ ਦੇ ਸ਼ੁੱਧ ਹੋਣ ਦੇ ਦਿਨ ਦੀ ਬਿਵਸਥਾ ਇਹ ਹੈ: ਉਹ ਜਾਜਕ ਕੋਲ ਲਿਆਇਆ ਜਾਵੇ
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 3] ਅਤੇ ਜਾਜਕ ਡੇਰੇ ਤੋਂ ਬਾਹਰ ਨਿੱਕਲੇ ਅਤੇ ਉਸ ਕੋੜ੍ਹੀ ਨੂੰ ਵੇਖੇ ਅਤੇ ਜੇਕਰ ਉਸ ਦੇ ਕੋੜ੍ਹ ਦਾ ਰੋਗ ਚੰਗਾ ਹੋ ਗਿਆ ਹੋਵੇ,
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 4] ਤਦ ਜਾਜਕ ਉਸ ਨੂੰ ਜੋ ਚੰਗਾ ਹੋ ਗਿਆ ਹੈ ਆਗਿਆ ਦੇਵੇ ਕਿ ਉਹ ਦੋ ਜੀਉਂਦੇ ਅਤੇ ਸ਼ੁੱਧ ਪੰਛੀ, ਦਿਆਰ ਦੀ ਲੱਕੜ, ਕਿਰਮਚੀ ਕੱਪੜਾ ਅਤੇ ਜੂਫ਼ਾ ਲਿਆਵੇ,
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 5] ਅਤੇ ਜਾਜਕ ਇੱਕ ਪੰਛੀ ਨੂੰ ਵਗਦੇ ਪਾਣੀ ਦੇ ਉੱਤੇ ਕਿਸੇ ਮਿੱਟੀ ਦੇ ਭਾਂਡੇ ਵਿੱਚ ਵੱਢਣ ਦੀ ਆਗਿਆ ਦੇਵੇ,
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 6] ਅਤੇ ਉਹ ਜੀਉਂਦੇ ਪੰਛੀ, ਦਿਆਰ ਦੀ ਲੱਕੜ, ਕਿਰਮਚੀ ਕੱਪੜਾ ਅਤੇ ਜੂਫ਼ਾ ਇਨ੍ਹਾਂ ਸਾਰਿਆਂ ਨੂੰ ਲੈ ਕੇ ਇਕੱਠੇ ਉਸ ਪੰਛੀ ਦੇ ਲਹੂ ਵਿੱਚ ਡੋਬ ਦੇਵੇ, ਜੋ ਵੱਗਦੇ ਪਾਣੀ ਉੱਤੇ ਵੱਢਿਆ ਗਿਆ ਸੀ।
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 7] ਅਤੇ ਉਹ ਉਸ ਦੇ ਉੱਤੇ ਜੋ ਕੋੜ੍ਹ ਤੋਂ ਸ਼ੁੱਧ ਹੋਣ ਵਾਲਾ ਹੈ, ਸੱਤ ਵਾਰ ਛਿੜਕੇ ਅਤੇ ਉਸ ਨੂੰ ਸ਼ੁੱਧ ਠਹਿਰਾਵੇ ਅਤੇ ਜੀਉਂਦੇ ਪੰਛੀ ਨੂੰ ਖੁੱਲ੍ਹੇ ਮੈਦਾਨ ਵਿੱਚ ਉਡਾ ਦੇਵੇ।
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 8] ਅਤੇ ਸ਼ੁੱਧ ਹੋਣ ਵਾਲਾ ਆਪਣੇ ਕੱਪੜਿਆਂ ਨੂੰ ਧੋਵੇ ਅਤੇ ਆਪਣਾ ਸਿਰ ਮੁਨਾ ਦੇਵੇ ਅਤੇ ਪਾਣੀ ਨਾਲ ਨਹਾਵੇ ਤਦ ਉਹ ਸ਼ੁੱਧ ਹੋਵੇਗਾ, ਇਸ ਤੋਂ ਬਾਅਦ ਉਹ ਡੇਰੇ ਵਿੱਚ ਆਵੇ ਪਰ ਸੱਤ ਦਿਨ ਤੱਕ ਆਪਣੇ ਡੇਰੇ ਤੋਂ ਬਾਹਰ ਹੀ ਵਾਸ ਕਰੇ।
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 9] ਪਰ ਸੱਤਵੇਂ ਦਿਨ ਉਹ ਆਪਣੇ ਸਿਰ, ਆਪਣੀ ਦਾੜ੍ਹੀ ਅਤੇ ਆਪਣੇ ਭਰਵੱਟਿਆਂ ਦੇ ਵਾਲ਼ ਮੁਨਾ ਦੇਵੇ, ਸਗੋਂ ਆਪਣੇ ਸਾਰੇ ਵਾਲ਼ ਮੁਨਾ ਦੇਵੇ ਅਤੇ ਉਹ ਆਪਣੇ ਕੱਪੜੇ ਧੋਵੇ ਅਤੇ ਪਾਣੀ ਨਾਲ ਨਹਾਵੇ ਤਦ ਉਹ ਸ਼ੁੱਧ ਹੋ ਜਾਵੇਗਾ।
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 10] ਅੱਠਵੇਂ ਦਿਨ ਉਹ ਦੋਸ਼ ਰਹਿਤ ਦੋ ਲੇਲੇ ਅਤੇ ਇੱਕ ਸਾਲ ਦੀ ਦੋਸ਼ ਰਹਿਤ ਲੇਲੀ ਅਤੇ ਮੈਦੇ ਦੀ ਭੇਟ ਲਈ ਤੇਲ ਨਾਲ ਰਲਾਏ ਹੋਏ ਏਫ਼ਾਹ ਦਾ ਤਿੰਨ ਤਿਹਾਈ ਹਿੱਸਾ ਮੈਦਾ ਅਤੇ ਇੱਕ ਕੁੱਪੀ ਤੇਲ ਲਿਆਵੇ।
[IRV | PA | OT | Leviticus | Chapter 14 | Verse 11] ਤਦ ਉਹ ਜਾਜਕ ਜੋ ਸ਼ੁੱਧ ਕਰਨ ਦੀ ਬਿਧੀ ਨੂੰ ਕਰਦਾ ਹੈ, ਉਸ ਸ਼ੁੱਧ ਹੋਣ ਵਾਲੇ ਮਨੁੱਖ ਨੂੰ ਇਨ੍ਹਾਂ ਵਸਤੂਆਂ ਸਮੇਤ ਮੰਡਲੀ ਦੇ ਡੇਰੇ ਦੇ ਦਰਵਾਜ਼ੇ ਦੇ ਕੋਲ ਯਹੋਵਾਹ ਦੇ ਸਾਹਮਣੇ ਖੜ੍ਹਾ ਕਰੇ।
