[IRV | PA | OT | Leviticus | Chapter 2 | Verse 1] ਜਦੋਂ ਕੋਈ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਮੈਦੇ ਦੀ ਭੇਟ ਚੜ੍ਹਾਵੇ ਤਾਂ ਉਸ ਦੀ ਭੇਟ ਸ਼ੁੱਧ ਆਟੇ ਦੀ ਹੋਵੇ ਅਤੇ ਉਹ ਉਸ ਦੇ ਉੱਤੇ ਤੇਲ ਪਾਵੇ ਅਤੇ ਉਸ ਦੇ ਉੱਤੇ ਲੁਬਾਨ ਰੱਖੇ।
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 2] ਉਹ ਉਸ ਨੂੰ ਹਾਰੂਨ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਕੋਲ ਜੋ ਜਾਜਕ ਹਨ ਲਿਆਵੇ ਅਤੇ ਉਹ ਮੈਦੇ, ਤੇਲ ਅਤੇ ਸਾਰੇ ਲੁਬਾਨ ਵਿੱਚੋਂ ਇੱਕ ਮੁੱਠ ਭਰ ਲਵੇ ਅਤੇ ਜਾਜਕ ਉਸ ਨੂੰ ਜਗਵੇਦੀ ਉੱਤੇ ਉਸ ਦੀ ਯਾਦਗਾਰੀ ਲਈ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਇੱਕ ਸੁਗੰਧਤਾ ਅਰਥਾਤ ਅੱਗ ਦੀ ਭੇਟ ਕਰਕੇ ਸਾੜੇ।
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 3] ਅਤੇ ਮੈਦੇ ਦੀ ਭੇਟ ਵਿੱਚੋਂ ਜੋ ਬਚ ਜਾਵੇ ਉਹ ਹਾਰੂਨ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਦਾ ਹੋਵੇ। ਇਹ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਅੱਗ ਦੀ ਭੇਟ ਵਿੱਚੋਂ ਅੱਤ ਪਵਿੱਤਰ ਹੈ।“
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 4] “ਜੇਕਰ ਤੂੰ ਤੰਦੂਰ ਵਿੱਚ ਪਕਾਏ ਹੋਏ ਮੈਦੇ ਦੀ ਭੇਟ ਦਾ ਚੜ੍ਹਾਵਾ ਲਿਆਵੇਂ ਤਾਂ ਉਹ ਤੇਲ ਨਾਲ ਗੁੰਨੇ ਹੋਏ ਮੈਦੇ ਦੀ ਪਤੀਰੀ ਰੋਟੀ ਜਾਂ ਤੇਲ ਨਾਲ ਚੋਪੜੀਆਂ ਹੋਈਆਂ ਮੱਠੀਆਂ ਦਾ ਹੋਵੇ।
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 5] ਜੇਕਰ ਤੇਰਾ ਚੜ੍ਹਾਵਾ ਤਵੇ ਉੱਤੇ ਪਕਾਈ ਹੋਈ ਮੈਦੇ ਦੀ ਭੇਟ ਦਾ ਹੋਵੇ ਤਾਂ ਉਹ ਤੇਲ ਨਾਲ ਗੁੰਨੇ ਹੋਏ ਪਤੀਰੇ ਮੈਦੇ ਦਾ ਹੋਵੇ।
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 6] ਤੂੰ ਉਸ ਨੂੰ ਟੁੱਕੜੇ-ਟੁੱਕੜੇ ਕਰਕੇ ਉਸ ਦੇ ਉੱਤੇ ਤੇਲ ਪਾਵੀਂ। ਇਹ ਇੱਕ ਮੈਦੇ ਦੀ ਭੇਟ ਹੈ।
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 7] ਅਤੇ ਜੇਕਰ ਤੇਰਾ ਚੜ੍ਹਾਵਾ ਕੜਾਹੀ ਵਿੱਚ ਪਕਾਏ ਹੋਏ ਮੈਦੇ ਦੀ ਭੇਟ ਦਾ ਹੋਵੇ ਤਾਂ ਉਹ ਤੇਲ ਨਾਲ ਗੁੰਨੇ ਹੋਏ ਮੈਦੇ ਦਾ ਹੋਵੇ।
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 8] ਤੂੰ ਇੰਨ੍ਹਾਂ ਵਸਤੂਆਂ ਦੀ ਬਣੀ ਹੋਈ ਮੈਦੇ ਦੀ ਭੇਟ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਲਿਆਵੀਂ ਅਤੇ ਜਦੋਂ ਉਹ ਜਾਜਕ ਦੇ ਕੋਲ ਲਿਆਈ ਜਾਵੇ ਤਾਂ ਉਹ ਉਸ ਨੂੰ ਜਗਵੇਦੀ ਦੇ ਕੋਲ ਲਿਆਵੇ।
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 9] ਅਤੇ ਜਾਜਕ ਉਸ ਦੀ ਯਾਦਗੀਰੀ ਲਈ ਮੈਦੇ ਦੀ ਭੇਟ ਤੋਂ ਕੁਝ ਲੈ ਕੇ ਉਸ ਨੂੰ ਜਗਵੇਦੀ ਉੱਤੇ ਸਾੜੇ, ਇਹ ਯਹੋਵਾਹ ਦੇ ਲਈ ਇੱਕ ਸੁਗੰਧਤਾ ਅਰਥਾਤ ਅੱਗ ਦੀ ਭੇਟ ਹੈ।
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 10] ਅਤੇ ਜੋ ਕੁਝ ਉਸ ਮੈਦੇ ਦੀ ਭੇਟ ਤੋਂ ਬਚ ਜਾਵੇ ਉਹ ਹਾਰੂਨ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਦਾ ਹੋਵੇ, ਇਹ ਯਹੋਵਾਹ ਦੇ ਲਈ ਅੱਗ ਦੀਆਂ ਭੇਟਾਂ ਵਿੱਚੋਂ ਅੱਤ ਪਵਿੱਤਰ ਹੈ।
[IRV | PA | OT | Leviticus | Chapter 2 | Verse 11] “ਕੋਈ ਵੀ ਮੈਦੇ ਦੀ ਭੇਟ ਜੋ ਤੁਸੀਂ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਚੜ੍ਹਾਓ ਉਸ ਵਿੱਚ ਕੁਝ ਖ਼ਮੀਰ ਨਾ ਹੋਵੇ, ਤੁਸੀਂ ਯਹੋਵਾਹ ਦੇ ਲਈ ਕਿਸੇ ਅੱਗ ਦੀ ਭੇਟ ਵਿੱਚ ਖ਼ਮੀਰ ਅਤੇ ਸ਼ਹਿਦ ਨਾ ਸਾੜਿਓ।
