[GNV | EN | OT | Nahum | Chapter 3 | Verse 1] O bloody citie, it is all full of lyes, and robberie: the pray departeth not:
[GNV | EN | OT | Nahum | Chapter 3 | Verse 2] The noyse of a whippe, and the noyse of the mouing of the wheeles, and the beating of the horses, and the leaping of the charets.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 3] The horseman lifteth vp both the bright sword, and the glittering speare, and a multitude is slaine, and the dead bodyes are many: there is none ende of their corpses: they stumble vpon their corpses,
[GNV | EN | OT | Nahum | Chapter 3 | Verse 4] Because of the multitude of the fornications of the harlot that is beautifull, and is a mistresse of witchcraft, and selleth the people thorow her whoredome, and the nations thorowe her witchcrafts.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 5] Beholde, I come vpon thee, saith the Lord of hostes, and will discouer thy skirtes vpon thy face, and will shewe the nations thy filthines, and the kingdomes thy shame.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 6] And I will cast filth vpon thee, and make thee vile, and will set thee as a gasing stocke.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 7] And it shall come to passe, that al they that looke vpon thee, shall flee from thee, and say, Nineueh is destroyed, who will haue pitie vpon her? where shall I seeke comforters for thee?
[GNV | EN | OT | Nahum | Chapter 3 | Verse 8] Art thou better then No, which was ful of people? that lay in the riuers, and had the waters round about it? whose ditche was the sea, and her wall was from the sea?
[GNV | EN | OT | Nahum | Chapter 3 | Verse 9] Ethiopia and Egypt were her strength, and there was none ende: Put and Lubim were her helpers.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 10] Yet was she caried awaye, and went into captiuitie: her young children also were dashed in pieces at the head of all the streetes: and they cast lottes for her noble men, and al her myghtie men were bound in chaines.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 11] Also thou shalt bee drunken: thou shalt hide thy selfe, and shalt seeke helpe because of the enemie.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 12] All thy strong cities shall be like figtrees with the first ripe figs: for if they be shaken, they fall into the mouth of the eater.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 13] Beholde, thy people within thee are women: the gates of thy land shalbe opened vnto thine enemies, and ye fire shall deuoure thy barres.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 14] Drawe thee waters for the siege: fortifie thy strong holdes: go into the clay, and temper the morter: make strong bricke.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 15] There shall ye fire deuoure thee: the sword shall cut thee off: it shall eate thee vp like the locustes, though thou bee multiplied like the locustes, and multiplyed like the grashopper.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 16] Thou hast multiplied thy marchantes aboue the starres of heauen: the locust spoileth and flyeth away.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 17] Thy princes are as the grashoppers, and thy captaines as the great grashoppers which remaine in the hedges in the colde day: but when the sunne ariseth, they flee away and their place is not knowen where they are.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 18] Thy shepheardes doe sleepe, O King of Asshur: thy strong men lie downe: thy people is scattered vpon the mountaines, and no man gathereth them.
[GNV | EN | OT | Nahum | Chapter 3 | Verse 19] There is no healing of thy wounde: thy plague is grieuous: all that heare the brute of thee, shall clap the handes ouer thee: for vpon whome hath not thy malice passed continually?
