[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 1] Καὶ ἀναστὰς Ἔσρας ἀπὸ τῆς αὐλῆς τοῦ ἱεροῦ, ἐπορεύθη εἰς τὸ παστοφόριον Ἰωνὰν τοῦ Ἐλιασίβου.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 2] Καὶ αὐλισθεὶς ἐκεῖ, ἄρτου οὐκ ἐγεύσατο οὐδὲ ὕδωρ ἔπιε, πενθῶν ἐπὶ τῶν ἀνομιῶν τῶν μεγάλων τοῦ πλήθους.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 3] Καὶ ἐγένετο κήρυγμα ἐν ὅλῃ τῇ Ἰουδαίᾳ καὶ Ἱερουσαλὴμ πᾶσι τοῖς ἐκ τῆς αἰχμαλωσίας, συναχθῆναι εἰς Ἱερουσαλήμ.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 4] Καὶ ὅσοι ἂν μὴ ἀπαντήσωσιν ἐν δυσὶν ἢ τρισὶν ἡμέραις, κατὰ τὸ κρίμα τῶν προκαθημένων πρεσβυτέρων, ἀνιερωθήσονται τὰ κτήνη αὐτῶν, καὶ αὐτὸς ἀλλοτριωθήσεται ἀπὸ τοῦ πλήθους τῆς αἰχμαλωσίας.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 5] Καὶ ἐπισυνήχθησαν πάντες οἱ ἐκ τῆς φυλῆς Ἰούδα καὶ Βενιαμεὶν ἐν τρισὶν ἡμέραις εἰς Ἱερουσαλήμ· οὗτος ὁ μὴν ἔννατος, τῇ εἰκάδι τοῦ μηνός.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 6] Καὶ συνεκάθισαν πᾶν τὸ πλῆθος ἐν τῷ εὐρυχώρῳ τοῦ ἱεροῦ, τρέμοντες διὰ τὸν ἐνεστῶτα χειμῶνα.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 7] Καὶ ἀναστὰς Ἔσδρας εἶπεν αὐτοῖς, ὑμεῖς ἠνομήσατε καὶ συνῳκίσατε γυναιξὶν ἀλλογενέσι, τοῦ προσθεῖναι ἁμαρτίαν τῷ Ἰσραήλ.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 8] Καὶ νῦν δότε ὁμολογίαν δόξαν τῷ Κυρίῳ Θεῷ τῶν πατέρων ἡμῶν,
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 9] καὶ ποιήσατε τὸ θέλημα αὐτοῦ, καὶ χωρίσθητε ἀπὸ τῶν ἐθνῶν τῆς γῆς, καὶ ἀπὸ τῶν γυναικῶν τῶν ἀλλογενῶν.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 10] Καὶ ἐφώνησεν ἅπαν τὸ πλῆθος, καὶ εἶπον μεγάλῃ τῇ φωνῇ, οὕτως ὡς εἴρηκας, ποιήσομεν.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 11] Ἀλλὰ τὸ πλῆθος πολὺ καὶ ὥρα χειμερινὴ, καὶ οὐκ ἰσχύομεν στῆναι αἴθριοι· καὶ τὸ ἔργον οὐκ ἔστιν ἡμῖν ἡμέρας μιᾶς οὐδὲ δύο, ἐπὶ πλεῖον γὰρ ἡμάρτομεν ἐν τούτοις.
