[BBE | EN | NT | Luke | Chapter 23 | Verse 1] And they all went and took him before Pilate.
[BBE | EN | NT | Luke | Chapter 23 | Verse 2] And they made statements against him, saying, This man has to our knowledge been teaching our nation to do wrong, and not to make payment of taxes to Caesar, even saying that he himself is Christ, a king.
[BBE | EN | NT | Luke | Chapter 23 | Verse 3] And Pilate said to him, Are you the King of the Jews? And he said in answer, You say so.
[BBE | EN | NT | Luke | Chapter 23 | Verse 4] And Pilate said to the chief priests and the people, In my opinion this man has done no wrong.
[BBE | EN | NT | Luke | Chapter 23 | Verse 5] But they became more violent than before, saying, He has made trouble among the people, teaching through all Judaea from Galilee to this place.
[BBE | EN | NT | Luke | Chapter 23 | Verse 6] But at these words Pilate said, Is the man a Galilaean?
[BBE | EN | NT | Luke | Chapter 23 | Verse 7] And when he saw that he was under the authority of Herod, he sent him to Herod, who was in Jerusalem himself at that time.
[BBE | EN | NT | Luke | Chapter 23 | Verse 8] Now when Herod saw Jesus he was very glad, having for a long time had a desire to see him, for he had had accounts of him, and was hoping to see some wonders done by him.
[BBE | EN | NT | Luke | Chapter 23 | Verse 9] And he put a great number of questions to him, but he said nothing.
[BBE | EN | NT | Luke | Chapter 23 | Verse 10] And the chief priests and the scribes were there, making statements against him violently.
[BBE | EN | NT | Luke | Chapter 23 | Verse 11] And Herod, with the men of his army, put shame on him and made sport of him, and dressing him in shining robes, he sent him back to Pilate.
[BBE | EN | NT | Luke | Chapter 23 | Verse 12] And that day Herod and Pilate became friends with one another, for before they had been against one another.
[BBE | EN | NT | Luke | Chapter 23 | Verse 13] And Pilate sent for the chief priests and the rulers and the people, and said to them,
[BBE | EN | NT | Luke | Chapter 23 | Verse 14] You say that this man has been teaching the people evil things: now I, after going into the question before you, see nothing wrong in this man in connection with the things which you have said against him:
[BBE | EN | NT | Luke | Chapter 23 | Verse 15] And Herod is of the same opinion, for he has sent him back to us; for, you see, he has done nothing for which I might put him to death.
[BBE | EN | NT | Luke | Chapter 23 | Verse 16] And so I will give him punishment and let him go.
[BBE | EN | NT | Luke | Chapter 23 | Verse 17] []
[BBE | EN | NT | Luke | Chapter 23 | Verse 18] But with loud voices they said all together, Put this man to death, and make Barabbas free.
[BBE | EN | NT | Luke | Chapter 23 | Verse 19] Now this man was in prison because of an attack against the government in the town, in which there had been loss of life.
[BBE | EN | NT | Luke | Chapter 23 | Verse 20] And Pilate again said to them that it was his desire to let Jesus go free.
[BBE | EN | NT | Luke | Chapter 23 | Verse 21] But crying out they said, To the cross with him!
[BBE | EN | NT | Luke | Chapter 23 | Verse 22] And he said to them a third time, Why, what evil has he done? I see no reason for putting him to death: I will give him punishment and let him go.
[BBE | EN | NT | Luke | Chapter 23 | Verse 23] But they went on crying out loudly, Let him be put to death on the cross. And they had their way.
[BBE | EN | NT | Luke | Chapter 23 | Verse 24] And Pilate gave his decision for their desire to be put into effect.
[BBE | EN | NT | Luke | Chapter 23 | Verse 25] And in answer to their request, he let that man go free who had been in prison for acting against the government and causing death, and Jesus he gave up to their pleasure.
[BBE | EN | NT | Luke | Chapter 23 | Verse 26] And while they were taking him away, they put their hands on Simon of Cyrene, who was coming from the country, and made him take the cross after Jesus.
