[BBE | EN | NT | Luke | Chapter 20 | Verse 1] And it came about on one of those days, when he was teaching the people in the Temple and preaching the good news,
[BBE | EN | NT | Luke | Chapter 20 | Verse 2] That the chief priests and the scribes and the rulers of the people came to him and said, Make clear to us by what authority you do these things and who gave you this authority.
[BBE | EN | NT | Luke | Chapter 20 | Verse 3] And in answer he said to them, I will put a question to you, and do you give me an answer:
[BBE | EN | NT | Luke | Chapter 20 | Verse 4] The baptism of John, was it from heaven or of men?
[BBE | EN | NT | Luke | Chapter 20 | Verse 5] And they said among themselves, If we say, From heaven; he will say, Why did you not have faith in him?
[BBE | EN | NT | Luke | Chapter 20 | Verse 6] But if we say, Of men; we will be stoned by the people, for they are certain that John was a prophet.
[BBE | EN | NT | Luke | Chapter 20 | Verse 7] And they made answer that they had no idea where it came from.
[BBE | EN | NT | Luke | Chapter 20 | Verse 8] And Jesus said, And I will not make clear to you by what authority I do these things.
[BBE | EN | NT | Luke | Chapter 20 | Verse 9] And he gave the people this story: A man made a vine-garden and gave the use of it to some field-workers and went into another country for a long time.
[BBE | EN | NT | Luke | Chapter 20 | Verse 10] And at the right time he sent a servant to the workers to get part of the fruit from the vines; but the workmen gave him blows and sent him away with nothing.
[BBE | EN | NT | Luke | Chapter 20 | Verse 11] And he sent another servant, and they gave blows to him in the same way, and put shame on him, and sent him away with nothing.
[BBE | EN | NT | Luke | Chapter 20 | Verse 12] And he sent a third, and they gave him wounds and put him out.
[BBE | EN | NT | Luke | Chapter 20 | Verse 13] And the lord of the garden said, What am I to do? I will send my dearly loved son; they may give respect to him.
[BBE | EN | NT | Luke | Chapter 20 | Verse 14] But when the workmen saw him, they said to one another, This is he who will one day be the owner of the property: let us put him to death and the heritage will be ours.
[BBE | EN | NT | Luke | Chapter 20 | Verse 15] And driving him out of the garden they put him to death. Now what will the lord do to these workmen?
[BBE | EN | NT | Luke | Chapter 20 | Verse 16] He will come and put them to destruction and give the garden to others. And when he said this, they said, May it not be so.
[BBE | EN | NT | Luke | Chapter 20 | Verse 17] But he, looking on them, said, Is it not in the Writings, The stone which the builders put on one side, the same has become the chief stone of the building?
[BBE | EN | NT | Luke | Chapter 20 | Verse 18] Everyone falling on that stone will be broken, but the man on whom the stone comes down will be crushed to dust.
[BBE | EN | NT | Luke | Chapter 20 | Verse 19] And the chief priests and the scribes made attempts to get their hands on him in that very hour; and they were in fear of the people, for they saw that he had made up this story against them.
[BBE | EN | NT | Luke | Chapter 20 | Verse 20] And they kept watch on him, and sent out secret representatives, who were acting the part of good men, in order that they might get something from his words, on account of which they might give him up to the government and into the power of the ruler.
[BBE | EN | NT | Luke | Chapter 20 | Verse 21] And they put a question to him, saying, Master, we are certain that your teaching and your words are right, and that you have no respect for a man's position, but you are teaching the true way of God:
[BBE | EN | NT | Luke | Chapter 20 | Verse 22] Is it right for us to make payment of taxes to Caesar or not?
[BBE | EN | NT | Luke | Chapter 20 | Verse 23] But he saw through their trick and said to them,
[BBE | EN | NT | Luke | Chapter 20 | Verse 24] Let me see a penny. Whose image and name are on it? And they said, Caesar's.
[BBE | EN | NT | Luke | Chapter 20 | Verse 25] And he said, Then give to Caesar the things which are Caesar's, and to God the things which are God's.
[BBE | EN | NT | Luke | Chapter 20 | Verse 26] And they were not able to get anything from these words before the people: but they were full of wonder at his answer, and said nothing.
[BBE | EN | NT | Luke | Chapter 20 | Verse 27] And some of the Sadducees came to him, who say that there is no coming back from the dead; and they said to him,
[BBE | EN | NT | Luke | Chapter 20 | Verse 28] Master, Moses said that if a man's brother comes to his end, having a wife, but no children, his brother is to take the wife, and get a family for his brother.
[BBE | EN | NT | Luke | Chapter 20 | Verse 29] Now there were seven brothers, and the first had a wife and came to his end, having no children;
[BBE | EN | NT | Luke | Chapter 20 | Verse 30] And the second;
[BBE | EN | NT | Luke | Chapter 20 | Verse 31] And the third took her; and in the same way, all the seven, without having any children, came to their end.
[BBE | EN | NT | Luke | Chapter 20 | Verse 32] And last of all, the woman came to her end.
[BBE | EN | NT | Luke | Chapter 20 | Verse 33] When they come back from the dead, whose wife will she be? for all the seven had her.
[BBE | EN | NT | Luke | Chapter 20 | Verse 34] And Jesus said to them, The sons of this world are married and have wives;
[BBE | EN | NT | Luke | Chapter 20 | Verse 35] But those to whom is given the reward of the world to come, and to come back from the dead, have no wives, and are not married;
[BBE | EN | NT | Luke | Chapter 20 | Verse 36] And death has no more power over them, for they are equal to the angels, and are sons of God, being of those who will come back from the dead.
[BBE | EN | NT | Luke | Chapter 20 | Verse 37] But even Moses made it clear that the dead come back to life, saying, in the story of the burning thorn-tree, The Lord, the God of Abraham, the God of Isaac, and the God of Jacob.
[BBE | EN | NT | Luke | Chapter 20 | Verse 38] Now he is not the God of the dead but of the living: for all men are living to him.
[BBE | EN | NT | Luke | Chapter 20 | Verse 39] And some of the scribes, in answer to this, said, Master, you have said well.
[BBE | EN | NT | Luke | Chapter 20 | Verse 40] And they had fear of putting any more questions to him.
[BBE | EN | NT | Luke | Chapter 20 | Verse 41] And he said to them, Why do they say that the Christ is the son of David?
[BBE | EN | NT | Luke | Chapter 20 | Verse 42] For David himself says in the book of Psalms, The Lord said to my Lord, Take your seat at my right hand,
[BBE | EN | NT | Luke | Chapter 20 | Verse 43] Till I put under your feet all those who are against you.
[BBE | EN | NT | Luke | Chapter 20 | Verse 44] David then gives him the name of Lord, so how is it possible for him to be his son?
[BBE | EN | NT | Luke | Chapter 20 | Verse 45] And in the hearing of all the people he said to his disciples,
[BBE | EN | NT | Luke | Chapter 20 | Verse 46] Keep away from the scribes, whose pleasure it is to go about in long robes, and to have words of respect said to them in the market-places, and to take the chief seats in the Synagogues and the first places at feasts;
[BBE | EN | NT | Luke | Chapter 20 | Verse 47] Who take the property of widows and before the eyes of men make long prayers; they will get a greater punishment.
