[BBE | EN | NT | Luke | Chapter 7 | Verse 1] After he had come to the end of all his words in the hearing of the people, he went into Capernaum.
[BBE | EN | NT | Luke | Chapter 7 | Verse 2] And a certain captain had a servant who was very dear to him; this servant was ill and near to death.
[BBE | EN | NT | Luke | Chapter 7 | Verse 3] And when news of Jesus came to his ears, he sent to him rulers of the Jews, requesting that he would come and make his servant well.
[BBE | EN | NT | Luke | Chapter 7 | Verse 4] And they, when they came to Jesus, made their request warmly, saying,
[BBE | EN | NT | Luke | Chapter 7 | Verse 5] It is right for you to do this for him, because he is a friend to our nation, and himself has put up a Synagogue for us.
[BBE | EN | NT | Luke | Chapter 7 | Verse 6] And Jesus went with them. And when he was not far from the house, the man sent friends to him, saying, Lord, do not give yourself trouble: for I am not important enough for you to come into my house:
[BBE | EN | NT | Luke | Chapter 7 | Verse 7] And I had the feeling that I was not even good enough to come to you: but say the word only, and my servant will be well.
[BBE | EN | NT | Luke | Chapter 7 | Verse 8] For I, myself, am a man under authority, having men under me; and I say to this one, Go, and he goes; and to another, Come, and he comes; and to my servant, Do this, and he does it.
[BBE | EN | NT | Luke | Chapter 7 | Verse 9] And when these things were said to Jesus, he was surprised, and, turning to the mass of people coming after him, said, I have not seen such great faith, no, not in Israel.
[BBE | EN | NT | Luke | Chapter 7 | Verse 10] And when those who were sent came back to the house they saw that the servant was well.
[BBE | EN | NT | Luke | Chapter 7 | Verse 11] And it came about, after a little time, that he went to a town named Nain; and his disciples went with him, and a great number of people.
[BBE | EN | NT | Luke | Chapter 7 | Verse 12] Now when he came near the door of the town, a dead man was being taken out, the only son of his mother, who was a widow: and a great number of people from the town were with her.
[BBE | EN | NT | Luke | Chapter 7 | Verse 13] And when the Lord saw her, he had pity on her and said to her, Be not sad.
[BBE | EN | NT | Luke | Chapter 7 | Verse 14] And he came near, and put his hand on the stretcher where the dead man was: and those who were moving it came to a stop. And he said, Young man, I say to you, Get up.
[BBE | EN | NT | Luke | Chapter 7 | Verse 15] And the dead man got up, and words came from his lips. And he gave him to his mother.
[BBE | EN | NT | Luke | Chapter 7 | Verse 16] And fear came on all, and they gave praise to God, saying, A great prophet is among us: and, God has given thought to his people.
[BBE | EN | NT | Luke | Chapter 7 | Verse 17] And this story about him went through all Judaea and the places round about.
[BBE | EN | NT | Luke | Chapter 7 | Verse 18] And the disciples of John gave him an account of all these things.
[BBE | EN | NT | Luke | Chapter 7 | Verse 19] Then John sent two of his disciples to the Lord, saying, Are you he who is to come, or are we waiting for another?
[BBE | EN | NT | Luke | Chapter 7 | Verse 20] And when the men came to him they said, John the Baptist has sent us to you, saying, Are you he who is to come, or are we waiting for another?
[BBE | EN | NT | Luke | Chapter 7 | Verse 21] At that time, he made a number of people free from their diseases and their pains, and from evil spirits; and to others who were blind he gave back the use of their eyes.
[BBE | EN | NT | Luke | Chapter 7 | Verse 22] And answering them he said, Go back and give news to John of what you have seen, and the things which have come to your ears; the blind now see, those who had no power in their legs are walking, lepers are made clean, those who had no hearing now have their ears open, dead men come to life again, and the poor have the good news given to them.
[BBE | EN | NT | Luke | Chapter 7 | Verse 23] And a blessing will be on him who has no doubts about me.
[BBE | EN | NT | Luke | Chapter 7 | Verse 24] And when the men who were sent by John had gone away, he said to the people, about John, What did you go out into the waste land to see? a tall stem moving in the wind?
[BBE | EN | NT | Luke | Chapter 7 | Verse 25] But what did you go out to see? a man in soft clothing? See now, those who have beautiful clothing and delicate food are in kings' houses.
[BBE | EN | NT | Luke | Chapter 7 | Verse 26] But what did you go out to see? a prophet? Yes, I say to you, and more than a prophet.
