[BBE | EN | NT | Luke | Chapter 12 | Verse 1] At that time, when thousands of the people had come together, in such numbers that they were crushing one another, he said first to his disciples, Have nothing to do with the leaven of the Pharisees, which is deceit.
[BBE | EN | NT | Luke | Chapter 12 | Verse 2] But nothing is covered up, which will not come to light, or secret, which will not be made clear.
[BBE | EN | NT | Luke | Chapter 12 | Verse 3] So, whatever you have said in the dark, will come to men's hearing in the light, and what you have said secretly inside the house, will be made public from the house-tops.
[BBE | EN | NT | Luke | Chapter 12 | Verse 4] And I say to you, my friends, Have no fear of those who may put the body to death, and are able to do no more than that.
[BBE | EN | NT | Luke | Chapter 12 | Verse 5] But I will make clear to you of whom you are to be in fear: of him who after death has power to send you to hell; yes, truly I say, Have fear of him.
[BBE | EN | NT | Luke | Chapter 12 | Verse 6] Are not five sparrows given in exchange for two farthings? and God has every one of them in mind.
[BBE | EN | NT | Luke | Chapter 12 | Verse 7] But even the hairs of your head are numbered. Have no fear: you are of more value than a flock of sparrows.
[BBE | EN | NT | Luke | Chapter 12 | Verse 8] And I say to you that to everyone who gives witness to me before men, the Son of man will give witness before the angels of God.
[BBE | EN | NT | Luke | Chapter 12 | Verse 9] But if anyone says before men that he has no knowledge of me, I will say that I have no knowledge of him before the angels of God.
[BBE | EN | NT | Luke | Chapter 12 | Verse 10] And if anyone says a word against the Son of man, he will have forgiveness: but for him who says evil words against the Holy Spirit, there will be no forgiveness.
[BBE | EN | NT | Luke | Chapter 12 | Verse 11] And when they take you before the Synagogues and the authorities and the rulers, take no thought about what answers you will give, or what you will say:
[BBE | EN | NT | Luke | Chapter 12 | Verse 12] For the Holy Spirit will make clear to you in that very hour what to say.
[BBE | EN | NT | Luke | Chapter 12 | Verse 13] And one of the people said to him, Master, give an order to my brother to make division of the heritage with me.
[BBE | EN | NT | Luke | Chapter 12 | Verse 14] But he said, Man, who made me a judge or a maker of decisions for you?
[BBE | EN | NT | Luke | Chapter 12 | Verse 15] And he said to them, Take care to keep yourselves free from the desire for property; for a man's life is not made up of the number of things which he has.
[BBE | EN | NT | Luke | Chapter 12 | Verse 16] And he said to them, in a story, The land of a certain man of great wealth was very fertile:
[BBE | EN | NT | Luke | Chapter 12 | Verse 17] And he said to himself, What is to be done? for I have no place in which to put all my fruit.
[BBE | EN | NT | Luke | Chapter 12 | Verse 18] And he said, This I will do: I will take down my store-houses and make greater ones, and there I will put all my grain and my goods.
[BBE | EN | NT | Luke | Chapter 12 | Verse 19] And I will say to my soul, Soul, you have a great amount of goods in store, enough for a number of years; be at rest, take food and wine and be happy.
[BBE | EN | NT | Luke | Chapter 12 | Verse 20] But God said to him, You foolish one, tonight I will take your soul from you, and who then will be the owner of all the things which you have got together?
[BBE | EN | NT | Luke | Chapter 12 | Verse 21] So that is what comes to the man who gets wealth for himself, and has not wealth in the eyes of God.
[BBE | EN | NT | Luke | Chapter 12 | Verse 22] And he said to his disciples, For this reason I say to you, Take no thought for your life, about what food you will take, or for your body, how it may be clothed.
[BBE | EN | NT | Luke | Chapter 12 | Verse 23] Is not life more than food, and the body than its clothing?
[BBE | EN | NT | Luke | Chapter 12 | Verse 24] Give thought to the ravens; they do not put seeds into the earth, or get together grain; they have no store-houses or buildings; and God gives them their food: of how much greater value are you than the birds!
[BBE | EN | NT | Luke | Chapter 12 | Verse 25] And which of you by taking thought is able to make himself any taller?
[BBE | EN | NT | Luke | Chapter 12 | Verse 26] If, then, you are not able to do even that which is least, why are you troubled about the rest?
[BBE | EN | NT | Luke | Chapter 12 | Verse 27] Give thought to the flowers: they do no work, they make no thread; and still I say to you, Even Solomon, in all his glory, was not clothed like one of these.
[BBE | EN | NT | Luke | Chapter 12 | Verse 28] But if God gives such clothing to the grass in the field, which today is living, and tomorrow will be burned in the oven, how much more will he give clothing to you, O men of little faith?
[BBE | EN | NT | Luke | Chapter 12 | Verse 29] And do not give overmuch thought to your food and drink, and let not your mind be full of doubts.
[BBE | EN | NT | Luke | Chapter 12 | Verse 30] For the nations of the world go in search of all these things: but your Father has knowledge that you have need of them.
[BBE | EN | NT | Luke | Chapter 12 | Verse 31] But let your chief care be for his kingdom, and these other things will be given to you in addition.
[BBE | EN | NT | Luke | Chapter 12 | Verse 32] Have no fear, little flock, for it is your Father's good pleasure to give you the kingdom.
[BBE | EN | NT | Luke | Chapter 12 | Verse 33] Give what property you have in exchange for money, and give the money to the poor; make for yourselves money-bags which will not get old, wealth stored up in heaven which will be yours for ever, where thieves will not come nor worms put it to destruction.
[BBE | EN | NT | Luke | Chapter 12 | Verse 34] For where your wealth is, there will your heart be.
[BBE | EN | NT | Luke | Chapter 12 | Verse 35] Be ready, dressed as for a journey, with your lights burning.
[BBE | EN | NT | Luke | Chapter 12 | Verse 36] And be like men who are looking for their lord, when he comes back from the bride-feast; so that when he comes to the door, it will be open to him quickly.
[BBE | EN | NT | Luke | Chapter 12 | Verse 37] Happy are those servants who are watching when the lord comes; truly I say to you, he will make himself their servant and, placing them at the table, he will come out and give them food.
[BBE | EN | NT | Luke | Chapter 12 | Verse 38] And if he comes in the second division of the night or in the third, and they are watching for him, happy are those servants.
