[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 1] فَرَجَعَ ٱلْمَلَاكُ ٱلَّذِي كَلَّمَنِي وَأَيْقَظَنِي كَرَجُلٍ أُوقِظَ مِنْ نَوْمِهِ.
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 2] وَقَالَ لِي: «مَاذَا تَرَى؟» فَقُلْتُ: «قَدْ نَظَرْتُ وَإِذَا بِمَنَارَةٍ كُلُّهَا ذَهَبٌ، وَكُوزُهَا عَلَى رَأْسِهَا، وَسَبْعَةُ سُرُجٍ عَلَيْهَا، وَسَبْعُ أَنَابِيبَ لِلسُّرْجِ ٱلَّتِي عَلَى رَأْسِهَا.
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 3] وَعِنْدَهَا زَيْتُونَتَانِ، إِحْدَاهُمَا عَنْ يَمِينِ ٱلْكُوزِ، وَٱلْأُخْرَى عَنْ يَسَارِهِ».
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 4] فَأَجَبْتُ وَقُلْتُ لِلْمَلَاكِ ٱلَّذِي كَلَّمَنِي قَائِلًا: «مَا هَذِهِ يَا سَيِّدِي؟»
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 5] فَأَجَابَ ٱلْمَلَاكُ ٱلَّذِي كَلَّمَنِي وَقَالَ لِي: «أَمَا تَعْلَمُ مَا هَذِهِ؟» فَقُلْتُ: «لَا يَا سَيِّدِي».
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 6] فَأَجَابَ وَكَلَّمَنِي قَائِلًا: «هَذِهِ كَلِمَةُ ٱلرَّبِّ إِلَى زَرُبَّابِلَ قَائِلًا: لَا بِٱلْقُدْرَةِ وَلَا بِٱلْقُوَّةِ، بَلْ بِرُوحِي قَالَ رَبُّ ٱلْجُنُودِ.
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 7] مَنْ أَنْتَ أَيُّهَا ٱلْجَبَلُ ٱلْعَظِيمُ؟ أَمَامَ زَرُبَّابِلَ تَصِيرُ سَهْلًا! فَيُخْرِجُ حَجَرَ ٱلزَّاوِيَةِ بَيْنَ ٱلْهَاتِفِينَ: كَرَامَةً، كَرَامَةً لَهُ».
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 8] وَكَانَتْ إِلَيَّ كَلِمَةُ ٱلرَّبِّ قَائِلًا:
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 9] «إِنَّ يَدَيْ زَرُبَّابِلَ قَدْ أَسَّسَتَا هَذَا ٱلْبَيْتَ، فَيَدَاهُ تُتَمِّمَانِهِ، فَتَعْلَمُ أَنَّ رَبَّ ٱلْجُنُودِ أَرْسَلَنِي إِلَيْكُمْ».
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 10] لِأَنَّهُ مَنِ ٱزْدَرَى بِيَوْمِ ٱلْأُمُورِ ٱلصَّغِيرَةِ. فَتَفْرَحُ أُولَئِكَ ٱلسَّبْعُ، وَيَرَوْنَ ٱلزِّيجَ بِيَدِ زَرُبَّابِلَ. إِنَّمَا هِيَ أَعْيُنُ ٱلرَّبِّ ٱلْجَائِلَةُ فِي ٱلْأَرْضِ كُلِّهَا.
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 11] فَأَجَبْتُ وَقُلْتُ لَهُ: «مَا هَاتَانِ ٱلزَّيْتُونَتَانِ عَنْ يَمِينِ ٱلْمَنَارَةِ وَعَنْ يَسَارِهَا؟»
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 12] وَأَجَبْتُ ثَانِيَةً وَقُلْتُ لَهُ: «مَا فَرْعَا ٱلزَّيْتُونِ ٱللَّذَانِ بِجَانِبِ ٱلْأَنَابِيبِ مِنْ ذَهَبٍ، ٱلْمُفْرِغَانِ مِنْ أَنْفُسِهِمَا ٱلذَّهَبِيَّ؟»
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 13] فَأَجَابَنِي قَائِلًا: «أَمَا تَعْلَمُ مَا هَاتَانِ؟» فَقُلْتُ: «لَا يَا سَيِّدِي».
[VANDYKE | AR | OT | Zechariah | Chapter 4 | Verse 14] فَقَالَ: «هَاتَانِ هُمَا ٱبْنَا ٱلزَّيْتِ ٱلْوَاقِفَانِ عِنْدَ سَيِّدِ ٱلْأَرْضِ كُلِّهَا».
