[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 1] Περὶ δὲ τῶν χρόνων καὶ τῶν καιρῶν, ἀδελφοί, οὐ χρείαν ἔχετε ὑμῖν γράφεσθαι.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 2] Αὐτοὶ γὰρ ἀκριβῶς οἴδατε ὅτι ἡ ἡμέρα Κυρίου ὡς κλέπτης ἐν νυκτὶ οὕτως ἔρχεται·
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 3] ὅταν γὰρ λέγωσιν, Εἰρήνη καὶ ἀσφάλεια, τότε αἰφνίδιος αὐτοῖς ἐφίσταται ὄλεθρος, ὥσπερ ἡ ὠδὶν τῇ ἐν γαστρὶ ἐχούσῃ, καὶ οὐ μὴ ἐκφύγωσιν.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 4] Ὑμεῖς δέ, ἀδελφοί, οὐκ ἐστὲ ἐν σκότει, ἵνα ἡ ἡμέρα ὑμᾶς ὡς κλέπτης καταλάβῃ·
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 5] πάντες ὑμεῖς υἱοὶ φωτός ἐστε καὶ υἱοὶ ἡμέρας· οὐκ ἐσμὲν νυκτὸς οὐδὲ σκότους·
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 6] ἄρα οὖν μὴ καθεύδωμεν ὡς καὶ οἱ λοιποί, ἀλλὰ γρηγορῶμεν καὶ νήφωμεν.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 7] Οἱ γὰρ καθεύδοντες νυκτὸς καθεύδουσι· καὶ οἱ μεθυσκόμενοι, νυκτὸς μεθύουσιν.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 8] Ἡμεῖς δέ, ἡμέρας ὄντες, νήφωμεν, ἐνδυσάμενοι θώρακα πίστεως καὶ ἀγάπης, καὶ περικεφαλαίαν, ἐλπίδα σωτηρίας.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 9] Ὅτι οὐκ ἔθετο ἡμᾶς ὁ Θεὸς εἰς ὀργήν, ἀλλ᾿ εἰς περιποίησιν σωτηρίας διὰ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 10] τοῦ ἀποθανόντος ὑπὲρ ἡμῶν, ἵνα, εἴτε γρηγορῶμεν εἴτε καθεύδωμεν, ἅμα σὺν αὐτῷ ζήσωμεν.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 11] Διὸ παρακαλεῖτε ἀλλήλους, καὶ οἰκοδομεῖτε εἷς τὸν ἕνα, καθὼς καὶ ποιεῖτε.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 12] Ἐρωτῶμεν δὲ ὑμᾶς, ἀδελφοί, εἰδέναι τοὺς κοπιῶντας ἐν ὑμῖν, καὶ προϊσταμένους ὑμῶν ἐν Κυρίῳ, καὶ νουθετοῦντας ὑμᾶς,
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 13] καὶ ἡγεῖσθαι αὐτοὺς ὑπὲρ ἐκπερισσοῦ ἐν ἀγάπῃ διὰ τὸ ἔργον αὐτῶν. Εἰρηνεύετε ἐν ἑαυτοῖς.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 14] Παρακαλοῦμεν δὲ ὑμᾶς, ἀδελφοί, νουθετεῖτε τοὺς ἀτάκτους, παραμυθεῖσθε τοὺς ὀλιγοψύχους, ἀντέχεσθε τῶν ἀσθενῶν, μακροθυμεῖτε πρὸς πάντας.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 15] Ὁρᾶτε μή τις κακὸν ἀντὶ κακοῦ τινὶ ἀποδῷ· ἀλλὰ πάντοτε τὸ ἀγαθὸν διώκετε καὶ εἰς ἀλλήλους καὶ εἰς πάντας.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 16] Πάντοτε χαίρετε·
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 17] ἀδιαλείπτως προσεύχεσθε·
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 18] ἐν παντὶ εὐχαριστεῖτε· τοῦτο γὰρ θέλημα Θεοῦ ἐν Χριστῷ Ἰησοῦ εἰς ὑμᾶς.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 19] Τὸ πνεῦμα μὴ σβέννυτε·
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 20] προφητείας μὴ ἐξουθενεῖτε·
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 21] πάντα δοκιμάζετε· τὸ καλὸν κατέχετε·
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 22] ἀπὸ παντὸς εἴδους πονηροῦ ἀπέχεσθε.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 23] Αὐτὸς δὲ ὁ Θεὸς τῆς εἰρήνης ἁγιάσαι ὑμᾶς ὁλοτελεῖς· καὶ ὁλόκληρον ὑμῶν τὸ πνεῦμα καὶ ἡ ψυχὴ καὶ τὸ σῶμα ἀμέμπτως ἐν τῇ παρουσίᾳ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ τηρηθείη.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 24] Πιστὸς ὁ καλῶν ὑμᾶς, ὃς καὶ ποιήσει.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 25] Ἀδελφοί, προσεύχεσθε περὶ ἡμῶν.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 26] Ἀσπάσασθε τοὺς ἀδελφοὺς πάντας ἐν φιλήματι ἁγίῳ.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 27] Ὁρκίζω ὑμᾶς τὸν Κύριον, ἀναγνωσθῆναι τὴν ἐπιστολὴν πᾶσι τοῖς ἁγίοις ἀδελφοῖς.
[GRCGTR | EL | NT | 1 Thessalonians | Chapter 5 | Verse 28] Ἡ χάρις τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ μεθ᾿ ὑμῶν. Ἀμήν. Πρὸς Θεσσαλονικεῖς πρώτη ἐγράφη ἀπὸ Ἀθηνῶν.
