[IRV | KN | OT | Leviticus | Chapter 3 | Verse 1] “‘ಯಾವನಾದರೂ ಸಮಾಧಾನಯಜ್ಞವನ್ನು ಮಾಡಬೇಕಾದರೆ ಅವನು ಸಮರ್ಪಿಸುವ ಪಶುವು ದನವಾಗಿದ್ದ ಪಕ್ಷಕ್ಕೆ ಅದು ಗಂಡಾಗಲಿ ಅಥವಾ ಹೆಣ್ಣಾಗಲಿ ಯೆಹೋವನ ದೃಷ್ಟಿಯಲ್ಲಿ ಪೂರ್ಣಾಂಗವಾಗಿಯೇ ಇರಬೇಕು.
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 2] ಅವನು ಅದನ್ನು ಯೆಹೋವನ ಸನ್ನಿಧಿಗೆ ತಂದು ಅದರ ತಲೆಯ ಮೇಲೆ ಕೈಯನ್ನಿಟ್ಟು ದೇವದರ್ಶನದ ಗುಡಾರದ ಬಾಗಿಲಲ್ಲಿ ವಧಿಸಬೇಕು. ಆರೋನನ ವಂಶದವರಾದ ಯಾಜಕರು ಅದರ ರಕ್ತವನ್ನು ಯಜ್ಞವೇದಿಯ ಸುತ್ತಲೂ ಎರಚಬೇಕು.
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 3] ಆ ಯಜ್ಞಪಶುವಿನ ಅಂಗಾಂಶದ ಕೊಬ್ಬನ್ನು, ಕರುಳುಗಳ ಮೇಲಣ ಎಲ್ಲಾ ಕೊಬ್ಬನ್ನು,
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 4] ಎರಡು ಮೂತ್ರಪಿಂಡಗಳ ಮೇಲೆ, ಸೊಂಟದಲ್ಲಿರುವ ಕೊಬ್ಬನ್ನು, ಕಳಿಜದ ಹತ್ತಿರ ಮೂತ್ರಪಿಂಡದ ತನಕ ಇರುವ ಕೊಬ್ಬನ್ನು ತೆಗೆದು ಅವುಗಳನ್ನು ಯೆಹೋವನಿಗೆ ಹೋಮಮಾಡಬೇಕು.
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 5] ಆರೋನನ ವಂಶದವರಾದ ಯಾಜಕರು ಅದನ್ನು ಯಜ್ಞವೇದಿಯಲ್ಲಿ ಉರಿಯುವ ಕಟ್ಟಿಗೆಯ ಮೇಲಿರುವ ಸರ್ವಾಂಗಹೋಮ ದ್ರವ್ಯದೊಡನೆ ಹೋಮಮಾಡಬೇಕು. ಅದು ಯೆಹೋವನಿಗೆ ಸುಗಂಧಹೋಮ ಆಗಿರುವುದು.
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 6] “‘ಸಮಾಧಾನಯಜ್ಞಕ್ಕಾಗಿ ಯೆಹೋವನಿಗೆ ಸಮರ್ಪಿಸುವಂಥದು ಕುರಿ ಅಥವಾ ಆಡು ಆಗಿರುವ ಪಕ್ಷದಲ್ಲಿ, ಅದು ಗಂಡಾಗಲಿ ಅಥವಾ ಹೆಣ್ಣಾಗಲಿ ಪೂರ್ಣಾಂಗವಾಗಿರಬೇಕು.
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 7] ಅದು ಕುರಿಯಾಗಿದ್ದರೆ ತಂದವನು ಅದನ್ನು ಯೆಹೋವನ ಸನ್ನಿಧಿಗೆ ತೆಗೆದುಕೊಂಡು ಬರಬೇಕು.
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 8] ಅವನು ಅದರ ತಲೆಯ ಮೇಲೆ ಕೈಯನ್ನಿಟ್ಟು ದೇವದರ್ಶನದ ಗುಡಾರದ ಎದುರಾಗಿ ಅದನ್ನು ವಧಿಸಬೇಕು. ಆರೋನನ ವಂಶದವರಾದ ಯಾಜಕರು ಅದರ ರಕ್ತವನ್ನು ಯಜ್ಞವೇದಿಯ ಸುತ್ತಲೂ ಎರಚಬೇಕು.
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 9] ಆ ಸಮಾಧಾನಯಜ್ಞದ ಪಶುವಿನ ಕೊಬ್ಬನ್ನು ಯೆಹೋವನಿಗೋಸ್ಕರ ಹೋಮವಾಗಿ ಸಮರ್ಪಿಸಬೇಕು. ಹೇಗೆಂದರೆ, ಬಾಲದ ಕೊಬ್ಬನ್ನೆಲ್ಲಾ ಬೆನ್ನೆಲುಬಿನ ಬಳಿಯಿಂದ ತೆಗೆದುಬಿಟ್ಟು ಅದನ್ನು, ಅಂಗಾಂಶದ ಕೊಬ್ಬನ್ನು, ಕರುಳುಗಳ ಮೇಲಣ ಎಲ್ಲಾ ಕೊಬ್ಬನ್ನು,
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 10] ಎರಡು ಮೂತ್ರಪಿಂಡಗಳನ್ನು, ಇವುಗಳ ಮೇಲೆ ಸೊಂಟದಲ್ಲಿರುವ ಕೊಬ್ಬನ್ನು ಮತ್ತು ಕಳಿಜದ ಮೇಲೆ ಮೂತ್ರಪಿಂಡಗಳ ತನಕ ಇರುವ ಕೊಬ್ಬನ್ನು ತೆಗೆಯಬೇಕು.
[IRV | KN | OT | Leviticus | Chapter 3 | Verse 11] ಯಾಜಕನು ಯಜ್ಞವೇದಿಯ ಮೇಲೆ ಅವುಗಳನ್ನು ಹೋಮಮಾಡಬೇಕು. ಅದು ಯೆಹೋವನಿಗೆ ಅಗ್ನಿಯ ಮೂಲಕವಾಗಿ ಅರ್ಪಿಸಿದ ಆಹಾರವಾಗುವುದು.
