[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 1] وَعَمِلَ مَذْبَحَ نُحَاسٍ طُولُهُ عِشْرُونَ ذِرَاعًا، وَعَرْضُهُ عِشْرُونَ ذِرَاعًا، وَٱرْتِفَاعُهُ عَشَرُ أَذْرُعٍ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 2] وَعَمِلَ ٱلْبَحْرَ مَسْبُوكًا عَشَرَ أَذْرُعٍ مِنْ شَفَتِهِ إِلَى شَفَتِهِ، وَكَانَ مُدَوَّرًا مُسْتَدِيرًا وَٱرْتِفَاعُهُ خَمْسُ أَذْرُعٍ، وَخَيْطٌ ثَلَاثُونَ ذِرَاعًا يُحِيطُ بِدَائِرِهِ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 3] وَشِبْهُ قِثَّاءٍ تَحْتَهُ مُسْتَدِيرًا يُحِيطُ بِهِ عَلَى ٱسْتِدَارَتِهِ، لِلذِّرَاعِ عَشَرٌ تُحِيطُ بِٱلْبَحْرِ مُسْتَدِيرَةً، وَٱلْقِثَّاءُ صَفَّانِ قَدْ سُبِكَتْ بِسَبْكِهِ،
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 4] كَانَ قَائِمًا عَلَى ٱثْنَيْ عَشَرَ ثَوْرًا، ثَلَاثَةٌ مُتَّجِهَةٌ إِلَى ٱلشِّمَالِ، وَثَلَاثَةٌ مُتَّجِهَةٌ إِلَى ٱلْغَرْبِ، وَثَلَاثَةٌ مُتَّجِهَةٌ إِلَى ٱلْجَنُوبِ، وَثَلَاثَةٌ مُتَّجِهَةٌ إِلَى ٱلشَّرْقِ، وَٱلْبَحْرُ عَلَيْهَا مِنْ فَوْقُ، وَجَمِيعُ أَعْجَازِهَا إِلَى دَاخِلٍ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 5] وَغِلَظُهُ شِبْرٌ، وَشَفَتُهُ كَعَمَلِ شَفَةِ كَأْسٍ بِزَهْرِ سَوْسَنٍّ. يَأْخُذُ وَيَسَعُ ثَلَاثَةَ آلَافِ بَثٍّ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 6] وَعَمِلَ عَشَرَ مَرَاحِضَ، وَجَعَلَ خَمْسًا عَنِ ٱلْيَمِينِ وَخَمْسًا عَنِ ٱلْيَسَارِ، لِلِٱغْتِسَالِ فِيهَا. كَانُوا يَغْسِلُونَ فِيهَا مَا يُقَرِّبُونَهُ مُحْرَقَةً، وَٱلْبَحْرُ لِكَيْ يَغْتَسِلَ فِيهِ ٱلْكَهَنَةُ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 7] وَعَمِلَ مَنَائِرَ ذَهَبٍ عَشَرًا كَرَسْمِهَا، وَجَعَلَهَا فِي ٱلْهَيْكَلِ، خَمْسًا عَنِ ٱلْيَمِينِ وَخَمْسًا عَنِ ٱلْيَسَارِ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 8] وَعَمِلَ عَشَرَ مَوَائِدَ وَوَضَعَهَا فِي ٱلْهَيْكَلِ، خَمْسًا عَنِ ٱلْيَمِينِ وَخَمْسًا عَنِ ٱلْيَسَارِ. وَعَمِلَ مِئَةَ مِنْضَحَةٍ مِنْ ذَهَبٍ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 9] وَعَمِلَ دَارَ ٱلْكَهَنَةِ وَٱلدَّارَ ٱلْعَظِيمَةَ وَمَصَارِيعَ ٱلدَّارِ، وَغَشَّى مَصَارِيعَهَا بِنُحَاسٍ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 10] وَجَعَلَ ٱلْبَحْرَ إِلَى ٱلْجَانِبِ ٱلْأَيْمَنِ إِلَى ٱلشَّرْقِ مِنْ جِهَةِ ٱلْجَنُوبِ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 11] وَعَمِلَ حُورَامُ ٱلْقُدُورَ وَٱلرُّفُوشَ وَٱلْمَنَاضِحَ. وَٱنْتَهَى حُورَامُ مِنْ عَمَلِ ٱلْعَمَلِ ٱلَّذِي صَنَعَهُ لِلْمَلِكِ سُلَيْمَانَ فِي بَيْتِ ٱللهِ:
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 12] ٱلْعَمُودَيْنِ وَكُرَتَيِ ٱلتَّاجَيْنِ عَلَى رَأْسَيِ ٱلْعَمُودَيْنِ، وَٱلشَّبَكَتَيْنِ لِتَغْطِيَةِ كُرَتَيِ ٱلتَّاجَيْنِ ٱللَّذَيْنِ عَلَى رَأْسَيِ ٱلْعَمُودَيْنِ،
