[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 1] وَكَانَ رُوحُ ٱللهِ عَلَى عَزَرْيَا بْنِ عُودِيدَ،
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 2] فَخَرَجَ لِلِقَاءِ آسَا وَقَالَ لَهُ: «ٱسْمَعُوا لِي يَا آسَا وَجَمِيعَ يَهُوذَا وَبَنْيَامِينَ. ٱلرَّبُّ مَعَكُمْ مَا كُنْتُمْ مَعَهُ، وَإِنْ طَلَبْتُمُوهُ يُوجَدْ لَكُمْ، وَإِنْ تَرَكْتُمُوهُ يَتْرُكْكُمْ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 3] وَلِإِسْرَائِيلَ أَيَّامٌ كَثِيرَةٌ بِلَا إِلَهٍ حَقٍّ وَبِلَا كَاهِنٍ مُعَلِّمٍ وَبِلَا شَرِيعَةٍ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 4] وَلَكِنْ لَمَّا رَجَعُوا عِنْدَمَا تَضَايَقُوا إِلَى ٱلرَّبِّ إِلَهِ إِسْرَائِيلَ وَطَلَبُوهُ وُجِدَ لَهُمْ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 5] وَفِي تِلْكَ ٱلْأَزْمَانِ لَمْ يَكُنْ أَمَانٌ لِلْخَارِجِ وَلَا لِلدَّاخِلِ، لِأَنَّ ٱضْطِرَابَاتٍ كَثِيرَةً كَانَتْ عَلَى كُلِّ سُكَّانِ ٱلْأَرَاضِي.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 6] فَأُفْنِيَتْ أُمَّةٌ بِأُمَّةٍ وَمَدِينَةٌ بِمَدِينَةٍ، لِأَنَّ ٱللهَ أَزْعَجَهُمْ بِكُلِّ ضِيقٍ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 7] فَتَشَدَّدُوا أَنْتُمْ وَلَا تَرْتَخِ أَيْدِيكُمْ لِأَنَّ لِعَمَلِكُمْ أَجْرًا».
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 8] فَلَمَّا سَمِعَ آسَا هَذَا ٱلْكَلَامَ وَنُبُوَّةَ عُودِيدَ ٱلنَّبِيِّ، تَشَدَّدَ وَنَزَعَ ٱلرَّجَاسَاتِ مِنْ كُلِّ أَرْضِ يَهُوذَا وَبَنْيَامِينَ وَمِنَ ٱلْمُدُنِ ٱلَّتِي أَخَذَهَا مِنْ جَبَلِ أَفْرَايِمَ، وَجَدَّدَ مَذْبَحَ ٱلرَّبِّ ٱلَّذِي أَمَامَ رِوَاقِ ٱلرَّبِّ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 9] وَجَمَعَ كُلَّ يَهُوذَا وَبَنْيَامِينَ وَٱلْغُرَبَاءَ مَعَهُمْ مِنْ أَفْرَايِمَ وَمَنَسَّى وَمِنْ شِمْعُونَ، لِأَنَّهُمْ سَقَطُوا إِلَيْهِ مِنْ إِسْرَائِيلَ بِكَثْرَةٍ حِينَ رَأَوْا أَنَّ ٱلرَّبَّ إِلَهَهُ مَعَهُ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 10] فَٱجْتَمَعُوا فِي أُورُشَلِيمَ فِي ٱلشَّهْرِ ٱلثَّالِثِ فِي ٱلسَّنَةِ ٱلْخَامِسَةَ عَشَرَةَ لِمُلْكِ آسَا،
[VANDYKE | AR | OT | 2 Chronicles | Chapter 15 | Verse 11] وَذَبَحُوا لِلرَّبِّ فِي ذَلِكَ ٱلْيَوْمِ مِنَ ٱلْغَنِيمَةِ ٱلَّتِي جَلَبُوا سَبْعَ مِئَةٍ مِنَ ٱلْبَقَرِ، وَسَبْعَةَ آلَافٍ مِنَ ٱلضَّأْنِ.
