[IRV | UR | OT | Numbers | Chapter 28 | Verse 1] और ख़ुदावन्द ने मूसा से कहा कि;
[IRV | UR | OT | Numbers | Chapter 28 | Verse 2] “बनी — इस्राईल से कह कि मेरा हदिया, या'नी मेरी वह गिज़ा जो राहतअंगेज़ ख़ुशबू की आतिशीन क़ुर्बानी है, तुम याद करके मेरे सामने वक़्त — ए — मु'अय्यन पर पेश करा करना।
[IRV | UR | OT | Numbers | Chapter 28 | Verse 3] तू उन से कह दे कि जो आतिशी क़ुर्बानी तुम को ख़ुदावन्द के सामने पेश करना है वह यह है: कि दो बे — 'ऐब यक — साला नर बर्रे हर दिन दाइमी सोख़्तनी क़ुर्बानी के लिए 'अदा करो।
[IRV | UR | OT | Numbers | Chapter 28 | Verse 4] एक बर्रा सुबह और दूसरा बर्रा शाम को चढ़ाना;
[IRV | UR | OT | Numbers | Chapter 28 | Verse 5] और साथ ही ऐफ़ा के दसवें हिस्से के बराबर मैदा, जिसमें कूट कर निकाला हुआ तेल चौथाई हीन के बराबर मिला हो, नज़्र की क़ुर्बानी के तौर पर पेश करना।
[IRV | UR | OT | Numbers | Chapter 28 | Verse 6] यह वही दाइमी सोख़्तनी क़ुर्बानी है जो कोह-ए-सीना पर मुक़र्रर की गई, ताकि ख़ुदावन्द के सामने राहतअंगेज़ ख़ुशबू की आतिशी क़ुर्बानी ठहरे।
[IRV | UR | OT | Numbers | Chapter 28 | Verse 7] और हीन की चौथाई के बराबर मय हर एक बर्रा तपावन के लिए लाना। हैकल ही में ख़ुदावन्द के सामने मय का यह तपावन चढ़ाना।
[IRV | UR | OT | Numbers | Chapter 28 | Verse 8] और दूसरे बर्रे को शाम के वक़्त चढ़ाना, और उसके साथ भी सुबह की तरह वैसी ही नज़्र की क़ुर्बानी और तपावन हो, ताकि यह ख़ुदावन्द के सामने राहतअंगेज़ ख़ुशबू की आतिशी क़ुर्बानी ठहरे।
[IRV | UR | OT | Numbers | Chapter 28 | Verse 9] 'और सबत के दिन दो बे — 'ऐब यकसाला नर बर्रे और नज़्र की क़ुर्बानी के तौर पर ऐफ़ा के पाँचवें हिस्से के बराबर मैदा, जिसमें तेल मिला हो, तपावन के साथ पेश करना।
[IRV | UR | OT | Numbers | Chapter 28 | Verse 10] दाइमी सोख़्तनी क़ुर्बानी और उसके तपावन के 'अलावा यह हर सब्त की सोख़्तनी क़ुर्बानी है।
[IRV | UR | OT | Numbers | Chapter 28 | Verse 11] “और अपने महीनों के शुरू' में हर माह दो। बछड़े और एक मेंढा और सात बे'ऐब यक — साला नर बर्रे सोख़्तनी क़ुर्बानी के तौर पर ख़ुदावन्द के सामने चढ़ाया करना।
[IRV | UR | OT | Numbers | Chapter 28 | Verse 12] और ऐफ़ा के तीन दहाई हिस्से के बराबर मैदा, जिसमें तेल मिला हो, हर बछड़े के साथ; और ऐफ़ा के पाँचवे हिस्से के बराबर मैदा, जिसमें तेल मिला हो, हर मेंढे के साथ: और ऐफ़ा के दसवें हिस्से के बराबर मैदा, जिसमें तेल मिला हो,
[IRV | UR | OT | Numbers | Chapter 28 | Verse 13] हर बर्रे के साथ नज़्र की क़ुर्बानी के तौर पर लाना। ताकि यह राहतअंगेज़ ख़ुशबू की सोख़्तनी कुर्बानी, या'नी ख़ुदावन्द के सामने आतिशीन क़ुर्बानी ठहरे।
